age_group,month,n,mean,median,std,type
"[20,80]",1,13654,0.493458780423866,0.497154846787453,0.299968371474305,male
"[20,80]",2,12378,0.494915048395153,0.495899856090546,0.29920446051018,male
"[20,80]",3,12596,0.495984677952568,0.502675712108612,0.298668144732167,male
"[20,80]",4,10836,0.494213206686977,0.501284539699554,0.300280077702567,male
"[20,80]",5,12098,0.499221567694685,0.508038580417633,0.300377014766817,male
"[20,80]",6,12175,0.505245346693768,0.513595163822174,0.29959701022221,male
"[20,80]",7,12663,0.508993069808473,0.518304407596588,0.297794698639183,male
"[20,80]",8,11876,0.507202739288507,0.514910519123077,0.301065178767882,male
"[20,80]",9,10371,0.498806370856599,0.504994034767151,0.300630664862536,male
"[20,80]",10,11337,0.489817495365472,0.489130437374115,0.301332435240116,male
"[20,80]",11,12817,0.491606497859871,0.489130437374115,0.299401309927727,male
"[20,80]",12,13601,0.494628194041586,0.50160562992096,0.299586022394205,male
"[20,80]",1,123830,0.447070580854984,0.435212478041649,0.305426977360957,female
"[20,80]",2,113559,0.449250176517441,0.438565194606781,0.305334822945376,female
"[20,80]",3,117212,0.450857713129613,0.441738456487656,0.304593686099377,female
"[20,80]",4,105638,0.453690985323394,0.444866925477982,0.304312257609481,female
"[20,80]",5,115693,0.455624780015691,0.446777164936066,0.304983602216158,female
"[20,80]",6,120747,0.455181036031667,0.444866925477982,0.305358477746329,female
"[20,80]",7,123421,0.457952377805611,0.449877321720123,0.305919841490612,female
"[20,80]",8,117912,0.458720784738825,0.451466828584671,0.30509001971595,female
"[20,80]",9,103588,0.456060981565452,0.447971016168594,0.305748624436613,female
"[20,80]",10,111745,0.448666338455545,0.436538457870483,0.305592941100346,female
"[20,80]",11,124251,0.446353170157884,0.432073712348938,0.305959591678723,female
"[20,80]",12,128541,0.447509271850704,0.436300933361053,0.305386600611885,female
"[20,80]",1,137467,0.451738181747562,0.441738456487656,0.305178344381056,both
"[20,80]",2,125931,0.453765482332786,0.443416923284531,0.30502710591967,both
"[20,80]",3,129801,0.455267624563608,0.445960134267807,0.304304290255738,both
"[20,80]",4,116471,0.457471707965182,0.449877321720123,0.304158657055446,both
"[20,80]",5,127786,0.459775335815425,0.45212721824646,0.304805034581203,both
"[20,80]",6,132930,0.459737843980025,0.451270997524262,0.305183734462954,both
"[20,80]",7,136083,0.462711011258221,0.456680238246918,0.30552799563015,both
"[20,80]",8,129777,0.463179850789524,0.457303464412689,0.305022284619777,both
"[20,80]",9,113986,0.459858177678225,0.453095495700836,0.305575761291862,both
"[20,80]",10,123096,0.452411495755355,0.442062199115753,0.305450975422552,both
"[20,80]",11,137070,0.450581884510302,0.437108412384987,0.305631866438325,both
"[20,80]",12,142137,0.45203205736247,0.442216038703918,0.30514020386782,both
