age_group,month,n,mean,median,std,type
"[20,80]",1,2295,5.0445054411109,4.40000009536743,3.14597048324415,male
"[20,80]",2,1976,5.12216092796944,4.40000009536743,3.05618192721447,male
"[20,80]",3,2114,5.14950331289924,4.40000009536743,3.03426011594717,male
"[20,80]",4,1799,5.1061534241811,4.5,2.83535210055427,male
"[20,80]",5,2093,5.24027233806114,4.5,3.2820026239735,male
"[20,80]",6,2022,5.27294263128711,4.59999990463257,3.18469347144034,male
"[20,80]",7,2166,5.19727608311099,4.59999990463257,2.89811776143518,male
"[20,80]",8,1986,5.44349949855699,4.5,3.42176708163365,male
"[20,80]",9,1773,5.28987027680343,4.5,3.36275438032511,male
"[20,80]",10,1992,5.21800703046671,4.40000009536743,3.3268288517435,male
"[20,80]",11,2275,5.32083076974848,4.5,3.26015531155164,male
"[20,80]",12,2343,5.23073837154704,4.5,3.26573092416185,male
"[20,80]",1,12236,13.361260221524,7.30000019073486,13.8208983808392,female
"[20,80]",2,11224,13.6337223749233,7.30000019073486,14.1470440992484,female
"[20,80]",3,11617,13.6037376238514,7.40000009536743,14.0637187997523,female
"[20,80]",4,10750,13.4387469710527,7.30000019073486,13.9919094365727,female
"[20,80]",5,12043,13.6357494013052,7.40000009536743,14.1146457015528,female
"[20,80]",6,12495,14.1415478274459,7.59999990463257,14.6032630423439,female
"[20,80]",7,12978,14.4995869982774,7.80000019073486,14.7879947650066,female
"[20,80]",8,12376,14.2020321648758,7.69999980926514,14.6194018120684,female
"[20,80]",9,11220,13.6580187135095,7.40000009536743,14.1661944941408,female
"[20,80]",10,12141,13.5896697081291,7.19999980926514,14.1465808642547,female
"[20,80]",11,13186,13.5331252872374,7.19999980926514,14.2482493842497,female
"[20,80]",12,12810,13.3244722924504,7.19999980926514,14.0104994857538,female
"[20,80]",1,14525,11.9901232387523,6.59999990463257,12.9211128886847,both
"[20,80]",2,13190,12.3056914277652,6.69999980926514,13.2692414962897,both
"[20,80]",3,13726,12.237729127503,6.69999980926514,13.1544013202322,both
"[20,80]",4,12557,12.1840909410455,6.59999990463257,13.1603910878036,both
"[20,80]",5,14135,12.3370321929392,6.69999980926514,13.2762381950567,both
"[20,80]",6,14520,12.8464318246388,6.90000009536743,13.7878496146677,both
"[20,80]",7,15157,13.1047344492475,7,13.9661435050664,both
"[20,80]",8,14354,12.9516761928311,7,13.828491042115,both
"[20,80]",9,12998,12.4734989973394,6.69999980926514,13.4080450463161,both
"[20,80]",10,14133,12.3543260404826,6.59999990463257,13.3312128994006,both
"[20,80]",11,15470,12.2682883034464,6.59999990463257,13.3847955492203,both
"[20,80]",12,15153,12.0143278615511,6.5,13.09886684432,both
