age_group,month,n,mean,median,std,type
"[20,80]",1,433677,2.1458513327538,2.09999990463257,0.565261275004289,male
"[20,80]",2,404050,2.13977049531242,2.09999990463257,0.565559022294793,male
"[20,80]",3,421677,2.13864225123669,2.09999990463257,0.565634775846943,male
"[20,80]",4,384612,2.14817283053495,2.09999990463257,0.568143526551967,male
"[20,80]",5,415719,2.16986225888591,2.09999990463257,0.557600260135723,male
"[20,80]",6,426882,2.17834253557595,2.09999990463257,0.559261867362236,male
"[20,80]",7,433860,2.19627612151997,2.10999989509583,0.569270526705645,male
"[20,80]",8,409650,2.20270122834211,2.13000011444092,0.571230288372275,male
"[20,80]",9,362309,2.19479617786316,2.10999989509583,0.571863606343513,male
"[20,80]",10,386560,2.17163992268373,2.09999990463257,0.556695024341418,male
"[20,80]",11,413921,2.1621498265414,2.09999990463257,0.55099726290755,male
"[20,80]",12,424161,2.16081796363028,2.09999990463257,0.55397647146402,male
"[20,80]",1,578549,2.12695883626234,2.09999990463257,0.535595234272297,female
"[20,80]",2,552036,2.11578927402136,2.07999992370605,0.532133309246954,female
"[20,80]",3,576009,2.11447407529683,2.0699999332428,0.530830798907105,female
"[20,80]",4,536000,2.12824855954789,2.09999990463257,0.533577048586158,female
"[20,80]",5,607214,2.13509589309084,2.09999990463257,0.532013359806079,female
"[20,80]",6,628597,2.15264948363825,2.09999990463257,0.544068318149116,female
"[20,80]",7,631989,2.1703440368362,2.09999990463257,0.545833039422787,female
"[20,80]",8,591612,2.18184639204081,2.09999990463257,0.54830145074059,female
"[20,80]",9,524856,2.17064760230297,2.09999990463257,0.54661938537845,female
"[20,80]",10,559484,2.14180887706718,2.09999990463257,0.531764668367815,female
"[20,80]",11,587373,2.13142518907666,2.09999990463257,0.528699812610168,female
"[20,80]",12,578040,2.13457813938096,2.09999990463257,0.533255825666763,female
"[20,80]",1,1011117,2.14637197875991,2.09999990463257,0.550701861740494,both
"[20,80]",2,956483,2.13767622235199,2.09999990463257,0.550497645742401,both
"[20,80]",3,998734,2.13711172958236,2.09999990463257,0.55057476342086,both
"[20,80]",4,919655,2.14801872056607,2.09999990463257,0.550468943854213,both
"[20,80]",5,1026304,2.15496667274038,2.09999990463257,0.547686972747493,both
"[20,80]",6,1052537,2.16299440858026,2.09999990463257,0.547670562606499,both
"[20,80]",7,1059940,2.17681654239283,2.09999990463257,0.548584841921874,both
"[20,80]",8,997906,2.18943080424635,2.09999990463257,0.553997368424744,both
"[20,80]",9,882214,2.17865557183016,2.09999990463257,0.550744558464341,both
"[20,80]",10,948200,2.16030919255549,2.09999990463257,0.54638813935316,both
"[20,80]",11,1005726,2.15191385729387,2.09999990463257,0.545024279376334,both
"[20,80]",12,1006581,2.15128351912777,2.09999990463257,0.548200530453132,both
