age_group,month,n,mean,median,std,type
"[20,80]",1,1206212,0.413805605604296,0.373475551605225,0.305195187057482,male
"[20,80]",2,1121633,0.412414080363729,0.371132701635361,0.304474059893269,male
"[20,80]",3,1183190,0.409862636270553,0.366897255182266,0.304784804380841,male
"[20,80]",4,1102294,0.41344982512505,0.373142808675766,0.30539234389999,male
"[20,80]",5,1193568,0.420995838605846,0.384677976369858,0.304517660524039,male
"[20,80]",6,1207085,0.427455668889968,0.396525621414185,0.304304704082635,male
"[20,80]",7,1219340,0.431529314243519,0.4029461145401,0.305653606568759,male
"[20,80]",8,1158076,0.430776700537215,0.402012467384338,0.307006150270028,male
"[20,80]",9,1048827,0.423565354544601,0.389115214347839,0.307153857274742,male
"[20,80]",10,1125092,0.420993003984973,0.385709911584854,0.305017143452101,male
"[20,80]",11,1185441,0.420441013817587,0.384539425373077,0.303356573617784,male
"[20,80]",12,1210438,0.416029708828541,0.377879202365875,0.304472266470955,male
"[20,80]",1,1855226,0.382562653969046,0.323679119348526,0.303319289445101,female
"[20,80]",2,1746696,0.383324362453134,0.324556142091751,0.302812549057823,female
"[20,80]",3,1844127,0.382469610225055,0.322807103395462,0.303422564048704,female
"[20,80]",4,1744685,0.386248341399967,0.328466564416885,0.304174969236654,female
"[20,80]",5,1937791,0.395257157518178,0.343700110912323,0.304401741457458,female
"[20,80]",6,1960786,0.403172811545819,0.3566974401474,0.305427332080753,female
"[20,80]",7,1976076,0.408339996281878,0.363935261964798,0.307773797730891,female
"[20,80]",8,1879230,0.407224842324953,0.361843287944794,0.308917491822197,female
"[20,80]",9,1704984,0.396423608437372,0.344369560480118,0.307118064779482,female
"[20,80]",10,1826681,0.388445978554875,0.334039270877838,0.30319598903672,female
"[20,80]",11,1887543,0.386710553408883,0.331906497478485,0.301311076413427,female
"[20,80]",12,1871544,0.382660417756628,0.324127614498138,0.302297521591758,female
"[20,80]",1,3061433,0.39487235128363,0.343085646629334,0.304440468823262,both
"[20,80]",2,2868343,0.394698003554603,0.342852771282196,0.303794407758549,both
"[20,80]",3,3027299,0.393169769515719,0.34029558300972,0.304244374994135,both
"[20,80]",4,2846972,0.396778808151075,0.346008718013763,0.304932021832406,both
"[20,80]",5,3131321,0.405068242201671,0.360211312770844,0.304697713013502,both
"[20,80]",6,3167894,0.412418953596461,0.37245100736618,0.305226124553528,both
"[20,80]",7,3195403,0.417189464064552,0.380225569009781,0.307170993996921,both
"[20,80]",8,3037309,0.416202988049122,0.377879202365875,0.308400743598993,both
"[20,80]",9,2753808,0.406760606583625,0.361952990293503,0.307411954028364,both
"[20,80]",10,2951767,0.400851085949832,0.354149252176285,0.304298825906751,both
"[20,80]",11,3072990,0.399719405525627,0.352665394544601,0.302544581332622,both
"[20,80]",12,3081932,0.395772610612649,0.345292627811432,0.303586989311794,both
