age_group,month,n,mean,median,std,type
"[20,80]",1,1127001,27.3744184465208,27.6000003814697,9.06840354182258,male
"[20,80]",2,1046062,27.352799514203,27.6000003814697,9.03181096326288,male
"[20,80]",3,1106220,27.2667500458539,27.5,9.07024994193075,male
"[20,80]",4,1036899,27.3588682669194,27.6000003814697,9.08469393779046,male
"[20,80]",5,1131611,27.5852462072776,27.8999996185303,8.98973889072473,male
"[20,80]",6,1150170,27.7840852669034,28,8.95790404470369,male
"[20,80]",7,1164323,27.8948049528792,28.1000003814697,9.01314457424877,male
"[20,80]",8,1104187,27.8723643235039,28.1000003814697,9.10076682961227,male
"[20,80]",9,995746,27.6396250117934,28,9.14070074748806,male
"[20,80]",10,1066821,27.5478464109986,27.8999996185303,9.02988598299999,male
"[20,80]",11,1121672,27.5592207213329,27.7999992370606,8.92849196669471,male
"[20,80]",12,1137824,27.4289332327113,27.7000007629395,9.01503247926001,male
"[20,80]",1,1749153,28.8249280554901,28.8999996185303,9.05887369246987,female
"[20,80]",2,1644147,28.8674970509766,29,9.01573442868129,female
"[20,80]",3,1741438,28.8395406750155,28.8999996185303,9.05865252008996,female
"[20,80]",4,1660914,28.9539823037486,29,9.06286032576566,female
"[20,80]",5,1860275,29.2080624710507,29.2000007629395,9.00839949606823,female
"[20,80]",6,1890355,29.441466160017,29.5,9.01275665717028,female
"[20,80]",7,1907442,29.5929439017366,29.7000007629395,9.10098431055556,female
"[20,80]",8,1811814,29.5737722976922,29.7000007629395,9.16204276391261,female
"[20,80]",9,1637540,29.2526694880808,29.2999992370606,9.14012488555041,female
"[20,80]",10,1749533,29.0135466794328,29,8.99290948491301,female
"[20,80]",11,1802210,28.972164832551,29,8.91073109506365,female
"[20,80]",12,1774593,28.8498706092924,29,8.99720483883712,female
"[20,80]",1,2875688,28.2629962280121,28.2999992370605,9.08257065006972,both
"[20,80]",2,2689717,28.2821474935275,28.2999992370605,9.04326673952677,both
"[20,80]",3,2847040,28.2312995636277,28.2999992370605,9.08566272934089,both
"[20,80]",4,2697076,28.3408485970014,28.3999996185303,9.09210735708101,both
"[20,80]",5,2992006,28.5956833570446,28.7000007629395,9.03226085250469,both
"[20,80]",6,3040109,28.8166098237232,29,9.01953792329403,both
"[20,80]",7,3071685,28.955036066181,29,9.10054397749872,both
"[20,80]",8,2915636,28.9335741282272,29,9.16790542476688,both
"[20,80]",9,2633231,28.6536011998438,28.7999992370606,9.16919717289841,both
"[20,80]",10,2816212,28.4636984996308,28.6000003814697,9.02922122821867,both
"[20,80]",11,2923668,28.433194376965,28.5,8.9373017597796,both
"[20,80]",12,2912803,28.2954018831841,28.3999996185303,9.02928615586629,both
