age_group,month,n,mean,median,std,type
"[20,80]",1,1206928,26.8817939625339,27.2000007629395,9.55885598244286,male
"[20,80]",2,1122217,26.8501723781378,27.2000007629395,9.52662430103177,male
"[20,80]",3,1183728,26.7689883198778,27.1000003814697,9.5557905146771,male
"[20,80]",4,1102517,26.8568231388265,27.2000007629395,9.56797494479568,male
"[20,80]",5,1193738,27.114739286145,27.5,9.46781477136272,male
"[20,80]",6,1207244,27.3277216467126,27.7000007629395,9.42002297411107,male
"[20,80]",7,1219751,27.4555239446433,27.8999996185303,9.47879425965965,male
"[20,80]",8,1158304,27.4171890586423,27.8999996185303,9.56936212110137,male
"[20,80]",9,1049454,27.1599159152521,27.6000003814697,9.63503844866576,male
"[20,80]",10,1125169,27.0994721558668,27.5,9.49482596816367,male
"[20,80]",11,1185985,27.1047022557135,27.5,9.40680721830593,male
"[20,80]",12,1211004,26.9508666167699,27.2999992370606,9.50523767998678,male
"[20,80]",1,1856195,28.4625194943963,28.6000003814697,9.39628912554648,female
"[20,80]",2,1746974,28.4992494528518,28.6000003814697,9.35805864170094,female
"[20,80]",3,1844312,28.4672229936037,28.6000003814697,9.39426857113259,female
"[20,80]",4,1745286,28.5765498568344,28.7000007629395,9.39344503806872,female
"[20,80]",5,1938350,28.8766982860911,29,9.31879187193184,female
"[20,80]",6,1961741,29.111318289527,29.2000007629395,9.32080846170476,female
"[20,80]",7,1976990,29.2604152180477,29.5,9.42150766729704,female
"[20,80]",8,1879981,29.2112162422862,29.3999996185303,9.49250335584654,female
"[20,80]",9,1705557,28.8824191415483,29,9.46682867738967,female
"[20,80]",10,1827277,28.6539928114491,28.8999996185303,9.31794736865324,female
"[20,80]",11,1888103,28.6242441186477,28.7999992370606,9.2275032322632,female
"[20,80]",12,1872506,28.480477255619,28.6000003814697,9.33081995467453,female
"[20,80]",1,3062708,27.8418434362917,28,9.48511226893975,both
"[20,80]",2,2868968,27.8541385364644,28,9.45268590841045,both
"[20,80]",3,3027969,27.8024832090639,28,9.48940876365998,both
"[20,80]",4,2847506,27.9140873489459,28.1000003814697,9.49232049209066,both
"[20,80]",5,3131939,28.2033470761758,28.3999996185303,9.40924164437458,both
"[20,80]",6,3168188,28.4406645010909,28.7000007629395,9.38893844570416,both
"[20,80]",7,3197185,28.5780108623981,28.8999996185303,9.48468887876027,both
"[20,80]",8,3039355,28.5267038886907,28.7999992370606,9.56784106487119,both
"[20,80]",9,2754387,28.2331514019394,28.5,9.55863953321177,both
"[20,80]",10,2952777,28.0628406712793,28.2999992370605,9.41547772366864,both
"[20,80]",11,3074723,28.0368421472729,28.2000007629395,9.3277411984045,both
"[20,80]",12,3083447,27.8816439362896,28.1000003814697,9.42537223768225,both
