age_group,month,n,mean,median,std,type
"[20,80]",1,672019,0.553019581029509,0.547279238700867,0.254797780430975,male
"[20,80]",2,614628,0.552077803423191,0.545185565948486,0.253723742803987,male
"[20,80]",3,647312,0.552807025555704,0.547279238700867,0.254116280478464,male
"[20,80]",4,607617,0.555003872426127,0.547547280788422,0.254963485957868,male
"[20,80]",5,662818,0.557372946393689,0.548578381538391,0.254654603876439,male
"[20,80]",6,680726,0.561180794758943,0.549674212932587,0.255103600557506,male
"[20,80]",7,696978,0.566971315544413,0.552270293235779,0.256290032841223,male
"[20,80]",8,666760,0.570323634272461,0.55335921049118,0.257029432074109,male
"[20,80]",9,597562,0.567516066813511,0.552270293235779,0.258404907458648,male
"[20,80]",10,640199,0.559461580764928,0.549507141113281,0.258989728814379,male
"[20,80]",11,675159,0.555218655972711,0.547804772853851,0.257734376621173,male
"[20,80]",12,683976,0.555152769021335,0.547547280788422,0.255401805401827,male
"[20,80]",1,1009155,0.575758991872358,0.57296484708786,0.237971264419503,female
"[20,80]",2,933963,0.574533619302487,0.572952747344971,0.237621106984337,female
"[20,80]",3,985721,0.577027109919504,0.574578940868378,0.238045763419337,female
"[20,80]",4,936671,0.579098792176372,0.576223194599152,0.238895980336141,female
"[20,80]",5,1047746,0.579144461875324,0.576223194599152,0.23849701899449,female
"[20,80]",6,1078924,0.583755178708423,0.583126187324524,0.23954891573645,female
"[20,80]",7,1104670,0.589958425570608,0.587992489337921,0.240275344464852,female
"[20,80]",8,1052717,0.595004692029137,0.588909089565277,0.240386382525767,female
"[20,80]",9,946536,0.591360690714943,0.588044404983521,0.24111143776515,female
"[20,80]",10,1012224,0.583249759290405,0.583035528659821,0.24170578358032,female
"[20,80]",11,1051323,0.577520764837921,0.576095700263977,0.241306275154427,female
"[20,80]",12,1033423,0.578499447065405,0.576095700263977,0.239268311205682,female
"[20,80]",1,1679899,0.567169178700164,0.556496918201447,0.244559040595463,both
"[20,80]",2,1546446,0.566390373861223,0.553986787796021,0.243706941234318,both
"[20,80]",3,1631785,0.567933241872312,0.557287693023682,0.244301110348474,both
"[20,80]",4,1543649,0.569937949665545,0.563325464725494,0.245191396824244,both
"[20,80]",5,1710760,0.570888026571691,0.565245866775513,0.244817951849728,both
"[20,80]",6,1758041,0.575641260146835,0.572035074234009,0.245362380532726,both
"[20,80]",7,1800109,0.581597825933389,0.576223194599152,0.246313875181126,both
"[20,80]",8,1718175,0.585999566887526,0.583074390888214,0.246708523211374,both
"[20,80]",9,1541247,0.583142647420856,0.5802161693573,0.247363030270623,both
"[20,80]",10,1653371,0.574013698450262,0.570655405521393,0.248568457282491,both
"[20,80]",11,1724108,0.569565167673549,0.563325464725494,0.247385508706806,both
"[20,80]",12,1716085,0.569704976481081,0.561632871627808,0.245552512406366,both
