age_group,month,n,mean,median,std,type
"[20,80]",1,237081,0.522063890791055,0.514013171195984,0.202231082330799,male
"[20,80]",2,217760,0.521455945356008,0.514013171195984,0.201427674211403,male
"[20,80]",3,225912,0.524749406843709,0.521474778652191,0.200776635118615,male
"[20,80]",4,207083,0.523986507271791,0.521474778652191,0.20249200045727,male
"[20,80]",5,225642,0.529701582630785,0.532815515995026,0.203350163907749,male
"[20,80]",6,233913,0.535885136681673,0.533298969268799,0.203994673963603,male
"[20,80]",7,239775,0.538860921200181,0.543369054794312,0.206197541052737,male
"[20,80]",8,228728,0.541201066151043,0.543369054794312,0.206499612055427,male
"[20,80]",9,200374,0.538156003279088,0.533856153488159,0.206925470627988,male
"[20,80]",10,215416,0.526370273615941,0.521534979343414,0.208196720207515,male
"[20,80]",11,230840,0.523233854076147,0.51841938495636,0.206000974760301,male
"[20,80]",12,237581,0.52253596259677,0.518369793891907,0.203267098246179,male
"[20,80]",1,299219,0.533559321786268,0.51752907037735,0.191522819803842,female
"[20,80]",2,280984,0.534204688805275,0.520791530609131,0.191494361324765,female
"[20,80]",3,291479,0.53468961677662,0.520791530609131,0.191764822352877,female
"[20,80]",4,270287,0.535262818260728,0.520876288414002,0.192050048420961,female
"[20,80]",5,305647,0.537469287522729,0.527403056621552,0.193162893315105,female
"[20,80]",6,317911,0.544206017617467,0.53380411863327,0.195749522677493,female
"[20,80]",7,323398,0.550164320014775,0.542368710041046,0.197311981439108,female
"[20,80]",8,305076,0.552767971252414,0.543862164020538,0.197693531590131,female
"[20,80]",9,268339,0.547607937294948,0.537472128868103,0.196445024402446,female
"[20,80]",10,288304,0.539637062083441,0.531360685825348,0.196383687837625,female
"[20,80]",11,307665,0.535631601154875,0.520876288414002,0.196175764713188,female
"[20,80]",12,302552,0.53501401427617,0.520791530609131,0.192615349067381,female
"[20,80]",1,534655,0.530943388219469,0.520109236240387,0.193382246691197,both
"[20,80]",2,497621,0.530725713132998,0.520109236240387,0.193054230131307,both
"[20,80]",3,517136,0.531936341331682,0.520876288414002,0.193324222671634,both
"[20,80]",4,476117,0.532698263385268,0.521474778652191,0.193685672802208,both
"[20,80]",5,531082,0.535526695249526,0.527431845664978,0.19514265779186,both
"[20,80]",6,550005,0.542996094304859,0.53380411863327,0.196488142709147,both
"[20,80]",7,562113,0.54740309811844,0.543029606342316,0.198473053180072,both
"[20,80]",8,532556,0.549946032732893,0.54376095533371,0.198776501383719,both
"[20,80]",9,468449,0.545271561262239,0.537472128868103,0.198467709710108,both
"[20,80]",10,503338,0.535811657282523,0.531360685825348,0.198800044474953,both
"[20,80]",11,536380,0.532900902100393,0.521474778652191,0.197415898025824,both
"[20,80]",12,538806,0.531757676512258,0.520791530609131,0.194486988330858,both
