age_group,month,n,mean,median,std,type
"[20,80]",1,44108,0.395555160618456,0.371750444173813,0.260875343021431,male
"[20,80]",2,40060,0.398069698990593,0.373208850622177,0.260983787162082,male
"[20,80]",3,43466,0.395930729454858,0.371624350547791,0.262247849858725,male
"[20,80]",4,41105,0.399454666338449,0.374265193939209,0.260340707140294,male
"[20,80]",5,44118,0.39973104289182,0.375803411006928,0.25896726402586,male
"[20,80]",6,44770,0.397608729100002,0.375083267688751,0.259180144526315,male
"[20,80]",7,45502,0.396350752560238,0.374265193939209,0.258492305105612,male
"[20,80]",8,44085,0.3923657588362,0.369565218687058,0.258360648196123,male
"[20,80]",9,40076,0.390214009550732,0.368510991334915,0.258045927931704,male
"[20,80]",10,43037,0.392425596722416,0.370656371116638,0.257474723163811,male
"[20,80]",11,44925,0.39110672213531,0.370145052671433,0.258814681498189,male
"[20,80]",12,45370,0.389771384242343,0.369565218687058,0.25803741490926,male
"[20,80]",1,51453,0.403369752856358,0.385792344808579,0.263039501366519,female
"[20,80]",2,46289,0.404790985062458,0.385792344808579,0.261576849537138,female
"[20,80]",3,49657,0.406601799243607,0.385792344808579,0.263244671722668,female
"[20,80]",4,48046,0.40215084718311,0.382974177598953,0.261636489330642,female
"[20,80]",5,52771,0.411759806517217,0.398007959127426,0.261992427137596,female
"[20,80]",6,53516,0.412428793514473,0.398605585098267,0.260799786354985,female
"[20,80]",7,54998,0.41203312019628,0.398605585098267,0.260418832455783,female
"[20,80]",8,53892,0.407678226928652,0.394145101308823,0.259172984701655,female
"[20,80]",9,49030,0.40475673179256,0.388660937547684,0.261500536160402,female
"[20,80]",10,52676,0.407373855898697,0.388755410909653,0.262249280863516,female
"[20,80]",11,53916,0.410854129719237,0.394970238208771,0.261105146575742,female
"[20,80]",12,53427,0.40239652733801,0.382974177598953,0.258889305866201,female
"[20,80]",1,95567,0.399743993089653,0.377303779125214,0.262056567515683,both
"[20,80]",2,86307,0.40184020692041,0.378102838993073,0.261244010477291,both
"[20,80]",3,93132,0.401664823767047,0.377622365951538,0.26285685636193,both
"[20,80]",4,89147,0.400884460454891,0.377714037895203,0.2610213152219,both
"[20,80]",5,96868,0.406217888416505,0.385054036974907,0.260602980738283,both
"[20,80]",6,98285,0.405663872132246,0.385680049657822,0.260145368877048,both
"[20,80]",7,100519,0.404850212333443,0.385193765163422,0.25966900508113,both
"[20,80]",8,97940,0.400906869010669,0.380965679883957,0.258847597568419,both
"[20,80]",9,89081,0.398307387191308,0.377096712589264,0.259987144944108,both
"[20,80]",10,95705,0.400501149894461,0.377622365951538,0.260114096726561,both
"[20,80]",11,98838,0.401864641966674,0.380965679883957,0.260202067561097,both
"[20,80]",12,98772,0.396636991634861,0.37553545832634,0.258499549602342,both
