age_group,month,n,mean,median,std,type
"[20,80]",1,96777,2.03315896778978,2.02999997138977,0.274138476941793,male
"[20,80]",2,88779,2.03719381224402,2.02999997138977,0.277182067621536,male
"[20,80]",3,95016,2.03794830811062,2.02999997138977,0.276683682001255,male
"[20,80]",4,89607,2.03598064258223,2.02999997138977,0.274337047498181,male
"[20,80]",5,95045,2.03186135404809,2.02999997138977,0.269952107253885,male
"[20,80]",6,96510,2.03050859371574,2.02999997138977,0.269572897174598,male
"[20,80]",7,97735,2.02909462724054,2.02999997138977,0.267338712183474,male
"[20,80]",8,94839,2.02800206028589,2.01999998092651,0.268652955996036,male
"[20,80]",9,87298,2.02685588962852,2.01999998092651,0.270578869075531,male
"[20,80]",10,93191,2.026408176923,2.01999998092651,0.268904488682469,male
"[20,80]",11,96515,2.02557495097104,2.01999998092651,0.271520709974543,male
"[20,80]",12,98657,2.02549690711466,2.01999998092651,0.270703078159531,male
"[20,80]",1,107322,2.0374832959512,2.00999999046326,0.355870209605617,female
"[20,80]",2,98176,2.04104390433799,2.00999999046326,0.353596850523825,female
"[20,80]",3,104152,2.03913841572205,2.00999999046326,0.352435506058162,female
"[20,80]",4,100007,2.0349279681954,2.00999999046326,0.345151033845691,female
"[20,80]",5,107829,2.03975754473749,2.01999998092651,0.343408937178219,female
"[20,80]",6,109097,2.03667494287539,2.01999998092651,0.329800689777986,female
"[20,80]",7,112747,2.03569633990836,2.01999998092651,0.330300667684924,female
"[20,80]",8,111227,2.03344743828218,2.00999999046326,0.335807165002124,female
"[20,80]",9,101660,2.03263579880701,2.00999999046326,0.34724393218156,female
"[20,80]",10,107931,2.03654357242648,2.00999999046326,0.356127226231795,female
"[20,80]",11,110368,2.03737375238912,2.00999999046326,0.351390815297445,female
"[20,80]",12,110518,2.03521415735832,2.00999999046326,0.354446782908143,female
"[20,80]",1,204090,2.03041196387252,2.01999998092651,0.290834603662269,both
"[20,80]",2,186759,2.03408295068612,2.01999998092651,0.289330263642624,both
"[20,80]",3,199238,2.03391517030809,2.01999998092651,0.293275557727792,both
"[20,80]",4,189456,2.03119114069958,2.01999998092651,0.287210206528752,both
"[20,80]",5,202856,2.03122288561626,2.01999998092651,0.283630805594621,both
"[20,80]",6,205592,2.02972098439497,2.01999998092651,0.280092038532145,both
"[20,80]",7,210489,2.02839534911123,2.01999998092651,0.278476575839929,both
"[20,80]",8,206002,2.02665007434478,2.01999998092651,0.280476842610583,both
"[20,80]",9,188960,2.02515008863216,2.00999999046326,0.286435183339362,both
"[20,80]",10,201083,2.02639359729329,2.01999998092651,0.286956461340556,both
"[20,80]",11,206777,2.02662289656396,2.01999998092651,0.28551728515065,both
"[20,80]",12,209048,2.02568612766945,2.00999999046326,0.285981235803513,both
