age_group,month,n,mean,median,std,type
"[20,80]",1,1054477,29.2406841421124,29.2999992370606,1.53172623392796,male
"[20,80]",2,980722,29.2192695852111,29.2999992370606,1.5441806809769,male
"[20,80]",3,1036132,29.2079199128467,29.2999992370606,1.54968781758406,male
"[20,80]",4,969826,29.1975529792554,29.2999992370606,1.550183300073,male
"[20,80]",5,1055648,29.1799748296404,29.2999992370606,1.5363118437408,male
"[20,80]",6,1073029,29.1805419230964,29.2999992370606,1.5346657928534,male
"[20,80]",7,1086184,29.1844690116025,29.2999992370606,1.53362324783772,male
"[20,80]",8,1032593,29.2247331359412,29.2999992370606,1.53390273461777,male
"[20,80]",9,929647,29.234013561163,29.2999992370606,1.53533631839907,male
"[20,80]",10,995939,29.2553850619012,29.3999996185303,1.53269496974034,male
"[20,80]",11,1045535,29.281447387323,29.3999996185303,1.5180645282323,male
"[20,80]",12,1063041,29.257165331277,29.3999996185303,1.53168029606715,male
"[20,80]",1,1631466,28.573625429191,28.7999992370606,1.76401765784538,female
"[20,80]",2,1534181,28.5575345442156,28.7999992370606,1.76717496722082,female
"[20,80]",3,1626928,28.5392296072522,28.7000007629395,1.78128093231011,female
"[20,80]",4,1552026,28.5293827078625,28.7000007629395,1.78427892753794,female
"[20,80]",5,1730172,28.505322362682,28.7000007629395,1.76860939173629,female
"[20,80]",6,1758830,28.5047050274802,28.7000007629395,1.76721479640597,female
"[20,80]",7,1783222,28.5308917763746,28.7000007629395,1.78185241734663,female
"[20,80]",8,1688342,28.5574255725138,28.7999992370606,1.76908636355644,female
"[20,80]",9,1524998,28.5658555457988,28.7999992370606,1.76836876055509,female
"[20,80]",10,1627205,28.5987185773868,28.7999992370606,1.75261047681203,female
"[20,80]",11,1677932,28.6118644865774,28.7999992370606,1.74598473735911,female
"[20,80]",12,1651725,28.6025218799173,28.7999992370606,1.74929470643495,female
"[20,80]",1,2685636,28.8336274853142,29,1.69045256941739,both
"[20,80]",2,2513197,28.818530539662,29,1.69466955887971,both
"[20,80]",3,2657280,28.8088072113277,29,1.69644584617957,both
"[20,80]",4,2522654,28.7851940094193,29,1.71274550728399,both
"[20,80]",5,2800326,28.7790751318536,28.8999996185303,1.70900589784602,both
"[20,80]",6,2831328,28.7618239421902,28.8999996185303,1.69563935727879,both
"[20,80]",7,2874984,28.7867984716286,29,1.70884741314608,both
"[20,80]",8,2720847,28.8126183894169,29,1.69566729612013,both
"[20,80]",9,2454923,28.8212308117514,29,1.69641332545287,both
"[20,80]",10,2621001,28.8532515332881,29,1.68127199169674,both
"[20,80]",11,2723900,28.8682898714399,29,1.6763647498913,both
"[20,80]",12,2726487,28.8773699889011,29,1.68941407774504,both
