age_group,month,n,mean,median,std,type
"[20,80]",1,394284,0.510243551798189,0.51286119222641,0.23371669154837,male
"[20,80]",2,368462,0.508862152414122,0.511680543422699,0.233582333172082,male
"[20,80]",3,386248,0.507761274708944,0.510466575622559,0.233514958208822,male
"[20,80]",4,355348,0.503862452025453,0.503528296947479,0.233186377668068,male
"[20,80]",5,391560,0.502927351205976,0.502818167209625,0.232703445870571,male
"[20,80]",6,402237,0.503027986970059,0.502863943576813,0.232308619924238,male
"[20,80]",7,405679,0.502904965553586,0.502818167209625,0.232630630322137,male
"[20,80]",8,382208,0.50661186064838,0.506696999073029,0.232096507866874,male
"[20,80]",9,337417,0.509071108008272,0.511680543422699,0.232849304899029,male
"[20,80]",10,359330,0.513570581310824,0.518128037452698,0.232357643145994,male
"[20,80]",11,382458,0.516657692781237,0.521062850952148,0.232521990998717,male
"[20,80]",12,391004,0.513963996733667,0.518351078033447,0.233053237543012,male
"[20,80]",1,540042,0.511729167379821,0.519574761390686,0.23360272299817,female
"[20,80]",2,517631,0.508620799517814,0.517923176288605,0.233582102679621,female
"[20,80]",3,541703,0.506227398622994,0.5137819647789,0.233852755218912,female
"[20,80]",4,508574,0.502875773128793,0.508702337741852,0.234316086358228,female
"[20,80]",5,579572,0.501159185636253,0.506713628768921,0.233337299775439,female
"[20,80]",6,595077,0.501636614488739,0.507197916507721,0.2334513915657,female
"[20,80]",7,596886,0.505333079442493,0.512880206108093,0.233047437305868,female
"[20,80]",8,558343,0.510015643417461,0.519088268280029,0.23318603722953,female
"[20,80]",9,493647,0.510407938958222,0.519166529178619,0.232813554257685,female
"[20,80]",10,525234,0.515331535338525,0.523993253707886,0.232993588048149,female
"[20,80]",11,548165,0.519065556799011,0.529253900051117,0.232286435385405,female
"[20,80]",12,539262,0.5173398558667,0.526545107364655,0.232455620241729,female
"[20,80]",1,934224,0.511155224992153,0.518128037452698,0.233622703893101,both
"[20,80]",2,886044,0.508713151429621,0.515641868114471,0.233568726863239,both
"[20,80]",3,927976,0.506883563346106,0.512399613857269,0.233718532133942,both
"[20,80]",4,863833,0.503273573444695,0.506968200206757,0.233827897298936,both
"[20,80]",5,970970,0.50180882640602,0.503632664680481,0.233037333344039,both
"[20,80]",6,997165,0.502205606799188,0.506251215934753,0.232952020393879,both
"[20,80]",7,1002370,0.50430414497236,0.507800698280335,0.232835755512497,both
"[20,80]",8,940525,0.508644433233697,0.51403146982193,0.232741905170751,both
"[20,80]",9,830999,0.509876446476654,0.51768946647644,0.232807121234959,both
"[20,80]",10,884537,0.51467557621194,0.521062850952148,0.232719824263044,both
"[20,80]",11,930489,0.518062709734248,0.527299046516419,0.232344486494215,both
"[20,80]",12,930141,0.515888951736734,0.522065818309784,0.232671219574286,both
