age_group,month,n,mean,median,std,type
"[20,80]",1,471940,29.3207468482455,29.3999996185303,1.35690120402317,male
"[20,80]",2,441640,29.317420971738,29.3999996185303,1.35535883461408,male
"[20,80]",3,461917,29.3120552124984,29.3999996185303,1.35562977586574,male
"[20,80]",4,420913,29.273477361245,29.3999996185303,1.35412642231844,male
"[20,80]",5,460780,29.2695860202375,29.3999996185303,1.35403214058477,male
"[20,80]",6,470199,29.2794533745781,29.3999996185303,1.34101259473779,male
"[20,80]",7,474044,29.2681667024005,29.2999992370606,1.35139026780334,male
"[20,80]",8,449018,29.3065632950746,29.3999996185303,1.34927508341271,male
"[20,80]",9,397293,29.3155589659603,29.3999996185303,1.35330315853807,male
"[20,80]",10,424768,29.3321295094558,29.3999996185303,1.34902394707146,male
"[20,80]",11,453214,29.3433297241369,29.3999996185303,1.35200916044241,male
"[20,80]",12,465230,29.3333648883925,29.3999996185303,1.35334560702009,male
"[20,80]",1,639974,28.5185886395449,28.7000007629395,1.70002901607846,female
"[20,80]",2,615341,28.493628583951,28.7000007629395,1.718803229415,female
"[20,80]",3,642752,28.4743193585945,28.7000007629395,1.73247519764645,female
"[20,80]",4,598803,28.4601649726101,28.7000007629395,1.73816396286673,female
"[20,80]",5,673822,28.4388429817642,28.7000007629395,1.72277840205031,female
"[20,80]",6,689090,28.4393610506282,28.7000007629395,1.72306210741078,female
"[20,80]",7,692997,28.4794498339357,28.7000007629395,1.71965397251976,female
"[20,80]",8,648382,28.4944252574308,28.7000007629395,1.71914178459816,female
"[20,80]",9,573842,28.5017197188042,28.7000007629395,1.7054013117929,female
"[20,80]",10,613151,28.5246344307717,28.7999992370606,1.70416793927987,female
"[20,80]",11,641640,28.5557561186527,28.7999992370606,1.68089278656288,female
"[20,80]",12,634994,28.5481276459265,28.7999992370606,1.68178941830505,female
"[20,80]",1,1109238,28.8603466174984,29,1.57034786396189,both
"[20,80]",2,1053015,28.8474901893412,29,1.57473502226886,both
"[20,80]",3,1101429,28.8312574212219,29,1.58709914992536,both
"[20,80]",4,1018404,28.8163107266885,29,1.59196200539726,both
"[20,80]",5,1139108,28.7995252960262,29,1.60142678016205,both
"[20,80]",6,1163366,28.8088221420852,29,1.5901245258953,both
"[20,80]",7,1167087,28.815352522803,29,1.5883511110582,both
"[20,80]",8,1095955,28.8301304164137,29,1.58579343203815,both
"[20,80]",9,968694,28.8414509141167,29,1.5751512678999,both
"[20,80]",10,1035311,28.8623575531284,29,1.57240478689751,both
"[20,80]",11,1091564,28.889460263162,29.1000003814697,1.55570863219972,both
"[20,80]",12,1103763,28.9016599462656,29.1000003814697,1.56773212760212,both
