age_group,month,n,mean,median,std,type
"[20,80]",1,1139610,33.3127166087929,33.2999992370605,0.985822602774768,male
"[20,80]",2,1059887,33.3099487364113,33.2999992370605,0.985936222224541,male
"[20,80]",3,1117796,33.3022538253735,33.2999992370605,0.986731374594748,male
"[20,80]",4,1040753,33.2812131292566,33.2999992370605,0.98570748752861,male
"[20,80]",5,1128903,33.2683930442487,33.2999992370605,0.985314326733562,male
"[20,80]",6,1132609,33.2370596833174,33.2000007629395,0.972713964114373,male
"[20,80]",7,1144281,33.2383933239629,33.2999992370605,0.975751978439169,male
"[20,80]",8,1094455,33.2686146039978,33.2999992370605,0.989231706701086,male
"[20,80]",9,989865,33.2771226579596,33.2999992370605,0.987739549953012,male
"[20,80]",10,1060985,33.2993297437168,33.2999992370605,0.982985566785737,male
"[20,80]",11,1119167,33.3110684439758,33.2999992370605,0.982905471492165,male
"[20,80]",12,1142610,33.3118361868096,33.2999992370605,0.983393187421995,male
"[20,80]",1,1760152,33.0176519721194,33,0.981453039265489,female
"[20,80]",2,1649296,33.0259782372838,33,0.966983916418097,female
"[20,80]",3,1742693,33.0203351545149,33,0.965594276468906,female
"[20,80]",4,1641369,32.9669544837234,33,0.959801120256533,female
"[20,80]",5,1825026,32.9516814592216,33,0.960220910945578,female
"[20,80]",6,1847660,32.9349372469181,33,0.962201935828496,female
"[20,80]",7,1860636,32.9362140653746,33,0.967379004494564,female
"[20,80]",8,1766950,32.9503718213815,33,0.969676678680929,female
"[20,80]",9,1600241,32.9637248859111,33,0.967616299692421,female
"[20,80]",10,1731590,33.0014520536104,33,0.977414667773591,female
"[20,80]",11,1790089,33.0110003367476,33,0.978009541660001,female
"[20,80]",12,1775224,33.0170500974465,33,0.979969095906578,female
"[20,80]",1,2874518,33.1395202817198,33.0999984741211,0.973832494450529,both
"[20,80]",2,2695664,33.1341651980235,33.0999984741211,0.972862453947032,both
"[20,80]",3,2846685,33.1269911222865,33.0999984741211,0.972511551400414,both
"[20,80]",4,2693756,33.0929413389505,33.0999984741211,0.984022582460687,both
"[20,80]",5,2942105,33.0601975572834,33.0999984741211,0.97080847829977,both
"[20,80]",6,2977624,33.0450539026747,33,0.972438281260538,both
"[20,80]",7,3001685,33.0461741996109,33,0.976502609286816,both
"[20,80]",8,2871920,33.076690410608,33.0999984741211,0.990447595707381,both
"[20,80]",9,2600573,33.0887553372124,33.0999984741211,0.988682330525935,both
"[20,80]",10,2786166,33.1076476191619,33.0999984741211,0.983261259019778,both
"[20,80]",11,2883916,33.1329536615812,33.0999984741211,0.970763401845212,both
"[20,80]",12,2911193,33.1245825176134,33.0999984741211,0.98517705813391,both
