age_group,month,n,mean,median,std,type
"[20,80]",1,1231059,87.4799751518189,87.5999984741211,5.3437662470412,male
"[20,80]",2,1144891,87.4126279473435,87.5,5.3631111334301,male
"[20,80]",3,1207133,87.3859567030687,87.5,5.37442348937066,male
"[20,80]",4,1124283,87.4125223189827,87.5,5.41302098565169,male
"[20,80]",5,1216736,87.4636990459621,87.5999984741211,5.39568615712854,male
"[20,80]",6,1229649,87.5268874964984,87.5999984741211,5.39450588649684,male
"[20,80]",7,1242514,87.55482415569,87.6999969482422,5.42164536097524,male
"[20,80]",8,1180769,87.5878379909012,87.6999969482422,5.44554870741486,male
"[20,80]",9,1069603,87.5987549181704,87.6999969482422,5.45993691511535,male
"[20,80]",10,1146291,87.6203572980452,87.6999969482422,5.42336066624167,male
"[20,80]",11,1208026,87.6235233269579,87.6999969482422,5.37831862040516,male
"[20,80]",12,1234137,87.5620633677326,87.6999969482422,5.36745400062009,male
"[20,80]",1,1891949,86.1769584591818,86.6999969482422,5.88513424511297,female
"[20,80]",2,1780658,86.0990245717577,86.5999984741211,5.90847200350245,female
"[20,80]",3,1879608,86.0826063577131,86.5999984741211,5.92993846942884,female
"[20,80]",4,1777722,86.1052280061109,86.5999984741211,5.94932318785059,female
"[20,80]",5,1972652,86.1314036357139,86.5999984741211,5.95270130755777,female
"[20,80]",6,1995103,86.2010275734049,86.6999969482422,5.96163082593117,female
"[20,80]",7,2010674,86.2458281912586,86.6999969482422,5.98163180511606,female
"[20,80]",8,1912859,86.2754464732413,86.8000030517578,6.00448074109391,female
"[20,80]",9,1735563,86.2853262045273,86.8000030517578,5.98845728854963,female
"[20,80]",10,1858621,86.3197699999904,86.8000030517578,5.93961182839177,female
"[20,80]",11,1920743,86.32638933213,86.8000030517578,5.9066408663086,female
"[20,80]",12,1906740,86.281623213564,86.8000030517578,5.88738752993212,female
"[20,80]",1,3123338,86.6899686590742,87,5.70791844577072,both
"[20,80]",2,2926306,86.6150540562608,87,5.73329482376935,both
"[20,80]",3,3086983,86.5907095722517,87,5.7480111300766,both
"[20,80]",4,2901793,86.6111405357407,87,5.77267167056538,both
"[20,80]",5,3189342,86.6399533418891,87,5.77373339449557,both
"[20,80]",6,3224932,86.7061317252832,87.0999984741211,5.78060138296859,both
"[20,80]",7,3253433,86.7460852665694,87.0999984741211,5.80186650667886,both
"[20,80]",8,3093220,86.7792857265638,87.0999984741211,5.81855525591506,both
"[20,80]",9,2805321,86.7866451573106,87.0999984741211,5.82014027242937,both
"[20,80]",10,3005345,86.8169621229772,87.1999969482422,5.77653853850204,both
"[20,80]",11,3129160,86.8290579923853,87.1999969482422,5.7360325573147,both
"[20,80]",12,3141724,86.7846350782703,87.0999984741211,5.72132170974377,both
