age_group,month,n,mean,median,std,type
"[20,80]",1,597607,0.574205082923734,0.612360835075378,0.244009299457538,male
"[20,80]",2,546808,0.578850842749032,0.617574989795685,0.243857484105715,male
"[20,80]",3,575061,0.58654674136099,0.623154640197754,0.243205680138522,male
"[20,80]",4,540540,0.589653161968043,0.626051485538483,0.243728982941282,male
"[20,80]",5,590338,0.584128398309437,0.621361434459686,0.244251769843181,male
"[20,80]",6,605021,0.579702886911385,0.617574989795685,0.244068833184983,male
"[20,80]",7,619903,0.578848000803012,0.617192804813385,0.244732229567915,male
"[20,80]",8,593043,0.579858181776099,0.617574989795685,0.245336022231204,male
"[20,80]",9,530387,0.585800529369658,0.62301903963089,0.244271613648293,male
"[20,80]",10,568941,0.580067968590987,0.618903875350952,0.244889037968735,male
"[20,80]",11,599569,0.57127395514722,0.605401813983917,0.244974217442502,male
"[20,80]",12,607868,0.571810082226368,0.605401813983917,0.244045721682057,male
"[20,80]",1,895829,0.541450427078976,0.56001478433609,0.237172482639964,female
"[20,80]",2,829324,0.545528977973128,0.562395393848419,0.237315742772546,female
"[20,80]",3,874727,0.551178888266381,0.564418017864227,0.236460337480254,female
"[20,80]",4,832096,0.554463507667132,0.567187011241913,0.23609089868107,female
"[20,80]",5,931207,0.551407415320577,0.564440131187439,0.236724290406088,female
"[20,80]",6,957638,0.546942818585886,0.562441110610962,0.237271735958939,female
"[20,80]",7,980301,0.547013282021055,0.562441110610962,0.237843927314444,female
"[20,80]",8,936345,0.546606394060515,0.562395393848419,0.238680865555496,female
"[20,80]",9,840749,0.549425521500865,0.562968313694,0.23792920654955,female
"[20,80]",10,899561,0.542787070004254,0.56108295917511,0.238258619985394,female
"[20,80]",11,932611,0.536476034002341,0.557938814163208,0.238857431288673,female
"[20,80]",12,917864,0.537879623402979,0.558229804039002,0.237454561390787,female
"[20,80]",1,1493146,0.554761814793449,0.573454439640045,0.239865049221966,both
"[20,80]",2,1375243,0.559165967020043,0.578014731407166,0.23974643877034,both
"[20,80]",3,1450156,0.56521220501429,0.584408640861511,0.23928868712956,both
"[20,80]",4,1372241,0.568561936600296,0.589675068855286,0.239096665530992,both
"[20,80]",5,1519961,0.564647363409362,0.583050966262817,0.239363333497824,both
"[20,80]",6,1562606,0.559729239706898,0.578014731407166,0.239909294631168,both
"[20,80]",7,1599898,0.559514869080316,0.577636480331421,0.240468709107882,both
"[20,80]",8,1527629,0.560132955593674,0.578014731407166,0.240984805861585,both
"[20,80]",9,1370837,0.563679236636154,0.581475019454956,0.240448859707277,both
"[20,80]",10,1469070,0.55721617190649,0.576138913631439,0.241077652933878,both
"[20,80]",11,1531698,0.550415136119414,0.569320023059845,0.241213716902194,both
"[20,80]",12,1525805,0.551494393667482,0.570936739444733,0.240118905007989,both
