age_group,month,n,mean,median,std,type
"[20,80]",1,1094216,0.501369110342585,0.5,0.155024041471351,male
"[20,80]",2,1016212,0.500286290891085,0.5,0.155326948334978,male
"[20,80]",3,1071601,0.500508036442444,0.5,0.154936181883491,male
"[20,80]",4,998543,0.501291453822142,0.5,0.154949044043687,male
"[20,80]",5,1083976,0.500827751179347,0.5,0.154850251038056,male
"[20,80]",6,1098019,0.499957298051789,0.5,0.154314182781085,male
"[20,80]",7,1111067,0.499389922020377,0.5,0.153840028652894,male
"[20,80]",8,1054162,0.498902229800721,0.5,0.154008679551879,male
"[20,80]",9,951874,0.499515064024651,0.5,0.154705849674878,male
"[20,80]",10,1024018,0.498946026644163,0.5,0.154524466360991,male
"[20,80]",11,1081314,0.498766345867079,0.5,0.154386188019422,male
"[20,80]",12,1100566,0.500301120034659,0.5,0.154838149809303,male
"[20,80]",1,1732409,0.421593893557066,0.400000005960465,0.140759253226235,female
"[20,80]",2,1628647,0.420429599041837,0.400000005960465,0.14063291347505,female
"[20,80]",3,1719086,0.420852397968578,0.400000005960465,0.140795620238517,female
"[20,80]",4,1626812,0.421851458674815,0.400000005960465,0.140714738947244,female
"[20,80]",5,1810314,0.421801497321719,0.400000005960465,0.140493776994174,female
"[20,80]",6,1809131,0.415763438675525,0.400000005960465,0.13341281153354,female
"[20,80]",7,1825182,0.416516328570852,0.400000005960465,0.133363264753557,female
"[20,80]",8,1759842,0.422339162057209,0.400000005960465,0.140040371455393,female
"[20,80]",9,1592653,0.42286764600859,0.400000005960465,0.140444719068453,female
"[20,80]",10,1710290,0.42177085494747,0.400000005960465,0.14036350559889,female
"[20,80]",11,1771148,0.420541962505359,0.400000005960465,0.140147861909073,female
"[20,80]",12,1752376,0.421409187080187,0.400000005960465,0.140517651434473,female
"[20,80]",1,2835756,0.446179162930769,0.409999996423721,0.147995744411502,both
"[20,80]",2,2653793,0.444751225049921,0.409999996423721,0.147942379139564,both
"[20,80]",3,2800180,0.445193936867819,0.409999996423721,0.147946155181076,both
"[20,80]",4,2633740,0.44592314643926,0.409999996423721,0.14783931989365,both
"[20,80]",5,2897541,0.444769581755817,0.409999996423721,0.146762182622417,both
"[20,80]",6,2931198,0.443468107174299,0.400000005960465,0.145554638015765,both
"[20,80]",7,2960751,0.443847668680612,0.400000005960465,0.145261674558329,both
"[20,80]",8,2818611,0.444519899490428,0.409999996423721,0.14608226255338,both
"[20,80]",9,2553112,0.445620939222877,0.409999996423721,0.14728718914002,both
"[20,80]",10,2738584,0.444051111173713,0.400000005960465,0.146431515773326,both
"[20,80]",11,2857379,0.443510251443836,0.400000005960465,0.146458627411057,both
"[20,80]",12,2862476,0.445629604739122,0.409999996423721,0.147714242412061,both
