age_group,month,n,mean,median,std,type
"[20,80]",1,978803,0.494179293176554,0.496583461761475,0.248915297321849,male
"[20,80]",2,909897,0.491814431891603,0.495952278375626,0.249913177245193,male
"[20,80]",3,960136,0.49105205039567,0.494793206453323,0.249953071723897,male
"[20,80]",4,894680,0.49246691412618,0.49597841501236,0.248865451882228,male
"[20,80]",5,968886,0.495083626611336,0.49667090177536,0.247289215364519,male
"[20,80]",6,979898,0.495568589938754,0.496895790100098,0.245716701852533,male
"[20,80]",7,989510,0.494483150913314,0.496102392673492,0.244574455744408,male
"[20,80]",8,939912,0.490948736962204,0.493243008852005,0.245365231993753,male
"[20,80]",9,850976,0.487641820562551,0.489670544862747,0.24782747558651,male
"[20,80]",10,913144,0.490064725238261,0.492213666439056,0.247367644567716,male
"[20,80]",11,962457,0.491991335458975,0.494793206453323,0.246503783360321,male
"[20,80]",12,982633,0.49183107565037,0.494725376367569,0.247372728469057,male
"[20,80]",1,1505631,0.479672215800362,0.475380212068558,0.246902383962872,female
"[20,80]",2,1417032,0.481033813738862,0.477172046899796,0.247271036899395,female
"[20,80]",3,1496760,0.4819505591772,0.477723121643066,0.247349752829208,female
"[20,80]",4,1415782,0.484306807480686,0.480343341827393,0.246094387188918,female
"[20,80]",5,1572487,0.488970536120217,0.485778421163559,0.244161658746287,female
"[20,80]",6,1591402,0.491773743480303,0.489006757736206,0.24322250696569,female
"[20,80]",7,1603950,0.490594050839296,0.487250059843063,0.242057763350354,female
"[20,80]",8,1525493,0.487066629284029,0.482622981071472,0.242505233957437,female
"[20,80]",9,1383724,0.4836157740658,0.478957086801529,0.244289250223641,female
"[20,80]",10,1482315,0.48174651740317,0.477608174085617,0.243866963458439,female
"[20,80]",11,1532650,0.479374227964665,0.474668979644775,0.243651262395179,female
"[20,80]",12,1519877,0.478001143363018,0.473387539386749,0.245093460996293,female
"[20,80]",1,2484304,0.485389396770957,0.485228180885315,0.24776834796151,both
"[20,80]",2,2326931,0.485228820063371,0.485181629657745,0.248347117855272,both
"[20,80]",3,2456313,0.48554004384309,0.485490590333939,0.248339142093127,both
"[20,80]",4,2310389,0.487489013262489,0.486869513988495,0.247179544029554,both
"[20,80]",5,2541133,0.491313972788337,0.49063840508461,0.245343665435999,both
"[20,80]",6,2570836,0.493245773432391,0.493086814880371,0.244135345163383,both
"[20,80]",7,2593114,0.492132845961683,0.491635411977768,0.242990370116001,both
"[20,80]",8,2464969,0.488588863824269,0.487188577651978,0.243557404285378,both
"[20,80]",9,2234470,0.485158453527386,0.484571754932404,0.245609322318783,both
"[20,80]",10,2395402,0.484918992800762,0.484571754932404,0.245216904172653,both
"[20,80]",11,2494389,0.484312323689179,0.483193129301071,0.244746815279776,both
"[20,80]",12,2501982,0.48354204175077,0.481979727745056,0.246016641067999,both
