age_group,month,n,mean,median,std,type
"[20,80]",1,1030866,6.71473413964686,6.5,1.64073942584205,male
"[20,80]",2,962103,6.68805535752366,6.5,1.65595509391793,male
"[20,80]",3,1016801,6.68905668234441,6.5,1.65463380771533,male
"[20,80]",4,954400,6.69769692310519,6.5,1.65107079963944,male
"[20,80]",5,1035985,6.70829708410884,6.5,1.62337206650213,male
"[20,80]",6,1056383,6.70666646918104,6.5,1.61917695215308,male
"[20,80]",7,1070331,6.69931160113665,6.5,1.61369064304109,male
"[20,80]",8,1012633,6.68790681768672,6.5,1.61272616800439,male
"[20,80]",9,909669,6.67785786292555,6.5,1.62217287283084,male
"[20,80]",10,975827,6.68591122641786,6.5,1.62232898156671,male
"[20,80]",11,1028924,6.6915420426658,6.5,1.61994703557966,male
"[20,80]",12,1041473,6.69081666478129,6.5,1.62116393603623,male
"[20,80]",1,1610719,5.88063309907504,5.69999980926514,1.53280947434485,female
"[20,80]",2,1501791,5.90837542918495,5.69999980926514,1.52188125471324,female
"[20,80]",3,1591313,5.9150093254498,5.69999980926514,1.52361766051891,female
"[20,80]",4,1520329,5.92600543319376,5.69999980926514,1.52106311629868,female
"[20,80]",5,1709401,5.93898553652237,5.80000019073486,1.51777058999139,female
"[20,80]",6,1740634,5.94720930729165,5.80000019073486,1.51676726823023,female
"[20,80]",7,1753128,5.9289158030637,5.80000019073486,1.49651289117818,female
"[20,80]",8,1663488,5.91468387147986,5.69999980926514,1.49575204670041,female
"[20,80]",9,1503830,5.91587468935049,5.69999980926514,1.51583931276871,female
"[20,80]",10,1603227,5.89580980321912,5.69999980926514,1.49946635197293,female
"[20,80]",11,1653751,5.88583658203608,5.69999980926514,1.49748478575753,female
"[20,80]",12,1622758,5.8825213454263,5.69999980926514,1.50071442652087,female
"[20,80]",1,2635608,6.20969102377457,6,1.6065670637083,both
"[20,80]",2,2465178,6.2090903007674,6,1.60835448667456,both
"[20,80]",3,2609760,6.21328391888686,6,1.60849780842764,both
"[20,80]",4,2476326,6.22084994832602,6,1.60507749908826,both
"[20,80]",5,2756339,6.22708333433373,6,1.60062122774309,both
"[20,80]",6,2779387,6.24012024496839,6.09999990463257,1.57151091242367,both
"[20,80]",7,2811539,6.23416699808157,6.09999990463257,1.56564068958086,both
"[20,80]",8,2684163,6.2001995440686,6,1.57768642585359,both
"[20,80]",9,2416341,6.18848244002902,6,1.58517248679865,both
"[20,80]",10,2586177,6.18745478287418,6,1.58439826358683,both
"[20,80]",11,2689170,6.18626493243059,6,1.58361997928917,both
"[20,80]",12,2671210,6.18831046527524,6,1.58719124974201,both
