age_group,month,n,mean,median,std,type
"[20,80]",1,1078681,9.32920872598338,9.19999980926514,1.18222148528022,male
"[20,80]",2,1000432,9.32623442432747,9.19999980926514,1.182560276958,male
"[20,80]",3,1056748,9.30556082257734,9.19999980926514,1.18010715682881,male
"[20,80]",4,986751,9.29027307563834,9.19999980926514,1.17761145410626,male
"[20,80]",5,1070064,9.2774240871783,9.19999980926514,1.17536469420345,male
"[20,80]",6,1079369,9.24139937209158,9.10000038146973,1.1565403041901,male
"[20,80]",7,1092115,9.21468532999948,9.10000038146973,1.15474728440133,male
"[20,80]",8,1038781,9.20665726376084,9.10000038146973,1.15712024780301,male
"[20,80]",9,939490,9.21679585530321,9.10000038146973,1.15945238864445,male
"[20,80]",10,1003820,9.25579144463461,9.10000038146973,1.16395712827096,male
"[20,80]",11,1063975,9.31591919719474,9.19999980926514,1.18466330350165,male
"[20,80]",12,1085916,9.32502654722917,9.19999980926514,1.18308629754131,male
"[20,80]",1,1643445,9.43666039228507,9.30000019073486,1.18673117161456,female
"[20,80]",2,1543355,9.43551397900687,9.30000019073486,1.18635806631057,female
"[20,80]",3,1630294,9.41648666369143,9.30000019073486,1.18496563138615,female
"[20,80]",4,1544816,9.39864135750296,9.30000019073486,1.18146431266818,female
"[20,80]",5,1716302,9.39245337953553,9.30000019073486,1.18202577542722,female
"[20,80]",6,1731909,9.35341518907506,9.19999980926514,1.16346077462967,female
"[20,80]",7,1748535,9.32628586047029,9.19999980926514,1.16223803577843,female
"[20,80]",8,1663569,9.31934217715546,9.19999980926514,1.16571199989986,female
"[20,80]",9,1508632,9.33384219225175,9.19999980926514,1.16735097271667,female
"[20,80]",10,1612272,9.37018460598767,9.30000019073486,1.17007659900792,female
"[20,80]",11,1676316,9.42350439231995,9.30000019073486,1.18793168993501,female
"[20,80]",12,1662672,9.43107910523146,9.30000019073486,1.18722429948883,female
"[20,80]",1,2717569,9.4092259223804,9.30000019073486,1.18608001312122,both
"[20,80]",2,2539534,9.40774188843056,9.30000019073486,1.18607373619039,both
"[20,80]",3,2682103,9.3878563431053,9.30000019073486,1.18419495720252,both
"[20,80]",4,2511552,9.35478243464178,9.19999980926514,1.1653867341671,both
"[20,80]",5,2764288,9.34660344969676,9.19999980926514,1.16498731201576,both
"[20,80]",6,2805752,9.32538071711452,9.19999980926514,1.16205639679492,both
"[20,80]",7,2847374,9.26005221051084,9.10000038146973,1.15841986192348,both
"[20,80]",8,2709243,9.25193113060859,9.10000038146973,1.16144884853218,both
"[20,80]",9,2453651,9.26521861070608,9.10000038146973,1.16330610824697,both
"[20,80]",10,2637796,9.31990056473189,9.19999980926514,1.18265853970054,both
"[20,80]",11,2735460,9.39667105393901,9.30000019073486,1.18774223468809,both
"[20,80]",12,2744205,9.40439107162201,9.30000019073486,1.1869245041481,both
