age_group,month,n,mean,median,std,type
"[20,80]",1,373973,0.506174498303163,0.49064713716507,0.238328824506638,male
"[20,80]",2,348436,0.507086897472329,0.490797758102417,0.239232394853592,male
"[20,80]",3,365214,0.501810710646062,0.483135163784027,0.239688310846432,male
"[20,80]",4,336373,0.496651895957496,0.476700216531754,0.239595714027867,male
"[20,80]",5,370973,0.491274782386352,0.472471922636032,0.239363834511159,male
"[20,80]",6,381928,0.481586525637775,0.461336046457291,0.239094982243289,male
"[20,80]",7,385588,0.470739257127195,0.453762650489807,0.238824604708743,male
"[20,80]",8,363975,0.467253294520342,0.450611740350723,0.239925178205535,male
"[20,80]",9,321563,0.469244006159535,0.453581213951111,0.240235312936995,male
"[20,80]",10,341671,0.483279461390392,0.462243139743805,0.241315313956275,male
"[20,80]",11,363577,0.497113014609252,0.478556036949158,0.239913951060441,male
"[20,80]",12,371500,0.503536949971964,0.485198348760605,0.23870145974478,male
"[20,80]",1,512126,0.506614155423069,0.5176642537117,0.238920245636602,female
"[20,80]",2,489303,0.50794060842087,0.520702958106995,0.239809851072643,female
"[20,80]",3,511614,0.502782726833575,0.513036012649536,0.239641987550435,female
"[20,80]",4,480637,0.495950940469955,0.50557804107666,0.239273228443579,female
"[20,80]",5,547527,0.491140719357052,0.500397562980652,0.240088806798958,female
"[20,80]",6,563285,0.481575520482813,0.457422286272049,0.239893787884022,female
"[20,80]",7,566012,0.469904746819183,0.445299357175827,0.239750440924402,female
"[20,80]",8,530496,0.466754079048066,0.44128879904747,0.241019904203302,female
"[20,80]",9,470108,0.469716157194358,0.444724828004837,0.241066576169378,female
"[20,80]",10,499213,0.481290556247657,0.457422286272049,0.241056508482256,female
"[20,80]",11,520537,0.495810261449241,0.507188320159912,0.239563177318232,female
"[20,80]",12,512343,0.502173333284773,0.512443900108337,0.238390101267696,female
"[20,80]",1,885865,0.506423933129655,0.514226913452148,0.23858000289761,both
"[20,80]",2,837475,0.507565961309266,0.516178786754608,0.23946794036088,both
"[20,80]",3,876824,0.502330745249328,0.507911086082459,0.23963797579255,both
"[20,80]",4,816874,0.496111780609497,0.493888467550278,0.239368540586476,both
"[20,80]",5,918533,0.491181498283663,0.47735583782196,0.239802080345566,both
"[20,80]",6,945195,0.481515551363203,0.459308654069901,0.239553208225324,both
"[20,80]",7,951433,0.470258262971916,0.450163871049881,0.239292905664238,both
"[20,80]",8,894514,0.466943478550571,0.447001874446869,0.240537483144671,both
"[20,80]",9,791535,0.469513579225732,0.450093805789948,0.240651357358081,both
"[20,80]",10,840898,0.482114457940361,0.459660798311234,0.241144130358319,both
"[20,80]",11,883963,0.496300414444307,0.498520195484161,0.239668335902969,both
"[20,80]",12,883529,0.50285250832318,0.508312046527863,0.238423121244483,both
