age_group,month,n,mean,median,std,type
"[20,80]",1,395477,0.503883087092795,0.486493527889252,0.238725392415237,male
"[20,80]",2,369179,0.504222677724156,0.486493527889252,0.239640114463088,male
"[20,80]",3,386132,0.499050832409055,0.480844736099243,0.240129516659675,male
"[20,80]",4,353260,0.49414873221362,0.475728154182434,0.239948492591253,male
"[20,80]",5,386749,0.488776938077168,0.467775762081146,0.239798623020353,male
"[20,80]",6,396369,0.479664383851775,0.459660798311234,0.239379722616406,male
"[20,80]",7,399223,0.468775442856151,0.451380163431168,0.239040837041029,male
"[20,80]",8,377537,0.465379443416918,0.450360715389252,0.239982794638248,male
"[20,80]",9,334562,0.467157184509947,0.450647592544556,0.240532238314457,male
"[20,80]",10,356819,0.480926750302431,0.461234539747238,0.241588092968514,male
"[20,80]",11,380285,0.494252797375373,0.476268947124481,0.240346790231464,male
"[20,80]",12,390766,0.501081144539324,0.483017474412918,0.239322635274577,male
"[20,80]",1,537263,0.504541188587345,0.514226913452148,0.239302812140862,female
"[20,80]",2,513928,0.505684157822193,0.515834033489227,0.240098339459026,female
"[20,80]",3,535946,0.500750261624527,0.510324656963348,0.239823380142465,female
"[20,80]",4,499323,0.493801095441449,0.503375470638275,0.23956618797195,female
"[20,80]",5,564721,0.489320505403328,0.499551385641098,0.240379895932971,female
"[20,80]",6,578411,0.480140877578057,0.456158965826035,0.240115436590344,female
"[20,80]",7,580252,0.468481754902691,0.443611621856689,0.239926773272702,female
"[20,80]",8,543881,0.465209040301231,0.440550714731216,0.241177787583115,female
"[20,80]",9,483890,0.468330657052102,0.44354522228241,0.241358113090266,female
"[20,80]",10,515475,0.479580950553552,0.455559372901917,0.241329636589457,female
"[20,80]",11,539938,0.494057746938192,0.505057692527771,0.239867539706175,female
"[20,80]",12,534287,0.500375999215485,0.510072767734528,0.238675370075278,female
"[20,80]",1,932499,0.504362898084468,0.510860145092011,0.238967076556802,both
"[20,80]",2,882828,0.505101670076186,0.512443900108337,0.239802161694821,both
"[20,80]",3,922200,0.500005710778063,0.504545897245407,0.239965803999014,both
"[20,80]",4,852360,0.493971986174463,0.484959453344345,0.239662377236802,both
"[20,80]",5,951342,0.48916729556196,0.473788052797318,0.240110002813534,both
"[20,80]",6,974724,0.479880576256905,0.457917600870132,0.23978713470968,both
"[20,80]",7,979081,0.468649401310769,0.44872197508812,0.239430467222727,both
"[20,80]",8,921331,0.46538696463828,0.446147710084915,0.240626366749462,both
"[20,80]",9,818103,0.467813084574402,0.448012083768845,0.240883476432211,both
"[20,80]",10,871950,0.48012266327629,0.458267688751221,0.241316963528371,both
"[20,80]",11,920127,0.494119063564266,0.488541305065155,0.240040674863035,both
"[20,80]",12,925065,0.500609291303398,0.505057692527771,0.238950066047289,both
