age_group,month,n,mean,median,std,type
"[20,80]",1,1034225,0.576699685279397,0.603529930114746,0.279271910096434,male
"[20,80]",2,959779,0.579619852841853,0.606977581977844,0.278332388703206,male
"[20,80]",3,1014863,0.582843185392385,0.611903786659241,0.278655202425112,male
"[20,80]",4,951198,0.578104637840554,0.605391979217529,0.279511352792142,male
"[20,80]",5,1038422,0.571990684071029,0.596693634986877,0.278161583437317,male
"[20,80]",6,1055179,0.566774732177857,0.587781727313995,0.27741331520858,male
"[20,80]",7,1068564,0.56339484409987,0.582970321178436,0.278791134391183,male
"[20,80]",8,1013114,0.56311169738222,0.582630634307861,0.280193473347872,male
"[20,80]",9,913530,0.569472584178432,0.592241108417511,0.280619990427928,male
"[20,80]",10,978703,0.571627998688509,0.595877528190613,0.278789033962939,male
"[20,80]",11,1029002,0.570947366569968,0.594871640205383,0.277208524382045,male
"[20,80]",12,1044334,0.574336797017976,0.600042700767517,0.278516624397302,male
"[20,80]",1,1604973,0.618828938592605,0.664553225040436,0.280216626680516,female
"[20,80]",2,1508708,0.619012853210083,0.665220856666565,0.279389957163842,female
"[20,80]",3,1597830,0.619467481396094,0.666244924068451,0.280356443788576,female
"[20,80]",4,1523635,0.614951836801714,0.659638822078705,0.281633883844973,female
"[20,80]",5,1706458,0.606264142436727,0.646003782749176,0.281900769144596,female
"[20,80]",6,1734337,0.598470655952416,0.634255111217499,0.282870717178804,female
"[20,80]",7,1750049,0.593282034951696,0.626116454601288,0.284986277265812,female
"[20,80]",8,1662583,0.594115508260054,0.628194987773895,0.286136464929346,female
"[20,80]",9,1502433,0.604745908162374,0.643773019313812,0.284341963687411,female
"[20,80]",10,1605089,0.613090191977577,0.655531167984009,0.280188334453053,female
"[20,80]",11,1653906,0.614537272064311,0.656572282314301,0.278342943103549,female
"[20,80]",12,1628783,0.618134269070157,0.663223505020142,0.279407997680988,female
"[20,80]",1,2639238,0.602341494088325,0.639923810958862,0.280570477134496,both
"[20,80]",2,2468413,0.603709249909343,0.642431676387787,0.279605796552653,both
"[20,80]",3,2612618,0.605244377388522,0.645027279853821,0.280238793728129,both
"[20,80]",4,2474783,0.600793399661666,0.638762652873993,0.281368209006232,both
"[20,80]",5,2744859,0.593300078034733,0.626574575901032,0.280965964461229,both
"[20,80]",6,2789507,0.586481946600345,0.616269767284393,0.28122506970978,both
"[20,80]",7,2818564,0.581958639374852,0.609244465827942,0.283008452567327,both
"[20,80]",8,2675612,0.582378782376047,0.610150456428528,0.284281081768821,both
"[20,80]",9,2415979,0.591402777687928,0.623741805553436,0.28344595322155,both
"[20,80]",10,2583755,0.5973961970189,0.631691694259644,0.280348375531071,both
"[20,80]",11,2682944,0.597839394344414,0.632002711296082,0.278681999513343,both
"[20,80]",12,2673176,0.601040695741337,0.637368679046631,0.279848954991401,both
