age_group,month,n,mean,median,std,type
"[20,80]",1,8120,148.181547113358,75,182.102271376213,male
"[20,80]",2,7044,151.273342451137,79.4000015258789,180.404540100847,male
"[20,80]",3,7504,150.988552883871,77.8500022888184,181.617391638282,male
"[20,80]",4,7169,141.700621465906,75,171.636837473737,male
"[20,80]",5,7695,141.555769287665,71.4000015258789,174.839123547981,male
"[20,80]",6,7791,140.78550933595,72.6999969482422,173.359149506523,male
"[20,80]",7,8183,141.64877985288,72.3000030517578,175.494245553407,male
"[20,80]",8,7666,142.245983065807,71.25,178.422435244772,male
"[20,80]",9,6980,150.617594674119,76.6999969482422,184.268159091551,male
"[20,80]",10,7688,140.609147235208,70.5,177.920112653613,male
"[20,80]",11,8027,135.495893802384,68,172.369309197486,male
"[20,80]",12,8398,141.219172707567,72.3000030517578,174.385475346665,male
"[20,80]",1,12285,101.439455514426,58.2000007629395,130.542112716083,female
"[20,80]",2,11242,102.402700662995,58.2999992370606,131.157438338486,female
"[20,80]",3,11681,99.7569720301968,57.5,127.665454843344,female
"[20,80]",4,11071,96.3266207324857,56.2000007629395,120.125820264294,female
"[20,80]",5,12262,93.6166477620242,54.9000015258789,119.327119496818,female
"[20,80]",6,12947,93.4852006757104,54.5999984741211,117.742286296543,female
"[20,80]",7,12776,94.7511077157841,54.7999992370606,119.086826243212,female
"[20,80]",8,11985,95.4002093284489,55,122.827526510874,female
"[20,80]",9,10742,101.107163329738,56.2000007629395,132.46041155045,female
"[20,80]",10,12015,93.3534851697302,54.0999984741211,119.058482412751,female
"[20,80]",11,13026,88.6131851866775,54.7999992370606,107.272372230506,female
"[20,80]",12,13226,94.2132701511086,56.6499996185303,114.776768127441,female
"[20,80]",1,20401,120.002779295664,63.5,154.481099746185,both
"[20,80]",2,18283,121.188124765695,65,153.517136253526,both
"[20,80]",3,19187,119.771741551792,63.2999992370606,152.670642389942,both
"[20,80]",4,18240,114.017838462403,62.4000015258789,143.424989918873,both
"[20,80]",5,19958,112.081354820247,60.0999984741211,144.900533226802,both
"[20,80]",6,20740,111.103312276483,60.2000007629395,141.973995921144,both
"[20,80]",7,20965,112.857739952473,60.2999992370606,144.28729855798,both
"[20,80]",8,19654,113.598438742445,60.2000007629395,148.230659194531,both
"[20,80]",9,17720,120.592125241859,62.4500007629395,156.416669967006,both
"[20,80]",10,19704,111.66097991635,59,145.9098880688,both
"[20,80]",11,21052,106.264670806943,59,136.197301042075,both
"[20,80]",12,21623,112.245739402501,62,141.340906634651,both
