age_group,month,n,mean,median,std,type
"[20,80]",1,18674,169.984410710134,84.6999969482422,206.686356573555,male
"[20,80]",2,16466,171.220774692796,86,209.597085694627,male
"[20,80]",3,16999,172.534167889743,84,215.216891503484,male
"[20,80]",4,15632,165.913029891381,83.1999969482422,203.305602656567,male
"[20,80]",5,16904,166.973484255046,81,209.875829586362,male
"[20,80]",6,17354,163.204410241224,81,203.251573885083,male
"[20,80]",7,18137,163.41728030094,80.3000030517578,203.710722823703,male
"[20,80]",8,16662,164.274866127135,78.9000015258789,208.385985820865,male
"[20,80]",9,15076,168.793853870846,82.6499977111816,209.214943728312,male
"[20,80]",10,16370,161.390523819699,79,201.074586522795,male
"[20,80]",11,17282,158.212098386025,76.5999984741211,200.582257881107,male
"[20,80]",12,18251,163.872170627166,82.0999984741211,201.976217903133,male
"[20,80]",1,29964,112.329623179257,63,147.838843185257,female
"[20,80]",2,27566,112.50190553497,62.7000007629395,147.607150567187,female
"[20,80]",3,28531,109.797876302612,61.7000007629395,144.64385701586,female
"[20,80]",4,26409,106.272930350198,60.9000015258789,135.497180158459,female
"[20,80]",5,29151,106.131487361048,60,141.112326022572,female
"[20,80]",6,30356,103.163288256069,59,132.546266529452,female
"[20,80]",7,30384,103.962818253379,58.7000007629395,136.98652646525,female
"[20,80]",8,28414,104.685516601798,58.7999992370606,138.788198366756,female
"[20,80]",9,25232,107.937798176223,59.2000007629395,144.462815564523,female
"[20,80]",10,27392,103.702650866323,58.2999992370606,137.198927249424,female
"[20,80]",11,29981,100.052711480327,58.9000015258789,127.658008063395,female
"[20,80]",12,30794,104.56325204507,60.5999984741211,132.726064852228,female
"[20,80]",1,48626,134.425671756535,69.1999969482422,174.574134120183,both
"[20,80]",2,44032,134.385789356476,69.3000030517578,175.163630765227,both
"[20,80]",3,45542,133.026486072253,68,175.881777651634,both
"[20,80]",4,42047,128.22530693504,67.5,165.148291107477,both
"[20,80]",5,46059,128.326416395405,65.6999969482422,171.166219599746,both
"[20,80]",6,47713,124.770572246369,65,162.838279043556,both
"[20,80]",7,48526,125.97259227743,64.6999969482422,166.21097436066,both
"[20,80]",8,45075,126.454994746148,64.5,168.81472225683,both
"[20,80]",9,40296,130.666708215991,65.4000015258789,173.654823794384,both
"[20,80]",10,43766,125.16375011274,64.0999984741211,165.497566518118,both
"[20,80]",11,47258,121.074415495627,64.0999984741211,159.023607128125,both
"[20,80]",12,49042,126.458985006083,66.8000030517578,163.368932727698,both
