age_group,month,n,mean,median,std,type
"[20,80]",1,499679,0.562538678562305,0.58295476436615,0.272742397738224,male
"[20,80]",2,457297,0.565372875082307,0.587659001350403,0.273163920253758,male
"[20,80]",3,477877,0.56228808582153,0.582927823066711,0.274200419618554,male
"[20,80]",4,449515,0.554427703781223,0.570680022239685,0.275889886332356,male
"[20,80]",5,492378,0.544699340797926,0.559086620807648,0.276617941350666,male
"[20,80]",6,497397,0.535085538499276,0.544977605342865,0.277325618474085,male
"[20,80]",7,504190,0.525886197367935,0.532308995723724,0.278381402361498,male
"[20,80]",8,479641,0.52162127221551,0.52703458070755,0.279446363359497,male
"[20,80]",9,427151,0.525048590724683,0.530299782752991,0.279731712885947,male
"[20,80]",10,467330,0.532977210189381,0.542592227458954,0.277052950242291,male
"[20,80]",11,503293,0.540507824501152,0.552277266979218,0.275261915826288,male
"[20,80]",12,510234,0.55070371937701,0.567553341388702,0.27387796664522,male
"[20,80]",1,647721,0.559406595568398,0.576610207557678,0.270592622557966,female
"[20,80]",2,603219,0.562334932780822,0.582182466983795,0.270013701845455,female
"[20,80]",3,631708,0.559142359416183,0.576498866081238,0.271158916295779,female
"[20,80]",4,604334,0.551642016696796,0.567532420158386,0.272625392587463,female
"[20,80]",5,682143,0.543753797428318,0.555063843727112,0.272364334411492,female
"[20,80]",6,688977,0.535619875282999,0.544575214385986,0.272949857806875,female
"[20,80]",7,692824,0.527576215687692,0.532984018325806,0.274273417100146,female
"[20,80]",8,656777,0.524034688809947,0.52812534570694,0.275439488616346,female
"[20,80]",9,586201,0.529083375181692,0.534495949745178,0.275492730922615,female
"[20,80]",10,642849,0.536252864894605,0.544337213039398,0.273743372702552,female
"[20,80]",11,679393,0.541611266023178,0.552802562713623,0.271428664352552,female
"[20,80]",12,664779,0.550616415471581,0.564908862113953,0.271089320422364,female
"[20,80]",1,1147409,0.560775079444969,0.579684555530548,0.271533042897463,both
"[20,80]",2,1060513,0.563629319075006,0.584545433521271,0.27137880176783,both
"[20,80]",3,1109538,0.560511476259947,0.579617083072662,0.272459399081854,both
"[20,80]",4,1053851,0.552826484829389,0.569221675395966,0.274024118889667,both
"[20,80]",5,1174541,0.544126807422957,0.556992113590241,0.274155140112254,both
"[20,80]",6,1186348,0.535404741462465,0.544977605342865,0.274777305638536,both
"[20,80]",7,1197122,0.526826893028864,0.532502412796021,0.27602969884366,both
"[20,80]",8,1136395,0.523038672538771,0.527591526508331,0.27712454932461,both
"[20,80]",9,1013283,0.527412491116083,0.532721817493439,0.277265001751661,both
"[20,80]",10,1110128,0.534892924159668,0.54402482509613,0.275122705299389,both
"[20,80]",11,1182654,0.541152807150579,0.552491009235382,0.273049272629665,both
"[20,80]",12,1175021,0.550658780976758,0.566361963748932,0.272300410261271,both
