age_group,month,n,mean,median,std,type
"[20,80]",1,290302,75.7441009709104,74,13.5303469559622,male
"[20,80]",2,267824,76.1800111267927,75,13.3894546019724,male
"[20,80]",3,281182,75.7376396779849,74,13.5594247953401,male
"[20,80]",4,253482,75.2283077299134,74,13.3454890349169,male
"[20,80]",5,281223,74.6117035236142,73,13.5086404462064,male
"[20,80]",6,286841,74.0963753435976,73,13.3145860749499,male
"[20,80]",7,286224,73.5677633600722,72,13.082745950446,male
"[20,80]",8,270285,72.8957023142436,72,13.05852842422,male
"[20,80]",9,239760,73.1434980813607,72,13.2587003554265,male
"[20,80]",10,254874,73.7872909753131,73,13.0914191687443,male
"[20,80]",11,277789,74.2916857761501,73,13.2912518697514,male
"[20,80]",12,285177,75.1672049288554,74,13.3294222867652,male
"[20,80]",1,361073,72.800453370963,71,15.2094721067294,female
"[20,80]",2,347942,72.9294235819707,71,15.2402247248132,female
"[20,80]",3,361263,72.7206780100215,71,15.2091270450303,female
"[20,80]",4,333730,72.3198283042584,71,15.0209477226303,female
"[20,80]",5,382099,71.5368205620666,70,14.9576900261547,female
"[20,80]",6,391544,71.2193727912223,70,14.9398524476804,female
"[20,80]",7,389867,70.041886335348,68,14.6866598138654,female
"[20,80]",8,363080,69.8787947560481,68,14.7040094355954,female
"[20,80]",9,319984,69.9943797189812,68,14.6749243165038,female
"[20,80]",10,341484,70.8411972448365,69,14.7077261955175,female
"[20,80]",11,365218,71.4085680332805,70,14.9400079804252,female
"[20,80]",12,359039,72.2222936785471,71,14.9599216939738,female
"[20,80]",1,648751,74.0606624114033,73,14.3770774354481,both
"[20,80]",2,621027,74.3600162311587,73,14.6096389156837,both
"[20,80]",3,643505,74.2012913650381,73,14.5840270797662,both
"[20,80]",4,588140,73.7381538408885,72,14.3856221317547,both
"[20,80]",5,661801,72.9379248444232,72,14.3410582547229,both
"[20,80]",6,674913,72.3961315015394,71,14.1437810224141,both
"[20,80]",7,679477,71.4796773104477,70,14.0976422294185,both
"[20,80]",8,634277,71.3326751561359,70,14.095683406985,both
"[20,80]",9,558818,71.4252602815132,70,14.0791432552458,both
"[20,80]",10,597261,72.2689415515147,71,14.1071505625593,both
"[20,80]",11,640014,72.6026410360501,71,14.13010931193,both
"[20,80]",12,641848,73.4707577184179,72,14.1563183326434,both
