age_group,month,n,mean,median,std,type
"[20,80]",1,1143872,233.639655485899,227,68.2811791411486,male
"[20,80]",2,1061832,233.606791752369,227,68.3334564255664,male
"[20,80]",3,1122609,232.626084594003,226,68.3771110669891,male
"[20,80]",4,1051516,230.838627467362,224,67.9984228175692,male
"[20,80]",5,1147791,228.805982796529,222,66.566385849376,male
"[20,80]",6,1165847,227.731141907975,221,65.7696919301945,male
"[20,80]",7,1180919,227.043879554812,221,65.9814518511924,male
"[20,80]",8,1119862,226.624233789518,221,66.2803712470204,male
"[20,80]",9,1009987,227.299981286874,221,66.8554139870836,male
"[20,80]",10,1081106,228.488743934484,222,66.5904637116571,male
"[20,80]",11,1136923,230.106170426711,224,66.5557840810595,male
"[20,80]",12,1154342,232.168717243241,226,67.5601233263532,male
"[20,80]",1,1771682,258.818372653787,253,70.7230095323191,female
"[20,80]",2,1665470,258.504744546595,252,70.5268677472494,female
"[20,80]",3,1763322,257.129611721502,251,70.432104707978,female
"[20,80]",4,1680781,254.776997181657,249,69.5162453986948,female
"[20,80]",5,1882362,252.771334366062,247,68.2706608552554,female
"[20,80]",6,1912210,251.256486682949,245,67.5014880263096,female
"[20,80]",7,1930079,250.474232453713,245,67.6599538525099,female
"[20,80]",8,1833721,250.304373347956,245,67.9789600044341,female
"[20,80]",9,1656683,251.144396121638,245,68.2757285334546,female
"[20,80]",10,1769440,252.963057577521,247,68.511040214132,female
"[20,80]",11,1823227,255.351041093625,250,68.8619246608672,female
"[20,80]",12,1796782,257.526220877095,252,70.1709621519927,female
"[20,80]",1,2915570,248.956160853614,243,70.8182885052447,both
"[20,80]",2,2726991,248.818328443329,242,70.6652012973185,both
"[20,80]",3,2886058,247.575616706239,241,70.6225825481613,both
"[20,80]",4,2732824,245.561888361622,239,69.9309143981898,both
"[20,80]",5,3030266,243.702577991497,237,68.5973315104925,both
"[20,80]",6,3078442,242.351565402236,236,67.81617434758,both
"[20,80]",7,3110582,241.632331087879,235,67.9400172181584,both
"[20,80]",8,2953783,241.335423286,235,68.2969982578005,both
"[20,80]",9,2667002,242.107592232761,236,68.7050973617282,both
"[20,80]",10,2850616,243.669892788082,238,68.7813371128075,both
"[20,80]",11,2960838,245.646542060068,239,69.1009312734318,both
"[20,80]",12,2951362,247.636346913724,241,70.2552359708845,both
