age_group,month,n,mean,median,std,type
"[20,80]",1,1130067,233.017853808668,228,55.2525770820994,male
"[20,80]",2,1052194,232.95748407613,228,55.4615927404743,male
"[20,80]",3,1109969,232.039429930025,227,55.5411972793468,male
"[20,80]",4,1033199,230.149867547297,225,55.0866350729527,male
"[20,80]",5,1118514,228.046610949885,223,53.7595318516809,male
"[20,80]",6,1130292,226.936496940614,222,53.1412740145444,male
"[20,80]",7,1142241,226.134603818284,222,53.1090796591826,male
"[20,80]",8,1084784,225.892609957374,221,53.4046818537008,male
"[20,80]",9,982504,226.685247286506,222,53.8798651434326,male
"[20,80]",10,1053205,227.658284664455,223,53.6803740029151,male
"[20,80]",11,1109849,229.462630592123,225,53.8012431307664,male
"[20,80]",12,1134077,231.497472834737,227,54.6928654171801,male
"[20,80]",1,1733909,257.833056982806,253,57.8431436040008,female
"[20,80]",2,1631779,257.409207374283,253,57.7019850515167,female
"[20,80]",3,1721772,256.13106845738,252,57.5372795734451,female
"[20,80]",4,1629536,253.738994413134,249,56.8878841576295,female
"[20,80]",5,1809592,251.583301097706,247,55.7839112314,female
"[20,80]",6,1829737,250.164807291977,246,55.1875167265505,female
"[20,80]",7,1842468,249.382603659874,245,55.107122434619,female
"[20,80]",8,1752755,249.174439097307,245,55.3599884631468,female
"[20,80]",9,1591493,250.041361664804,246,55.7899397183819,female
"[20,80]",10,1704751,251.848997654198,248,56.0375572890316,female
"[20,80]",11,1761932,254.216587473302,250,56.3361825150838,female
"[20,80]",12,1746086,256.571790278371,252,57.2518452294274,female
"[20,80]",1,2862473,248.095945009787,243,57.782486993394,both
"[20,80]",2,2682562,247.876117308752,243,57.7692593494136,both
"[20,80]",3,2829864,246.704366358242,242,57.6465868596279,both
"[20,80]",4,2662801,244.671302511904,240,57.1434384250696,both
"[20,80]",5,2924747,242.821571233341,238,55.884400016269,both
"[20,80]",6,2958808,241.253550754223,237,55.2575366782663,both
"[20,80]",7,2986154,240.551415633621,236,55.3291754138899,both
"[20,80]",8,2837977,240.303977093542,236,55.5574998229224,both
"[20,80]",9,2574107,241.149744979518,237,55.9920600579477,both
"[20,80]",10,2758024,242.617512501711,238,56.1204524232158,both
"[20,80]",11,2871746,244.724713989345,240,56.4078984721638,both
"[20,80]",12,2880677,246.643394070213,242,57.2737637965272,both
