age_group,month,n,mean,median,std,type
"[20,80]",1,497224,240.842348720094,235,58.1149429929499,male
"[20,80]",2,465226,240.523898062447,234,58.4648915971624,male
"[20,80]",3,486475,239.363661030885,233,58.1125625987556,male
"[20,80]",4,444614,237.507590854089,231,57.5718301010376,male
"[20,80]",5,486138,235.302778223467,229,56.3546619770475,male
"[20,80]",6,498003,233.919500484937,228,55.7485395211976,male
"[20,80]",7,500545,233.151253134084,227,55.2448666273698,male
"[20,80]",8,472496,233.15371347059,227,55.6792392575737,male
"[20,80]",9,418162,234.0400502676,228,55.7588988835317,male
"[20,80]",10,447061,235.804873831597,230,56.1090170971125,male
"[20,80]",11,477194,237.540273138369,232,56.5003005300572,male
"[20,80]",12,490475,239.559870533666,234,57.450718066386,male
"[20,80]",1,670715,269.516061218252,263,64.4115753489849,female
"[20,80]",2,643815,268.808744748103,262,64.3967658934039,female
"[20,80]",3,671631,267.302885066353,261,63.9529808679181,female
"[20,80]",4,625524,264.908518298259,259,63.1171166024289,female
"[20,80]",5,707301,261.988050349144,256,61.9758215421134,female
"[20,80]",6,724064,260.213945176117,254,61.4243297218836,female
"[20,80]",7,724996,259.625050345105,254,61.0911293345168,female
"[20,80]",8,678646,259.869470976032,254,61.1140036771457,female
"[20,80]",9,601921,261.243672342384,255,61.4392728459876,female
"[20,80]",10,642535,263.393960173347,257,61.965839850832,female
"[20,80]",11,674225,265.791184990169,260,62.5037966805387,female
"[20,80]",12,666934,268.455012040172,262,63.6384660147167,female
"[20,80]",1,1167754,257.315376354951,251,63.3095701507265,both
"[20,80]",2,1108905,256.963974371114,250,63.4546274061154,both
"[20,80]",3,1158040,255.583280370281,249,63.0280194398057,both
"[20,80]",4,1070095,253.5623295128,247,62.3160474316389,both
"[20,80]",5,1193633,251.100625569166,245,61.1374890097149,both
"[20,80]",6,1221795,249.538467582532,243,60.5048651759167,both
"[20,80]",7,1225729,248.792326036179,243,60.1536097320645,both
"[20,80]",8,1151173,248.885006858222,243,60.3325243077133,both
"[20,80]",9,1020169,250.067411379879,244,60.6156346828426,both
"[20,80]",10,1089643,252.054554473354,246,61.088568109005,both
"[20,80]",11,1151448,254.063547637399,248,61.6101066503234,both
"[20,80]",12,1157448,256.196257196868,250,62.6549691940548,both
