age_group,month,n,mean,median,std,type
"[20,80]",1,229154,4.47941628903858,4.5,0.27103879250706,male
"[20,80]",2,214298,4.47405379491319,4.5,0.271677364591094,male
"[20,80]",3,226753,4.45305464483729,4.40000009536743,0.271692763267082,male
"[20,80]",4,219185,4.37509464967734,4.40000009536743,0.267952459028108,male
"[20,80]",5,252674,4.35103338948294,4.30000019073486,0.266004889639818,male
"[20,80]",6,256883,4.31810111931072,4.30000019073486,0.246565070457359,male
"[20,80]",7,264537,4.3042035321717,4.30000019073486,0.246691769793814,male
"[20,80]",8,260114,4.27510733429527,4.30000019073486,0.261637989760319,male
"[20,80]",9,209287,4.30145417399211,4.30000019073486,0.248009007530488,male
"[20,80]",10,205199,4.33124079512062,4.30000019073486,0.250275987364681,male
"[20,80]",11,220525,4.38499104738857,4.40000009536743,0.267717351235415,male
"[20,80]",12,226806,4.46219231398813,4.44999980926514,0.270758579673298,male
"[20,80]",1,289849,4.44993272302036,4.40000009536743,0.270221377147164,female
"[20,80]",2,278794,4.44831223004063,4.40000009536743,0.269897927118373,female
"[20,80]",3,285652,4.41100576861879,4.40000009536743,0.252362291273763,female
"[20,80]",4,295231,4.36712672721394,4.36999988555908,0.266435109934922,female
"[20,80]",5,353862,4.35333664226687,4.30000019073486,0.265185995325099,female
"[20,80]",6,361015,4.3234612957288,4.30000019073486,0.246138537605377,female
"[20,80]",7,368340,4.31384878011572,4.30000019073486,0.245216649075997,female
"[20,80]",8,341791,4.30786319576034,4.30000019073486,0.244643037253222,female
"[20,80]",9,286080,4.31061129622928,4.30000019073486,0.245356217993315,female
"[20,80]",10,281571,4.32721064929776,4.30000019073486,0.247569982345432,female
"[20,80]",11,299035,4.37103820914124,4.40000009536743,0.265545488435924,female
"[20,80]",12,280917,4.41648518826169,4.40000009536743,0.25118231733501,female
"[20,80]",1,519003,4.4629505227004,4.44999980926514,0.270978129783762,both
"[20,80]",2,493092,4.45949952545215,4.42000007629395,0.270973042271721,both
"[20,80]",3,521336,4.44284294495322,4.40000009536743,0.27042644776542,both
"[20,80]",4,514416,4.37052174036505,4.40000009536743,0.267111486460125,both
"[20,80]",5,606536,4.35237714094472,4.30000019073486,0.265529650334116,both
"[20,80]",6,617898,4.32123287259294,4.30000019073486,0.246329919451515,both
"[20,80]",7,631269,4.31094617270149,4.30000019073486,0.245170603190045,both
"[20,80]",8,589776,4.30385159695753,4.30000019073486,0.245032747867512,both
"[20,80]",9,493707,4.3082557658767,4.30000019073486,0.24554486779607,both
"[20,80]",10,486741,4.32885863249166,4.30000019073486,0.248654513289668,both
"[20,80]",11,519560,4.37696043112618,4.40000009536743,0.266558455969493,both
"[20,80]",12,518037,4.4480969304055,4.40000009536743,0.270156217885114,both
