age_group,month,n,mean,median,std,type
"[20,80]",1,213,0.516809019474357,0.52542370557785,0.219835627668074,male
"[20,80]",2,160,0.535040526743978,0.531314581632614,0.213231826471795,male
"[20,80]",3,175,0.52558355574097,0.527777791023254,0.234155800857719,male
"[20,80]",4,168,0.523578892683699,0.550704628229141,0.2197356810537,male
"[20,80]",5,184,0.532805452609192,0.517490863800049,0.223995540469766,male
"[20,80]",6,182,0.502012989146041,0.526388883590698,0.227500766200906,male
"[20,80]",7,171,0.526970964861892,0.540983617305756,0.191939133583779,male
"[20,80]",8,174,0.495087670055272,0.49861878156662,0.24062733456187,male
"[20,80]",9,152,0.519538288936019,0.495163142681122,0.204705609088393,male
"[20,80]",10,176,0.498422318138182,0.480409219861031,0.23313380935122,male
"[20,80]",11,166,0.505408469991512,0.508241772651672,0.214284989719016,male
"[20,80]",12,186,0.505313765177483,0.483910143375397,0.226299929727889,male
"[20,80]",1,4856,0.527808802506136,0.531675070524216,0.225514058376585,female
"[20,80]",2,4457,0.518627743869652,0.513904869556427,0.227416632986387,female
"[20,80]",3,4589,0.525339850593715,0.530359745025635,0.228473512568706,female
"[20,80]",4,4253,0.521200257618232,0.519924938678742,0.225766190324724,female
"[20,80]",5,4819,0.510254407629702,0.5,0.229873735107941,female
"[20,80]",6,4847,0.522216640020834,0.513904869556427,0.232929296205735,female
"[20,80]",7,5004,0.51313158404901,0.502194851636887,0.228498023647023,female
"[20,80]",8,4871,0.525368792564136,0.528339505195618,0.231294813437236,female
"[20,80]",9,4247,0.518225230581836,0.51498556137085,0.234923827394284,female
"[20,80]",10,4556,0.514681653491662,0.512056857347488,0.234313445536226,female
"[20,80]",11,5088,0.516299151279524,0.51692071557045,0.231023822563278,female
"[20,80]",12,5045,0.527806029705805,0.532722353935242,0.224764702305995,female
"[20,80]",1,5067,0.527519781691672,0.531562387943268,0.225142676561396,both
"[20,80]",2,4618,0.519107003455466,0.514065802097321,0.22697672564744,both
"[20,80]",3,4760,0.525685713297742,0.530359745025635,0.228438659838039,both
"[20,80]",4,4423,0.52123193048815,0.521027147769928,0.22552901490379,both
"[20,80]",5,5001,0.511265298325201,0.501210629940033,0.229525125260261,both
"[20,80]",6,5032,0.521240177764209,0.514018386602402,0.232869167841841,both
"[20,80]",7,5172,0.513818757030868,0.507354080677033,0.227206873616247,both
"[20,80]",8,5046,0.52423718219953,0.525715827941895,0.231661509135933,both
"[20,80]",9,4401,0.518236873746325,0.514366149902344,0.233975327197284,both
"[20,80]",10,4734,0.514077058781991,0.510997712612152,0.234355391787768,both
"[20,80]",11,5251,0.516193487608553,0.517027616500855,0.230341528265503,both
"[20,80]",12,5232,0.527069613034196,0.532060503959656,0.22485750476638,both
