age_group,month,n,mean,median,std,type
"[20,80]",1,5346,0.512761112179898,0.514989614486694,0.246161876569585,male
"[20,80]",2,4792,0.508140016634807,0.516361773014069,0.248833059895884,male
"[20,80]",3,4913,0.509423351046111,0.517829477787018,0.249245408785818,male
"[20,80]",4,4525,0.521171742086582,0.529411792755127,0.246872766406148,male
"[20,80]",5,4998,0.53508252616213,0.545454561710358,0.246236780825493,male
"[20,80]",6,4909,0.544536899219015,0.560166001319885,0.243980958617279,male
"[20,80]",7,5180,0.55645978102554,0.576354682445526,0.242696389915012,male
"[20,80]",8,4777,0.559101711769146,0.579501152038574,0.240429911596161,male
"[20,80]",9,4160,0.541927205108536,0.552818655967712,0.247387653738689,male
"[20,80]",10,4770,0.508517831907582,0.509546995162964,0.249332532677676,male
"[20,80]",11,5405,0.501990500970586,0.5,0.249082220585087,male
"[20,80]",12,5518,0.507284372995009,0.50514617562294,0.247879072796256,male
"[20,80]",1,21403,0.511417262262063,0.509783923625946,0.24104766620079,female
"[20,80]",2,19411,0.505669077910818,0.505443572998047,0.241531173017343,female
"[20,80]",3,20514,0.50779724856963,0.507539927959442,0.239920234781997,female
"[20,80]",4,18845,0.523246264322094,0.525300681591034,0.241969486929323,female
"[20,80]",5,21258,0.528308493786436,0.533608138561249,0.237674505590903,female
"[20,80]",6,22154,0.539782141953696,0.549504935741425,0.236655611376428,female
"[20,80]",7,22537,0.558605617058781,0.57297295331955,0.236585885627984,female
"[20,80]",8,21582,0.558404199566032,0.573978781700134,0.23449727245611,female
"[20,80]",9,19606,0.531016992278322,0.535412639379501,0.238266762291047,female
"[20,80]",10,21405,0.494840222279328,0.492628127336502,0.24058374817125,female
"[20,80]",11,23016,0.490953164306904,0.484587520360947,0.240176421574805,female
"[20,80]",12,22798,0.502599711208903,0.500271171331406,0.240757864128922,female
"[20,80]",1,26750,0.511675041498982,0.510809600353241,0.24206201726052,both
"[20,80]",2,24205,0.506182589850576,0.507377326488495,0.242931244735309,both
"[20,80]",3,25427,0.5080756047835,0.508963346481323,0.24169154746364,both
"[20,80]",4,23370,0.522846060085868,0.525912195444107,0.242905406315718,both
"[20,80]",5,26256,0.529592263838361,0.535934597253799,0.239276063757464,both
"[20,80]",6,27066,0.540655439252004,0.550998359918594,0.238005348845088,both
"[20,80]",7,27719,0.558207286374697,0.573560774326325,0.237726945783478,both
"[20,80]",8,26360,0.558553661632158,0.575481206178665,0.235556139441646,both
"[20,80]",9,23768,0.532900448685725,0.537341862916946,0.239855708679262,both
"[20,80]",10,26173,0.497352942245067,0.496049761772156,0.242205008146124,both
"[20,80]",11,28421,0.493034307755773,0.487672179937363,0.241837941998616,both
"[20,80]",12,28317,0.503477709452528,0.500817120075226,0.242111253179688,both
