age_group,month,n,mean,median,std,type
"[20,80]",1,6549,245.555848947462,191,180.314053217524,male
"[20,80]",2,5870,247.565121847279,188.100006103516,195.375644124484,male
"[20,80]",3,6019,247.106423535959,190.399993896484,188.675296637585,male
"[20,80]",4,5544,252.553943770961,191.544700622559,200.602781097573,male
"[20,80]",5,6122,257.859997143974,195.150001525879,197.072597164172,male
"[20,80]",6,6013,265.175666050964,200.899993896484,214.748603609522,male
"[20,80]",7,6346,266.226037553534,204,202.519662065988,male
"[20,80]",8,5852,267.272101144797,209.300003051758,205.522074337096,male
"[20,80]",9,5096,269.327794425342,199.75,222.351989605122,male
"[20,80]",10,5839,246.105174264387,189.199996948242,185.267608062008,male
"[20,80]",11,6621,245.520178573763,185.957489013672,194.562915215339,male
"[20,80]",12,6760,250.548299138222,189.100006103516,201.163157722915,male
"[20,80]",1,26232,341.954168173699,247.100006103516,292.435307672131,female
"[20,80]",2,23779,336.059893564739,246.199996948242,278.694932176506,female
"[20,80]",3,25129,335.810709801238,246,278.281595413727,female
"[20,80]",4,23085,352.03903631533,255,304.940452254005,female
"[20,80]",5,26060,351.217677408278,256,299.3467928504,female
"[20,80]",6,27140,357.073932645035,258.899993896484,302.786986963084,female
"[20,80]",7,27609,371.280968344938,271,314.052866212418,female
"[20,80]",8,26438,367.168017137699,271.600006103516,301.458409113717,female
"[20,80]",9,24017,352.402642358663,256.100006103516,296.925958068085,female
"[20,80]",10,26221,331.030114144174,238.399993896484,284.85433745429,female
"[20,80]",11,28194,325.248638748539,238,274.216747708592,female
"[20,80]",12,27930,334.866793849193,243.300003051758,282.818600652306,female
"[20,80]",1,32768,322.135285125929,234.042602539063,272.549286777378,both
"[20,80]",2,29648,318.406705038649,233.600006103516,265.576001928699,both
"[20,80]",3,31149,318.349446920381,234,263.52260969203,both
"[20,80]",4,28628,332.636577808742,239,289.205782608082,both
"[20,80]",5,32167,333.319639669443,242.600006103516,283.269394516493,both
"[20,80]",6,33153,340.298886010756,246.600006103516,290.201705439555,both
"[20,80]",7,33955,351.212605689752,255.319198608398,296.560413298811,both
"[20,80]",8,32290,348.848624441549,256.200012207031,287.60008420795,both
"[20,80]",9,29116,337.748157236697,245.399993896484,286.069338832145,both
"[20,80]",10,32061,315.009580028633,229,268.162082856768,both
"[20,80]",11,34815,309.852132289437,227,261.078935976861,both
"[20,80]",12,34688,318.253421941257,231.800003051758,269.544999199539,both
