age_group,month,n,mean,median,std,type
"[20,80]",1,2119,0.496946821786523,0.493023246526718,0.26060116612679,male
"[20,80]",2,1817,0.482819235640187,0.467105269432068,0.259534716587158,male
"[20,80]",3,1945,0.494274307333488,0.495798319578171,0.257267671005804,male
"[20,80]",4,1691,0.510589240474647,0.508092224597931,0.256953297798611,male
"[20,80]",5,1877,0.518822039984123,0.531141877174377,0.256692204700184,male
"[20,80]",6,1837,0.529973744277355,0.547709107398987,0.256310404688153,male
"[20,80]",7,1928,0.533999500970097,0.545526295900345,0.258252213101727,male
"[20,80]",8,1759,0.539859281212193,0.55232560634613,0.253065629895532,male
"[20,80]",9,1595,0.526709728167162,0.535606801509857,0.262226018728668,male
"[20,80]",10,1793,0.489096871066612,0.47751322388649,0.26169709325307,male
"[20,80]",11,2028,0.484970697692248,0.468152076005936,0.259643314899985,male
"[20,80]",12,2078,0.491934091795713,0.481205359101296,0.25474437728624,male
"[20,80]",1,7386,0.500816104526591,0.497784093022347,0.260701127587783,female
"[20,80]",2,6815,0.497800310917598,0.498455911874771,0.258257501929499,female
"[20,80]",3,7076,0.496252458245657,0.493137344717979,0.261380781173437,female
"[20,80]",4,6462,0.511807759101317,0.51240599155426,0.259393615413917,female
"[20,80]",5,7172,0.523901244954243,0.535889953374863,0.254253715804151,female
"[20,80]",6,7545,0.532907323321023,0.541984736919403,0.254891048366326,female
"[20,80]",7,7640,0.550409440091611,0.573350489139557,0.257556741409494,female
"[20,80]",8,7361,0.545673174050018,0.563595712184906,0.254327449054196,female
"[20,80]",9,6814,0.522850666557077,0.531743735074997,0.257516374472337,female
"[20,80]",10,7336,0.481085879858705,0.477533340454102,0.259234116284229,female
"[20,80]",11,7956,0.482746331457118,0.477503195405006,0.258509568810162,female
"[20,80]",12,7830,0.493863966859316,0.48927216231823,0.260997315155105,female
"[20,80]",1,9505,0.499956348272671,0.496815294027329,0.260661610791111,both
"[20,80]",2,8632,0.494646794375885,0.494018286466599,0.258579833444465,both
"[20,80]",3,9018,0.495777604412424,0.49405375123024,0.260387980265563,both
"[20,80]",4,8154,0.511503553722462,0.511303812265396,0.258894703684737,both
"[20,80]",5,9051,0.522843873458595,0.534143507480621,0.254812442652867,both
"[20,80]",6,9385,0.53227814045369,0.543002665042877,0.255247351238838,both
"[20,80]",7,9570,0.547094828302241,0.566666573286057,0.257818741433642,both
"[20,80]",8,9120,0.544552539402554,0.562463819980621,0.25407150829729,both
"[20,80]",9,8408,0.523622370263886,0.532759130001068,0.258342522459713,both
"[20,80]",10,9129,0.482662236694439,0.477533340454102,0.259719901923141,both
"[20,80]",11,9986,0.483203584613305,0.475284889340401,0.25876333825501,both
"[20,80]",12,9910,0.493458372802971,0.487802356481552,0.25973154851083,both
