age_group,month,n,mean,median,std,type
"[20,80]",1,460702,0.517134979477935,0.52349466085434,0.283804394258958,male
"[20,80]",2,430539,0.514561797277714,0.519600093364716,0.283541286935417,male
"[20,80]",3,450991,0.508103594131261,0.510427176952362,0.284056813145726,male
"[20,80]",4,414209,0.50074877749924,0.500080943107605,0.283114930396327,male
"[20,80]",5,456493,0.491656465650183,0.48777163028717,0.282287270045101,male
"[20,80]",6,468946,0.482297982087885,0.474917978048325,0.281236669825449,male
"[20,80]",7,472831,0.474042982014064,0.462982088327408,0.281414612181996,male
"[20,80]",8,445259,0.470424914676896,0.456782013177872,0.281798536321207,male
"[20,80]",9,393172,0.475052346824061,0.46424126625061,0.283092461652917,male
"[20,80]",10,419070,0.490219409061651,0.485841631889343,0.283353508623963,male
"[20,80]",11,446434,0.505410285227674,0.507607638835907,0.282956639314052,male
"[20,80]",12,456591,0.516276290707267,0.522238373756409,0.283696154365993,male
"[20,80]",1,584657,0.504810930892722,0.50809246301651,0.284741165902328,female
"[20,80]",2,560990,0.505455095444841,0.509602546691895,0.284056581133569,female
"[20,80]",3,585907,0.502494223160239,0.50406938791275,0.284446117023454,female
"[20,80]",4,548781,0.49787278855601,0.498719304800034,0.284585661978388,female
"[20,80]",5,624376,0.49125634185801,0.491100549697876,0.283440952251027,female
"[20,80]",6,640033,0.484715121702008,0.479367613792419,0.283161490431764,female
"[20,80]",7,641231,0.479437711889637,0.471398204565048,0.283618306724003,female
"[20,80]",8,599722,0.475713410168438,0.468246817588806,0.283855562915857,female
"[20,80]",9,529774,0.4789972379504,0.4716836810112,0.284289492831318,female
"[20,80]",10,565237,0.488149894880583,0.486023962497711,0.283943264965938,female
"[20,80]",11,591374,0.497444513806864,0.498693943023682,0.284041383777241,female
"[20,80]",12,582907,0.503375105138253,0.505248427391052,0.284446091171926,female
"[20,80]",1,1045353,0.510239982954204,0.515670120716095,0.284391948898884,both
"[20,80]",2,991535,0.509406059403399,0.514472603797913,0.28386923633301,both
"[20,80]",3,1036899,0.504931818720064,0.507632195949554,0.284290235045361,both
"[20,80]",4,962978,0.49910089048139,0.499310791492462,0.283953489732952,both
"[20,80]",5,1080869,0.49142369707237,0.489390850067139,0.282953858394784,both
"[20,80]",6,1108972,0.483690105988486,0.477836728096008,0.282349058181338,both
"[20,80]",7,1114065,0.477153080687263,0.468600541353226,0.282698428717035,both
"[20,80]",8,1044986,0.473467280374133,0.464239656925201,0.282994650481924,both
"[20,80]",9,922936,0.477316474157157,0.468951493501663,0.28378351880502,both
"[20,80]",10,984284,0.48903923422601,0.485841631889343,0.283687704893836,both
"[20,80]",11,1037795,0.500873618983436,0.500739216804504,0.283598855195758,both
"[20,80]",12,1039497,0.509042829870493,0.513446152210236,0.284187599542724,both
