age_group,month,n,mean,median,std,type
"[20,80]",1,1038507,13.8432839172503,13.6000003814697,1.13939717988547,male
"[20,80]",2,969164,13.8524938927845,13.6000003814697,1.13896070317972,male
"[20,80]",3,1016424,13.9133033821235,13.6999998092651,1.15163253600469,male
"[20,80]",4,952071,13.9558127473354,13.6999998092651,1.17536128478877,male
"[20,80]",5,1032627,13.9581549463529,13.6999998092651,1.16915816438332,male
"[20,80]",6,1042270,13.9537050842069,13.6999998092651,1.1631687752201,male
"[20,80]",7,1051224,13.9666653994762,13.6999998092651,1.1669553890443,male
"[20,80]",8,996246,13.9901247789135,13.6999998092651,1.18616949499762,male
"[20,80]",9,901413,14.0036584341519,13.6999998092651,1.18993514039387,male
"[20,80]",10,965965,13.9507433886108,13.6999998092651,1.15087167617273,male
"[20,80]",11,1012605,13.8913327377279,13.6999998092651,1.12786196085447,male
"[20,80]",12,1040822,13.8492829136744,13.6000003814697,1.13770031854132,male
"[20,80]",1,1582954,13.9194823544195,13.6999998092651,1.16408790702635,female
"[20,80]",2,1495403,13.9308722211245,13.6999998092651,1.16433662350141,female
"[20,80]",3,1573987,13.996174155428,13.6999998092651,1.18699141129567,female
"[20,80]",4,1497693,14.038806743316,13.8000001907349,1.20617644442571,female
"[20,80]",5,1643090,14.055120409437,13.8000001907349,1.17761100142893,female
"[20,80]",6,1663958,14.0593835209216,13.8000001907349,1.17552930631245,female
"[20,80]",7,1675568,14.084852582088,13.8000001907349,1.19589113230864,female
"[20,80]",8,1587392,14.1045824532542,13.8000001907349,1.21473917692153,female
"[20,80]",9,1435300,14.0931342373181,13.8000001907349,1.20102338504242,female
"[20,80]",10,1555830,14.0227881587886,13.8000001907349,1.18544290929892,female
"[20,80]",11,1597519,13.9587663652211,13.6999998092651,1.15104736670159,female
"[20,80]",12,1597765,13.9329744010156,13.6999998092651,1.17792664023818,female
"[20,80]",1,2624062,13.89287476131,13.6999998092651,1.15997612615728,both
"[20,80]",2,2466985,13.9035790988566,13.6999998092651,1.1599749286169,both
"[20,80]",3,2589016,13.9615473814169,13.6999998092651,1.17074422203623,both
"[20,80]",4,2448355,14.0042722361157,13.8000001907349,1.19154809382494,both
"[20,80]",5,2695851,14.009289515601,13.8000001907349,1.18543160958719,both
"[20,80]",6,2726058,14.0104809220631,13.8000001907349,1.18183549971906,both
"[20,80]",7,2713011,14.0449950541219,13.8000001907349,1.17877872783258,both
"[20,80]",8,2571024,14.0659559428032,13.8000001907349,1.19777700950954,both
"[20,80]",9,2329002,14.0700430961988,13.8000001907349,1.19884881991707,both
"[20,80]",10,2520329,13.9929376468001,13.8000001907349,1.16946861245048,both
"[20,80]",11,2612696,13.9361170078299,13.6999998092651,1.14748446639093,both
"[20,80]",12,2637064,13.8977247435148,13.6999998092651,1.15956110437695,both
