age_group,month,n,mean,median,std,type
"[20,80]",1,532043,0.464250627256072,0.481937408447266,0.247694341178166,male
"[20,80]",2,485825,0.462789730771158,0.48186656832695,0.24713226928847,male
"[20,80]",3,511127,0.457243599792632,0.481467455625534,0.246731116416276,male
"[20,80]",4,482014,0.459637268973634,0.481845557689667,0.250103328388502,male
"[20,80]",5,525490,0.461862396714624,0.48186656832695,0.250632972666593,male
"[20,80]",6,530277,0.465493245786237,0.482169330120087,0.250242379117945,male
"[20,80]",7,537785,0.464774549323416,0.482169330120087,0.249225029096766,male
"[20,80]",8,513184,0.463434858686607,0.481937408447266,0.2480544684405,male
"[20,80]",9,461070,0.457379710103781,0.481467455625534,0.248228684430677,male
"[20,80]",10,502257,0.455357804601279,0.479884505271912,0.247300649982598,male
"[20,80]",11,534817,0.459591850255967,0.481467455625534,0.245849959057999,male
"[20,80]",12,541792,0.463123098784989,0.48186656832695,0.245691033941484,male
"[20,80]",1,665763,0.447755424772376,0.434979170560837,0.245935841643204,female
"[20,80]",2,618592,0.447714547274321,0.434505194425583,0.245116675854863,female
"[20,80]",3,650578,0.446646790684802,0.434505194425583,0.244679196378816,female
"[20,80]",4,624318,0.452349276149895,0.44453027844429,0.248069718836157,female
"[20,80]",5,701781,0.460495401554655,0.454034239053726,0.250224178682101,female
"[20,80]",6,709662,0.464772046261716,0.465140670537949,0.249910519732925,female
"[20,80]",7,714609,0.461838869578696,0.464138239622116,0.248984583404273,female
"[20,80]",8,679130,0.457428414714618,0.452297151088715,0.247966818834686,female
"[20,80]",9,608185,0.453647924388259,0.449830889701843,0.247829039004159,female
"[20,80]",10,665151,0.44954845790253,0.441350907087326,0.246871127708189,female
"[20,80]",11,696990,0.450254431723763,0.441417098045349,0.245689408946617,female
"[20,80]",12,682956,0.449161049269104,0.441350907087326,0.245046281326903,female
"[20,80]",1,1197468,0.455178267654549,0.464507758617401,0.24674140296266,both
"[20,80]",2,1104716,0.454418191592681,0.463207751512528,0.246118753411664,both
"[20,80]",3,1161400,0.451191334393529,0.452297151088715,0.245479453413265,both
"[20,80]",4,1105566,0.455407281582859,0.466229557991028,0.248763778343354,both
"[20,80]",5,1226526,0.461055858175769,0.476810723543167,0.25018809127641,both
"[20,80]",6,1239538,0.464980400479649,0.48018091917038,0.249902090317015,both
"[20,80]",7,1252542,0.462938658730099,0.479884505271912,0.249063223005972,both
"[20,80]",8,1192376,0.459973928693702,0.477114170789719,0.247988999419067,both
"[20,80]",9,1068999,0.455262080494887,0.469546854496002,0.247899944335042,both
"[20,80]",10,1166980,0.452025855222072,0.452297151088715,0.246939066269277,both
"[20,80]",11,1231307,0.454289247215042,0.461953908205032,0.245663796823071,both
"[20,80]",12,1224138,0.455474344168964,0.465302973985672,0.245273652380547,both
