age_group,month,n,mean,median,std,type
"[20,80]",1,1034511,139.739101672085,140,2.77409922642244,male
"[20,80]",2,961895,139.735215387419,140,2.78316487499397,male
"[20,80]",3,1011925,139.665914669667,140,2.83976100671273,male
"[20,80]",4,941370,139.690963390591,140,2.8765597746842,male
"[20,80]",5,1016562,139.710051930279,140,2.87222156219906,male
"[20,80]",6,1027569,139.734888504005,140,2.85645949562064,male
"[20,80]",7,1038777,139.730368779466,140,2.8491813239108,male
"[20,80]",8,981844,139.702505029351,140,2.832097871777,male
"[20,80]",9,887790,139.649043877083,140,2.84062192217226,male
"[20,80]",10,958634,139.649339122967,140,2.8178973443458,male
"[20,80]",11,1013134,139.7158047979,140,2.74310121953089,male
"[20,80]",12,1037665,139.7363714982,140,2.74404497897807,male
"[20,80]",1,1256578,139.626768422394,139.899993896484,2.7018805888587,female
"[20,80]",2,1188124,139.632811818871,140,2.70085280048086,female
"[20,80]",3,1245078,139.62038178959,140,2.70408186882366,female
"[20,80]",4,1176598,139.669019161637,140,2.73810706629814,female
"[20,80]",5,1307996,139.721781727639,140,2.7451434623306,female
"[20,80]",6,1328397,139.744740529529,140,2.73412491709995,female
"[20,80]",7,1329948,139.716295073647,140,2.73082538701655,female
"[20,80]",8,1250921,139.601516440785,140,2.72709408632721,female
"[20,80]",9,1128016,139.622997188137,140,2.72138586549343,female
"[20,80]",10,1218174,139.59255463893,139.899993896484,2.66934682137533,female
"[20,80]",11,1275565,139.612870315851,139.899993896484,2.64788384123872,female
"[20,80]",12,1264593,139.60291779819,139.899993896484,2.64749465556944,female
"[20,80]",1,2290820,139.678540095034,140,2.73374326936278,both
"[20,80]",2,2149624,139.680293304656,140,2.73594355886193,both
"[20,80]",3,2254041,139.653568333424,140,2.74511621323039,both
"[20,80]",4,2115184,139.691628441731,140,2.77984704716164,both
"[20,80]",5,2321513,139.729484789779,140,2.78076950403975,both
"[20,80]",6,2353044,139.752637745102,140,2.76832167857785,both
"[20,80]",7,2372313,139.707812919345,140,2.80662937993226,both
"[20,80]",8,2238078,139.663360658345,140,2.79388861378955,both
"[20,80]",9,2019060,139.619009271762,140,2.79890227208293,both
"[20,80]",10,2178559,139.648701368055,140,2.73251180960372,both
"[20,80]",11,2293972,139.675704155517,140,2.7104456831051,both
"[20,80]",12,2307448,139.680019076277,140,2.71138139450979,both
