age_group,month,n,mean,median,std,type
"[20,80]",1,379814,0.517098146108329,0.531059443950653,0.287339545587515,male
"[20,80]",2,353966,0.519300356583788,0.532260477542877,0.287544917437983,male
"[20,80]",3,369036,0.51817689348507,0.532260477542877,0.286944569389692,male
"[20,80]",4,337405,0.524390265364128,0.534152626991272,0.289099046434926,male
"[20,80]",5,368077,0.5240948271543,0.534152626991272,0.291533681213797,male
"[20,80]",6,377333,0.526353315826149,0.534643292427063,0.29094862046297,male
"[20,80]",7,380140,0.526161717816126,0.534643292427063,0.288950337790873,male
"[20,80]",8,357679,0.521912809424967,0.534152626991272,0.286702458573447,male
"[20,80]",9,316574,0.514968693935891,0.530720591545105,0.287386626545223,male
"[20,80]",10,340283,0.509549255535294,0.529673337936401,0.287723261663753,male
"[20,80]",11,364112,0.512582459211565,0.529728531837463,0.285435550358162,male
"[20,80]",12,375327,0.515967860110021,0.530720591545105,0.28535329173466,male
"[20,80]",1,459238,0.508922583392338,0.503202080726624,0.288327973476405,female
"[20,80]",2,439942,0.510784530814838,0.503202080726624,0.288497712345315,female
"[20,80]",3,459267,0.513582048628097,0.504521071910858,0.287468908803415,female
"[20,80]",4,429700,0.521494495187855,0.513702630996704,0.289729049349774,female
"[20,80]",5,485210,0.525602067266121,0.523257076740265,0.29159258936647,female
"[20,80]",6,498614,0.528371004283745,0.533925652503967,0.291291504316945,female
"[20,80]",7,499431,0.527860314475439,0.533925652503967,0.289663634448071,female
"[20,80]",8,464581,0.522594055269115,0.515115201473236,0.287424618665479,female
"[20,80]",9,410305,0.516727701291119,0.507668495178223,0.28813106616897,female
"[20,80]",10,440503,0.511234318030369,0.503911375999451,0.288937402290347,female
"[20,80]",11,464157,0.511209184487575,0.503911375999451,0.287359717849198,female
"[20,80]",12,458862,0.511107981041364,0.503911375999451,0.287099439317564,female
"[20,80]",1,839000,0.512647649753386,0.518946588039398,0.287891350020196,both
"[20,80]",2,793885,0.514544099676634,0.522383034229279,0.288097660841956,both
"[20,80]",3,828235,0.515688681765207,0.52372270822525,0.287218355208997,both
"[20,80]",4,767112,0.522772595557545,0.530720591545105,0.289457063492604,both
"[20,80]",5,853221,0.524957123686507,0.532333493232727,0.291546691121654,both
"[20,80]",6,875943,0.527505417022706,0.534643292427063,0.291143705375023,both
"[20,80]",7,879465,0.527110472230641,0.534643292427063,0.289325044440757,both
"[20,80]",8,822306,0.522289389209366,0.531648099422455,0.287126648100502,both
"[20,80]",9,726875,0.515921121888494,0.525933086872101,0.287808675537597,both
"[20,80]",10,780706,0.510479639844334,0.514182150363922,0.288382316259033,both
"[20,80]",11,828210,0.511847736071689,0.515115201473236,0.286494351782964,both
"[20,80]",12,834210,0.513283478069062,0.522383034229279,0.286331957193121,both
