age_group,month,n,mean,median,std,type
"[20,80]",1,6000,0.489980085353522,0.499045625329018,0.284128073342429,male
"[20,80]",2,5873,0.479335621283189,0.48072561621666,0.288032953806359,male
"[20,80]",3,5987,0.475538552582702,0.48128342628479,0.288149804761471,male
"[20,80]",4,5419,0.453347790352986,0.44329896569252,0.281180800773743,male
"[20,80]",5,5955,0.419458546301961,0.393617033958435,0.274483439080907,male
"[20,80]",6,6054,0.413885589809316,0.390774115920067,0.271696746155862,male
"[20,80]",7,6075,0.400113352171065,0.37714284658432,0.266891457122991,male
"[20,80]",8,5452,0.418192522491138,0.395061731338501,0.275637118813777,male
"[20,80]",9,5114,0.41984113244417,0.39165024459362,0.275872600460958,male
"[20,80]",10,5350,0.426262453954458,0.406631767749786,0.276114954070178,male
"[20,80]",11,5489,0.446439845656976,0.432859390974045,0.27950933102338,male
"[20,80]",12,5626,0.486572328300394,0.486413031816483,0.281339544233317,male
"[20,80]",1,14510,0.515095601601207,0.533203125,0.28175981048633,female
"[20,80]",2,14023,0.506831677466767,0.517917513847351,0.283614851826672,female
"[20,80]",3,14547,0.501313748857108,0.508968591690064,0.285063435073084,female
"[20,80]",4,13649,0.47862805470923,0.473970472812653,0.2828561527968,female
"[20,80]",5,15530,0.451868074457956,0.432330816984177,0.279860756660089,female
"[20,80]",6,16049,0.44916782284297,0.435940086841583,0.275905149409565,female
"[20,80]",7,15349,0.445271899696631,0.429878056049347,0.277304073197566,female
"[20,80]",8,14364,0.444828626335749,0.429878056049347,0.278552671751549,female
"[20,80]",9,12916,0.453421789519841,0.439183682203293,0.278969504616105,female
"[20,80]",10,13735,0.46274944059388,0.451612889766693,0.282261092724895,female
"[20,80]",11,13986,0.477511202905715,0.473446920514107,0.28003139632601,female
"[20,80]",12,13756,0.512039092572487,0.526553064584732,0.278396525214804,female
"[20,80]",1,20510,0.507999833210347,0.523245215415955,0.282621296198516,both
"[20,80]",2,19887,0.498964654466623,0.50874125957489,0.285018339913928,both
"[20,80]",3,20538,0.49399519740945,0.5,0.286223925357421,both
"[20,80]",4,19067,0.47142651197828,0.466609597206116,0.282565143846193,both
"[20,80]",5,21497,0.442637320916493,0.42166343331337,0.278801818490599,both
"[20,80]",6,22106,0.439506134075262,0.426356583833694,0.275166286374447,both
"[20,80]",7,21419,0.432389116618401,0.413043469190598,0.274908960786183,both
"[20,80]",8,19818,0.437467555001544,0.419418811798096,0.277985412243472,both
"[20,80]",9,18025,0.443974766769704,0.428093641996384,0.278381525971108,both
"[20,80]",10,19086,0.45248624652817,0.439130425453186,0.280957940332125,both
"[20,80]",11,19477,0.468773757711909,0.461904764175415,0.280214260374497,both
"[20,80]",12,19381,0.50473778905438,0.51686418056488,0.279425134003148,both
