age_group,month,n,mean,median,std,type
"[20,80]",1,6023,1.98241874986801,1.96000003814697,0.390953422913776,male
"[20,80]",2,5876,1.97136862051576,1.94000005722046,0.396236706332201,male
"[20,80]",3,5988,1.96620170755154,1.94000005722046,0.394866968499681,male
"[20,80]",4,5431,1.93328090292208,1.89999997615814,0.378391748712734,male
"[20,80]",5,5971,1.88426345797404,1.85000002384186,0.362049250232297,male
"[20,80]",6,6073,1.87614685511954,1.85000002384186,0.351095317704585,male
"[20,80]",7,6097,1.85787142255726,1.8400000333786,0.347174677567581,male
"[20,80]",8,5464,1.88403418950333,1.86000001430511,0.363493427211807,male
"[20,80]",9,5122,1.88840320041896,1.86000001430511,0.366337466015365,male
"[20,80]",10,5366,1.89445953214964,1.87000000476837,0.365209532266776,male
"[20,80]",11,5524,1.9267150549937,1.89999997615814,0.377222690652925,male
"[20,80]",12,5630,1.9804227604324,1.94000005722046,0.381402848144388,male
"[20,80]",1,14511,2.07398442236727,2.00999999046326,0.454376432197527,female
"[20,80]",2,14026,2.06305508586049,2,0.456369414835131,female
"[20,80]",3,14565,2.05556581111205,2,0.461946978920126,female
"[20,80]",4,13671,2.01719573020028,1.95000004768372,0.44941465405865,female
"[20,80]",5,15553,1.97371147063387,1.89999997615814,0.433637654341331,female
"[20,80]",6,16073,1.96583036283769,1.89999997615814,0.420098215542744,female
"[20,80]",7,15346,1.96083772011566,1.89999997615814,0.42271175491074,female
"[20,80]",8,14409,1.96425765499217,1.89999997615814,0.430180877599972,female
"[20,80]",9,12955,1.97793847720442,1.9099999666214,0.430493930606496,female
"[20,80]",10,13762,1.99134698323499,1.91999995708466,0.440284576480874,female
"[20,80]",11,14016,2.01193419502852,1.95000004768372,0.437546580216587,female
"[20,80]",12,13767,2.06835265742189,2,0.447466663695565,female
"[20,80]",1,20527,2.04561130618506,2,0.435043801396918,both
"[20,80]",2,19907,2.03416882702292,1.99000000953674,0.43771359901841,both
"[20,80]",3,20543,2.02835795998672,1.98000001907349,0.441237697580945,both
"[20,80]",4,19099,1.99199246534459,1.92999994754791,0.428206607237836,both
"[20,80]",5,21602,1.94406985520831,1.88999998569489,0.414195318975355,both
"[20,80]",6,22133,1.93970456880845,1.89999997615814,0.399569378340505,both
"[20,80]",7,21519,1.92569798805317,1.88999998569489,0.40094816618079,both
"[20,80]",8,19924,1.93736077555809,1.88999998569489,0.411463474093579,both
"[20,80]",9,18058,1.95239506861421,1.89999997615814,0.410998120956748,both
"[20,80]",10,19102,1.96383905757748,1.89999997615814,0.418086850523653,both
"[20,80]",11,19482,1.98726526808658,1.92999994754791,0.418333597652332,both
"[20,80]",12,19391,2.04227377591805,2,0.42746963250486,both
