age_group,month,n,mean,median,std,type
"[20,80]",1,13315,1.99067958673498,1.96000003814697,0.448679671069964,male
"[20,80]",2,13092,1.96378468464647,1.92999994754791,0.447055992153498,male
"[20,80]",3,13836,1.96580254438813,1.94000005722046,0.438590261694163,male
"[20,80]",4,12422,1.93974532990463,1.89999997615814,0.432889500390548,male
"[20,80]",5,13389,1.89479618186831,1.86000001430511,0.409472399441626,male
"[20,80]",6,13589,1.88134212606711,1.86000001430511,0.395564237328454,male
"[20,80]",7,13296,1.8711542613114,1.85000002384186,0.398065454585108,male
"[20,80]",8,11920,1.8853791744317,1.86000001430511,0.413243695966549,male
"[20,80]",9,11025,1.89512041257352,1.87000000476837,0.419919391990828,male
"[20,80]",10,11730,1.90921915567338,1.87999999523163,0.420439183588046,male
"[20,80]",11,12192,1.94290462528353,1.89999997615814,0.431603376044739,male
"[20,80]",12,12594,1.99417154787456,1.96000003814697,0.441021299803496,male
"[20,80]",1,37373,2.1053744491459,2.03999996185303,0.50720908618507,female
"[20,80]",2,36851,2.09742592614928,2.02999997138977,0.498306051951099,female
"[20,80]",3,38770,2.08188122089665,2,0.500869615869954,female
"[20,80]",4,35528,2.04680570100066,1.99000000953674,0.486802296775872,female
"[20,80]",5,40097,2.00536179111751,1.92999994754791,0.470088331766087,female
"[20,80]",6,41149,1.99401244109837,1.91999995708466,0.460451063304553,female
"[20,80]",7,39425,1.99133691641978,1.91999995708466,0.45904045368904,female
"[20,80]",8,35903,2.00728241309507,1.94000005722046,0.473121654358649,female
"[20,80]",9,32651,2.01727312377378,1.95097398757935,0.475546491472781,female
"[20,80]",10,34892,2.03771363736347,1.98000001907349,0.485785458603351,female
"[20,80]",11,35780,2.06629469694206,2,0.48635334115435,female
"[20,80]",12,35806,2.11184252446399,2.03999996185303,0.496566485454986,female
"[20,80]",1,50507,2.07727078005822,2.00999999046326,0.48978321835843,both
"[20,80]",2,49897,2.06123213965871,2,0.483786664016262,both
"[20,80]",3,52369,2.05190682993707,2,0.480661984857854,both
"[20,80]",4,47950,2.02269183226497,1.97000002861023,0.475525097509814,both
"[20,80]",5,53392,1.97611078382396,1.9099999666214,0.452919715924225,both
"[20,80]",6,54702,1.96510221095526,1.89999997615814,0.443795083842857,both
"[20,80]",7,52783,1.95965078560551,1.89999997615814,0.444180555456112,both
"[20,80]",8,47741,1.97471920751421,1.9099999666214,0.456233768653875,both
"[20,80]",9,43652,1.98579860586988,1.91999995708466,0.46161512050265,both
"[20,80]",10,46765,2.00830722363967,1.94000005722046,0.475554198981923,both
"[20,80]",11,48005,2.0374082589892,1.98000001907349,0.475673710159996,both
"[20,80]",12,48543,2.077685802806,2.00999999046326,0.484047908345431,both
