age_group,month,n,mean,median,std,type
"[20,80]",1,3383,0.557720085948996,0.582539677619934,0.263189154467522,male
"[20,80]",2,3295,0.56314854704081,0.589877843856812,0.269186035746436,male
"[20,80]",3,3501,0.549225187928796,0.576655030250549,0.269825287574256,male
"[20,80]",4,2947,0.523593107905222,0.542635679244995,0.267202818959741,male
"[20,80]",5,3157,0.487022796317128,0.480206549167633,0.265765723479673,male
"[20,80]",6,3352,0.48146247965237,0.481486782431603,0.26398141947044,male
"[20,80]",7,3311,0.480030287250683,0.481034487485886,0.258521442400958,male
"[20,80]",8,2944,0.490875222377287,0.503473728895187,0.26134106715954,male
"[20,80]",9,2720,0.488598001915414,0.48615013062954,0.260442655785465,male
"[20,80]",10,2768,0.50431497333399,0.509933769702911,0.265598366732421,male
"[20,80]",11,2952,0.525888481408327,0.541013777256012,0.269534562923034,male
"[20,80]",12,3101,0.555595241354881,0.576923072338104,0.268756812341855,male
"[20,80]",1,7613,0.566824386868385,0.599837005138397,0.265460014227423,female
"[20,80]",2,7597,0.558003967800736,0.586472630500794,0.267424361929221,female
"[20,80]",3,7703,0.544961037087906,0.564199388027191,0.265601466281965,female
"[20,80]",4,6828,0.525771618129464,0.539982497692108,0.265175465785259,female
"[20,80]",5,7660,0.494800458870848,0.50037607550621,0.263708410523571,female
"[20,80]",6,8000,0.488364815789275,0.484870851039887,0.26188378334682,female
"[20,80]",7,7798,0.486861258466203,0.483495146036148,0.262377603192257,female
"[20,80]",8,7171,0.490509937451759,0.491379320621491,0.262807999960269,female
"[20,80]",9,6359,0.505281015774222,0.517830610275269,0.264771440246108,female
"[20,80]",10,6522,0.518248764321103,0.534223735332489,0.26688634642044,female
"[20,80]",11,6789,0.538255740145855,0.552587628364563,0.263072728865174,female
"[20,80]",12,7012,0.55848437244539,0.578430145978928,0.258863717464727,female
"[20,80]",1,10998,0.564107482754281,0.593084573745728,0.264794217284085,both
"[20,80]",2,10891,0.559520476542262,0.587319254875183,0.267934302572738,both
"[20,80]",3,11203,0.546335695633479,0.567944228649139,0.266890559883054,both
"[20,80]",4,9775,0.525208130217803,0.540519893169403,0.265767904878347,both
"[20,80]",5,10816,0.492664116384123,0.494423806667328,0.264287732158723,both
"[20,80]",6,11354,0.486322277796619,0.484870851039887,0.26252478940296,both
"[20,80]",7,11107,0.484817473098275,0.482477575540543,0.261181623943498,both
"[20,80]",8,10117,0.490607987755347,0.494423806667328,0.262391851207805,both
"[20,80]",9,9080,0.500219563784546,0.508955240249634,0.263585731833817,both
"[20,80]",10,9289,0.514047605440619,0.526785731315613,0.266534537079717,both
"[20,80]",11,9744,0.53444854069573,0.548459827899933,0.265170910896748,both
"[20,80]",12,10114,0.557548018451946,0.577777802944183,0.26195307361005,both
