age_group,month,n,mean,median,std,type
"[20,80]",1,33264,14.6809344049713,14.6000003814697,1.40601371436495,male
"[20,80]",2,30783,14.6518522165356,14.6000003814697,1.4101423314818,male
"[20,80]",3,32316,14.6095662894322,14.5,1.43237751571855,male
"[20,80]",4,29138,14.5728839952426,14.5,1.41214823755396,male
"[20,80]",5,32239,14.5616591289464,14.4799995422363,1.41201052839316,male
"[20,80]",6,32851,14.5943091904815,14.5,1.39620514977278,male
"[20,80]",7,33605,14.5805808491729,14.5,1.39365677956497,male
"[20,80]",8,32182,14.6557934247316,14.6000003814697,1.39750000200879,male
"[20,80]",9,27798,14.7381818833321,14.6599998474121,1.40518484963842,male
"[20,80]",10,29640,14.7903302511866,14.6999998092651,1.44015658244781,male
"[20,80]",11,31965,14.7891260848515,14.6999998092651,1.42331386710569,male
"[20,80]",12,32665,14.7518763960402,14.6999998092651,1.40641724812251,male
"[20,80]",1,65434,14.0508902256911,14,1.33609982821341,female
"[20,80]",2,62165,14.0626423415794,14,1.35102552813397,female
"[20,80]",3,64799,13.9724719365693,13.9200000762939,1.35810613992484,female
"[20,80]",4,60339,13.9172545100043,13.8999996185303,1.32376524702776,female
"[20,80]",5,69377,13.860063628942,13.8000001907349,1.32714373683176,female
"[20,80]",6,71349,13.878904661719,13.8299999237061,1.30566544913458,female
"[20,80]",7,73255,13.8738296688315,13.8000001907349,1.30147711973785,female
"[20,80]",8,70147,13.8981310676532,13.8999996185303,1.30450294329787,female
"[20,80]",9,60470,13.9978632674289,14,1.30379693887532,female
"[20,80]",10,64557,14.0652277150362,14,1.35139740888353,female
"[20,80]",11,67404,14.1171499690587,14.1000003814697,1.31755948814049,female
"[20,80]",12,66355,14.1250569926148,14.1000003814697,1.33142262601493,female
"[20,80]",1,98131,14.2693464429304,14.1800003051758,1.36496362860457,both
"[20,80]",2,93472,14.2493170271565,14.1591997146606,1.39559545205198,both
"[20,80]",3,96212,14.2012724840819,14.1591997146606,1.38423963454019,both
"[20,80]",4,89963,14.1316213552982,14.1000003814697,1.38209783047253,both
"[20,80]",5,101079,14.08931661928,14.1000003814697,1.36509755067203,both
"[20,80]",6,103511,14.1133171627466,14.1000003814697,1.34335347012162,both
"[20,80]",7,106862,14.0887142711396,14.0699996948242,1.35334925684066,both
"[20,80]",8,101268,14.1394483641472,14.1000003814697,1.33655542679345,both
"[20,80]",9,88871,14.2137411376729,14.1591997146606,1.36768834608262,both
"[20,80]",10,93417,14.2939894230381,14.1999998092651,1.38346884364199,both
"[20,80]",11,100046,14.3238317069991,14.1999998092651,1.38027365728195,both
"[20,80]",12,99484,14.3152568074764,14.1999998092651,1.3790053170805,both
