age_group,month,n,mean,median,std,type
"[20,80]",1,25904,0.463931105662928,0.452872276306152,0.280993840482648,male
"[20,80]",2,23381,0.461938315942341,0.446655780076981,0.280290378234315,male
"[20,80]",3,23703,0.456719885994962,0.43847531080246,0.284505828202201,male
"[20,80]",4,21198,0.449997492342293,0.4288749396801,0.284098259454297,male
"[20,80]",5,23066,0.445016451960215,0.419346377253532,0.283480669747648,male
"[20,80]",6,23628,0.450288147161587,0.430192977190018,0.285898522170067,male
"[20,80]",7,24260,0.451409199012417,0.432138979434967,0.285088221886906,male
"[20,80]",8,22820,0.447550780933406,0.422670722007751,0.287296968520583,male
"[20,80]",9,20085,0.448319589325132,0.427406191825867,0.284456838173942,male
"[20,80]",10,22042,0.445913519775033,0.425081431865692,0.280181018909125,male
"[20,80]",11,24651,0.445472065943891,0.427277565002441,0.281162721156274,male
"[20,80]",12,25965,0.448800084337911,0.426881730556488,0.280267004742861,male
"[20,80]",1,31128,0.524792873383189,0.534911870956421,0.263176013427568,female
"[20,80]",2,28542,0.523981324759285,0.534911870956421,0.263524127347865,female
"[20,80]",3,29218,0.51535055204564,0.525970697402954,0.265551784575609,female
"[20,80]",4,26100,0.527044182969864,0.534911870956421,0.26637562333795,female
"[20,80]",5,28277,0.52204149016955,0.534883737564087,0.267618576267458,female
"[20,80]",6,29585,0.531277670397994,0.545664727687836,0.265855793325477,female
"[20,80]",7,30213,0.529571230386209,0.536103546619415,0.262284852181547,female
"[20,80]",8,29452,0.518976346654766,0.530210673809052,0.2617423263407,female
"[20,80]",9,26903,0.515604126521195,0.525526821613312,0.262220089692696,female
"[20,80]",10,29169,0.516985239291396,0.529470503330231,0.262719657947721,female
"[20,80]",11,31391,0.515567877605239,0.525270760059357,0.264483297326571,female
"[20,80]",12,32870,0.519320835385518,0.529010772705078,0.263849023820637,female
"[20,80]",1,57029,0.497358756143761,0.502861201763153,0.27277438704508,both
"[20,80]",2,51917,0.496280665019336,0.499171584844589,0.272612960926208,both
"[20,80]",3,52911,0.489351018864766,0.487113416194916,0.275442598222402,both
"[20,80]",4,47296,0.492669463722953,0.490843743085861,0.276816860252823,both
"[20,80]",5,51327,0.487725383315267,0.485000014305115,0.277200583945707,both
"[20,80]",6,53230,0.495350469721972,0.499171584844589,0.277638138747185,both
"[20,80]",7,54477,0.495072733695937,0.497892260551453,0.275013087308054,both
"[20,80]",8,52257,0.488092174199604,0.487408190965653,0.274996923415966,both
"[20,80]",9,46982,0.487062288119946,0.48390531539917,0.2735310366376,both
"[20,80]",10,51209,0.48647699165014,0.486750334501267,0.27235132131255,both
"[20,80]",11,56048,0.484900191857509,0.482894539833069,0.273917271033505,both
"[20,80]",12,58829,0.488356973831328,0.485639691352844,0.273136654043243,both
