age_group,month,n,mean,median,std,type
"[20,80]",1,14047,0.523522728502275,0.530679166316986,0.285209983360663,male
"[20,80]",2,12777,0.520303893600666,0.526590526103973,0.286254158726069,male
"[20,80]",3,12928,0.518139668807617,0.524675965309143,0.28935856648367,male
"[20,80]",4,11169,0.509979588468499,0.508746325969696,0.289771395936609,male
"[20,80]",5,12067,0.50740354695769,0.508746325969696,0.288402724107917,male
"[20,80]",6,12311,0.511360766757308,0.512889385223389,0.289320406925865,male
"[20,80]",7,12519,0.511780450619446,0.513816297054291,0.28967477137762,male
"[20,80]",8,11845,0.507866513730118,0.507363796234131,0.294683739292666,male
"[20,80]",9,10275,0.513495275226406,0.514078140258789,0.289107236362371,male
"[20,80]",10,11462,0.506267554529451,0.507173597812653,0.285124771598617,male
"[20,80]",11,12927,0.505778328323374,0.507094860076904,0.287882993839635,male
"[20,80]",12,13834,0.511934116076922,0.518460929393768,0.287615332607061,male
"[20,80]",1,20169,0.520675261044297,0.532293975353241,0.282814596771314,female
"[20,80]",2,18637,0.523084166131275,0.534911870956421,0.281913841967283,female
"[20,80]",3,18867,0.513415003728125,0.523199319839478,0.284846955333758,female
"[20,80]",4,16784,0.522123533904051,0.534108728170395,0.285511973804917,female
"[20,80]",5,18231,0.51879765753666,0.532293975353241,0.286958740078393,female
"[20,80]",6,19052,0.528256517521914,0.547034561634064,0.286263701520445,female
"[20,80]",7,19294,0.526846949948733,0.535356104373932,0.281207433193922,female
"[20,80]",8,19140,0.518339281799778,0.532178223133087,0.281344360337411,female
"[20,80]",9,17194,0.512997052819252,0.524537622928619,0.282000462859953,female
"[20,80]",10,18568,0.513735373721541,0.530637264251709,0.283107362093788,female
"[20,80]",11,19999,0.513230918652691,0.521891415119171,0.284421290273135,female
"[20,80]",12,21019,0.516457599122675,0.526049196720123,0.284167040209448,female
"[20,80]",1,34215,0.521830480979533,0.532191216945648,0.283792437548686,both
"[20,80]",2,31416,0.521983509880528,0.532178223133087,0.283700768965224,both
"[20,80]",3,31789,0.515338180931844,0.523928225040436,0.286641052867589,both
"[20,80]",4,27952,0.517359666614978,0.528143286705017,0.287262026427887,both
"[20,80]",5,30293,0.514312005064744,0.525526821613312,0.287533672108241,both
"[20,80]",6,31360,0.521673546858727,0.533266127109528,0.287550900236514,both
"[20,80]",7,31813,0.520917500641625,0.53033709526062,0.284658667178268,both
"[20,80]",8,30980,0.51435268610497,0.525877684354782,0.286508210963634,both
"[20,80]",9,27472,0.51316366035193,0.520066350698471,0.284704360971797,both
"[20,80]",10,30027,0.510934856254964,0.523199319839478,0.283866806667882,both
"[20,80]",11,32928,0.51030425967911,0.518706858158112,0.285820652889387,both
"[20,80]",12,34854,0.514647609656411,0.523199319839478,0.28555338293816,both
