age_group,month,n,mean,median,std,type
"[20,80]",1,2465,0.449899744247719,0.439999997615814,0.30850436948518,male
"[20,80]",2,2263,0.451593999435464,0.442857146263123,0.311939750299914,male
"[20,80]",3,2325,0.463444964216361,0.466666668653488,0.316496710869425,male
"[20,80]",4,2060,0.447625697762208,0.432553872466087,0.31618358548238,male
"[20,80]",5,2300,0.437784145747959,0.422847107052803,0.308523237788141,male
"[20,80]",6,2331,0.440810367145389,0.4244604408741,0.314064318644012,male
"[20,80]",7,2521,0.46101750864528,0.449999988079071,0.307166754468682,male
"[20,80]",8,2332,0.457686294918148,0.457364350557327,0.311179732818358,male
"[20,80]",9,2041,0.454702320167798,0.449704140424728,0.313821060076032,male
"[20,80]",10,2299,0.448681673843603,0.438848912715912,0.307420539121912,male
"[20,80]",11,2518,0.447258282460219,0.442148312926292,0.306405419064842,male
"[20,80]",12,2488,0.451480460842065,0.441209331154823,0.310213298330726,male
"[20,80]",1,7066,0.418322889549073,0.395238101482391,0.292289693527766,female
"[20,80]",2,6548,0.417282196150372,0.393995732069016,0.289277589247564,female
"[20,80]",3,6603,0.413538287970906,0.391578942537308,0.288399908054309,female
"[20,80]",4,6280,0.417926966625556,0.39903624355793,0.290500707863558,female
"[20,80]",5,7166,0.412752816737288,0.38775509595871,0.287920449524315,female
"[20,80]",6,7285,0.412594819465344,0.385714292526245,0.288632547630709,female
"[20,80]",7,7400,0.401656050737066,0.369942188262939,0.288003340616662,female
"[20,80]",8,7216,0.412723795534189,0.385245889425278,0.289469377299017,female
"[20,80]",9,6354,0.408371789826782,0.379271954298019,0.287167639344147,female
"[20,80]",10,7071,0.401844358335632,0.369346737861633,0.285622893592475,female
"[20,80]",11,7495,0.416852056109573,0.395604401826859,0.290285674893132,female
"[20,80]",12,7514,0.414961138372189,0.392101168632507,0.292575725197763,female
"[20,80]",1,9529,0.426384576564751,0.411392390727997,0.296642031139472,both
"[20,80]",2,8805,0.42628110340706,0.410609036684036,0.29528666811341,both
"[20,80]",3,8929,0.426531998357494,0.412162154912949,0.296486740399725,both
"[20,80]",4,8334,0.425308327658921,0.405825793743134,0.296885895392559,both
"[20,80]",5,9470,0.418477784398424,0.395815089344978,0.29306938597278,both
"[20,80]",6,9618,0.41965221211215,0.395918220281601,0.295130439180176,both
"[20,80]",7,9912,0.416690055587324,0.389328628778458,0.29368361592022,both
"[20,80]",8,9548,0.423489875205027,0.399232238531113,0.29529281443517,both
"[20,80]",9,8389,0.419692485119327,0.393063575029373,0.294166094793477,both
"[20,80]",10,9369,0.413258741570885,0.383877158164978,0.291552226708638,both
"[20,80]",11,10016,0.425329963657756,0.408443093299866,0.294768504555367,both
"[20,80]",12,10003,0.423920396554053,0.405204474925995,0.297285673101488,both
