age_group,month,n,mean,median,std,type
"[20,80]",1,1340,45.2873656324486,14.6000003814697,153.218629396746,male
"[20,80]",2,1294,42.6651081958961,14.8999996185303,113.611644833107,male
"[20,80]",3,1223,45.6765984883585,15.5,127.106761475426,male
"[20,80]",4,1141,40.1245486703126,14,99.315167752039,male
"[20,80]",5,1252,48.6288578464105,14.5,163.815029050547,male
"[20,80]",6,1270,56.0017873934639,14.8999996185303,203.21805592035,male
"[20,80]",7,1407,44.179132903478,14,129.041591636615,male
"[20,80]",8,1301,44.171529600109,14.6000003814697,133.606117875401,male
"[20,80]",9,1134,47.1913933091956,14.6999998092651,140.430496444324,male
"[20,80]",10,1296,48.2428086572499,14.5,150.29609350664,male
"[20,80]",11,1432,42.9844064396187,14.3499999046326,135.016069968605,male
"[20,80]",12,1407,47.4239232585035,14.6000003814697,151.333424555358,male
"[20,80]",1,3771,45.8701219830975,16,105.758491536441,female
"[20,80]",2,3327,40.7491854486933,16.1000003814697,86.3476267857895,female
"[20,80]",3,3368,40.944703102802,15.5,90.5342181298649,female
"[20,80]",4,3255,41.0351489956844,15.8999996185303,84.138451468539,female
"[20,80]",5,3798,39.1519878770785,16,76.9111996467154,female
"[20,80]",6,3770,38.2268700537852,15.3499999046326,79.4493800075906,female
"[20,80]",7,3838,42.1629806976647,15.1999998092651,96.2198667849448,female
"[20,80]",8,3845,42.806889468354,15.5,93.8181042316488,female
"[20,80]",9,3370,38.5898338354306,15.3999996185303,80.8005154204854,female
"[20,80]",10,3883,38.4551609598682,14.5,80.9676185196423,female
"[20,80]",11,4110,43.9736009805742,16.2999992370605,102.251062959841,female
"[20,80]",12,3906,38.7164925800353,16.1000003814697,74.7942834585448,female
"[20,80]",1,5111,44.8875562406069,15.6000003814697,108.943102324717,both
"[20,80]",2,4611,41.2403535010098,15.6999998092651,93.419767413833,both
"[20,80]",3,4592,42.1455226484102,15.5,99.4256144439754,both
"[20,80]",4,4397,40.8973254522994,15.3999996185303,88.2349162270036,both
"[20,80]",5,5050,40.3393227684852,15.6000003814697,88.445237047693,both
"[20,80]",6,5040,40.7503115262836,15.1999998092651,95.420145236847,both
"[20,80]",7,5254,42.4128873073696,14.8999996185303,103.281098996708,both
"[20,80]",8,5146,42.901931600381,15.1999998092651,101.064452696238,both
"[20,80]",9,4504,40.1300577349087,15.3000001907349,91.5918368956048,both
"[20,80]",10,5189,40.3062940888505,14.5,95.4226417524025,both
"[20,80]",11,5552,43.2759780352694,15.6999998092651,106.643350769488,both
"[20,80]",12,5289,40.2907014638045,15.6000003814697,87.567846752355,both
