age_group,month,n,mean,median,std,type
"[20,80]",1,2691,49.6751504804688,13.3999996185303,164.233789028642,male
"[20,80]",2,2467,47.8065707409097,13.5,133.58642815728,male
"[20,80]",3,2531,51.0102014843771,14.1999998092651,149.474938827923,male
"[20,80]",4,2248,54.1024243906273,13.1000003814697,171.691467202615,male
"[20,80]",5,2515,47.2340994301065,12.8999996185303,147.923563601807,male
"[20,80]",6,2540,49.1547598261533,12.75,154.389269162154,male
"[20,80]",7,2749,51.6704728753838,13.6000003814697,168.765448486929,male
"[20,80]",8,2548,49.8472331161472,13.8999996185303,147.388586544276,male
"[20,80]",9,2230,48.6168699888771,13.3000001907349,144.460707612835,male
"[20,80]",10,2511,54.6286658831965,13.6000003814697,177.994574675389,male
"[20,80]",11,2754,46.5641902694039,13.1500000953674,142.136909620227,male
"[20,80]",12,2719,44.7602169972082,13.6000003814697,121.464981264215,male
"[20,80]",1,7708,40.8586001512945,14.3999996185303,88.2140940412478,female
"[20,80]",2,7140,39.9404775895241,14.3000001907349,89.3323117761915,female
"[20,80]",3,7199,40.2200125124549,14.3000001907349,92.7773596405514,female
"[20,80]",4,6848,40.7400832381056,14.5,88.8213872109052,female
"[20,80]",5,7824,38.3390120145596,14.1500000953674,82.098140458006,female
"[20,80]",6,7964,39.6848166848826,14.1000003814697,88.4032506863986,female
"[20,80]",7,8054,38.5156779145118,13.5,88.1930896427822,female
"[20,80]",8,7857,40.3888494360685,13.8999996185303,89.2338577287643,female
"[20,80]",9,6922,38.3766122545958,14,83.9612474062052,female
"[20,80]",10,7699,36.6553240709954,13.3999996185303,79.8680601026327,female
"[20,80]",11,8165,40.5959497925699,14.6000003814697,91.3550226841483,female
"[20,80]",12,8181,37.7591040281602,14.3999996185303,74.9987239043326,female
"[20,80]",1,10399,42.0551899133686,14.1000003814697,98.1364611503231,both
"[20,80]",2,9608,41.8474104894476,14,100.626680446002,both
"[20,80]",3,9727,42.5444505021177,14.3000001907349,104.154165917219,both
"[20,80]",4,9096,43.2012577059703,14.1000003814697,103.760795623301,both
"[20,80]",5,10339,39.8663497503271,13.8000001907349,94.0244923101998,both
"[20,80]",6,10504,41.3663337811152,13.8000001907349,100.320502662918,both
"[20,80]",7,10804,41.0697611909234,13.5,102.269444355328,both
"[20,80]",8,10405,42.1304123016947,13.8999996185303,99.7373799472159,both
"[20,80]",9,9151,40.1811310350244,13.8000001907349,94.5383944173027,both
"[20,80]",10,10210,40.0396591631048,13.5,99.7627451399331,both
"[20,80]",11,10919,41.9097637199626,14.1999998092651,104.141718693802,both
"[20,80]",12,10894,39.1080916164686,14.1999998092651,83.8363852607697,both
