age_group,month,n,mean,median,std,type
"[20,80]",1,659808,0.568616661566872,0.581546723842621,0.285328765815907,male
"[20,80]",2,604311,0.571882290759494,0.587997138500214,0.284450742548945,male
"[20,80]",3,636639,0.577852632959516,0.597847104072571,0.285759184726211,male
"[20,80]",4,598836,0.588473248726233,0.612046360969544,0.285548958406402,male
"[20,80]",5,652839,0.591003446568517,0.615706086158752,0.283928231289641,male
"[20,80]",6,657709,0.586614627844155,0.608395159244537,0.284036690078211,male
"[20,80]",7,667018,0.583824170808428,0.606010496616364,0.28585762207878,male
"[20,80]",8,636747,0.577808403381814,0.600815176963806,0.288516802102416,male
"[20,80]",9,572880,0.573364049156395,0.591391980648041,0.289876410414185,male
"[20,80]",10,623194,0.562550742297365,0.575390815734863,0.289470810406745,male
"[20,80]",11,661308,0.557327447299017,0.564557492733002,0.287011487818103,male
"[20,80]",12,669775,0.561310123332449,0.572882890701294,0.286334138051824,male
"[20,80]",1,826127,0.532127296628295,0.538245379924774,0.283036876858337,female
"[20,80]",2,770050,0.534277502591768,0.541136741638184,0.283061778979594,female
"[20,80]",3,810470,0.539533841634036,0.54938131570816,0.284207894796116,female
"[20,80]",4,775439,0.549665201753935,0.562586784362793,0.283842477099236,female
"[20,80]",5,871687,0.552139594574919,0.565984666347504,0.282042562183052,female
"[20,80]",6,879214,0.547407467317815,0.56093180179596,0.283035211584811,female
"[20,80]",7,885526,0.542305300559162,0.553379893302918,0.284918851531691,female
"[20,80]",8,842394,0.535795303683685,0.546417415142059,0.2870087183647,female
"[20,80]",9,755262,0.531848133984674,0.538245379924774,0.288070974194541,female
"[20,80]",10,826030,0.525045987134216,0.525412261486054,0.285533009246971,female
"[20,80]",11,862748,0.521576827345107,0.52279531955719,0.283172532800918,female
"[20,80]",12,843896,0.524761297387672,0.524442434310913,0.283525033907556,female
"[20,80]",1,1485760,0.548365874107579,0.559115827083588,0.284545625971808,both
"[20,80]",2,1374154,0.55087834935198,0.561408936977387,0.284185078517743,both
"[20,80]",3,1446951,0.556477794647702,0.570916652679443,0.285431549665347,both
"[20,80]",4,1374207,0.566612289206776,0.583670139312744,0.285164652714751,both
"[20,80]",5,1524517,0.56877270937102,0.587997138500214,0.283447752597048,both
"[20,80]",6,1536866,0.564206720205032,0.580015659332275,0.284056924324239,both
"[20,80]",7,1552538,0.560160044066947,0.577372848987579,0.285999643602141,both
"[20,80]",8,1478920,0.553951742644394,0.566409170627594,0.288310981131675,both
"[20,80]",9,1328066,0.549802640716734,0.561408936977387,0.289514155061265,both
"[20,80]",10,1449098,0.541199222036294,0.54923689365387,0.287760248834614,both
"[20,80]",11,1524101,0.537043890076306,0.543058395385742,0.285353488769823,both
"[20,80]",12,1513523,0.540978515361329,0.547674059867859,0.285266425787953,both
