age_group,month,n,mean,median,std,type
"[20,80]",1,668959,36.2381392583484,34,11.6536508919878,male
"[20,80]",2,604532,36.5585626566382,34,11.5818155081865,male
"[20,80]",3,636635,36.8772634238579,34,11.9308949563468,male
"[20,80]",4,599595,37.3954524298421,35,12.4186930344193,male
"[20,80]",5,653961,37.30661981369,35,12.0249965837545,male
"[20,80]",6,667269,36.810953153359,34,11.8085190407121,male
"[20,80]",7,674636,36.7100680960287,34,11.765034642796,male
"[20,80]",8,641919,36.6534885241384,34,11.986076181093,male
"[20,80]",9,577642,36.6671060967766,34,12.1493762764521,male
"[20,80]",10,628129,36.2697192772335,34,11.82280128414,male
"[20,80]",11,668020,35.8968015923236,34,11.3400793435682,male
"[20,80]",12,678061,36.0352800116522,34,11.542658209663,male
"[20,80]",1,837102,29.7965311275124,28,9.25009165267213,female
"[20,80]",2,780936,29.8276901051509,28,9.25466527180366,female
"[20,80]",3,820668,29.99303213969,29,9.43330491930557,female
"[20,80]",4,785799,30.3394440561518,29,9.63317521195681,female
"[20,80]",5,883952,30.3660854889364,29,9.52856406700507,female
"[20,80]",6,889672,30.1967564449902,29,9.42543652937608,female
"[20,80]",7,893627,30.0201976886155,29,9.42352925590594,female
"[20,80]",8,848546,29.8994669706269,28,9.51557393249499,female
"[20,80]",9,759343,29.8358610006966,28,9.52886795276915,female
"[20,80]",10,832678,29.6992919231065,28,9.35649948177356,female
"[20,80]",11,872207,29.5367922981717,28,9.12446781590289,female
"[20,80]",12,854041,29.6318652149077,28,9.22040067456254,female
"[20,80]",1,1495550,32.7406540069409,31,10.4261699959391,both
"[20,80]",2,1382191,32.722272464338,31,10.3403532038366,both
"[20,80]",3,1454305,32.9932696373633,31,10.6388726850461,both
"[20,80]",4,1382937,33.3687950352293,31,10.933162466429,both
"[20,80]",5,1534656,33.3194403827459,31,10.7230939508633,both
"[20,80]",6,1543488,33.097324306815,31,10.5034448403986,both
"[20,80]",7,1554705,32.9851256668899,31,10.5344896145751,both
"[20,80]",8,1497262,32.6369455712484,31,10.7432272894447,both
"[20,80]",9,1344511,32.6453341026899,31,10.8728357321581,both
"[20,80]",10,1467642,32.3433134237593,31,10.5415404806123,both
"[20,80]",11,1526167,32.3411238741835,31,10.1156893565934,both
"[20,80]",12,1519462,32.5185772332071,31,10.3011072244976,both
