age_group,month,n,mean,median,std,type
"[20,80]",1,1161879,41.0038895616323,35,23.4736005013566,male
"[20,80]",2,1082563,40.998184678543,35,23.2792813454835,male
"[20,80]",3,1141749,41.2731905175475,35,23.656608714931,male
"[20,80]",4,1061582,41.9477270709359,35,24.3762670432686,male
"[20,80]",5,1149118,41.5404296162226,35,23.253593086059,male
"[20,80]",6,1159755,41.0475302969106,35,22.4917095064041,male
"[20,80]",7,1168171,40.9806377659786,35,22.4038535881485,male
"[20,80]",8,1104925,41.0636066700284,35,23.0033983510934,male
"[20,80]",9,1002990,41.1012757854695,35,23.228805562886,male
"[20,80]",10,1078833,40.6679156086326,34,23.023275560327,male
"[20,80]",11,1138426,40.2664071268173,34,22.5682323556263,male
"[20,80]",12,1166057,40.4877407365204,34,22.8701220749844,male
"[20,80]",1,1394758,32.808031859169,29,17.4165330886254,female
"[20,80]",2,1321941,32.8397485967196,29,17.3564460606958,female
"[20,80]",3,1389103,33.1207819002492,29,17.829430669737,female
"[20,80]",4,1311203,33.4831126833754,29,18.0316229888004,female
"[20,80]",5,1461108,33.2997387600193,30,17.326207130841,female
"[20,80]",6,1479627,33.021604431195,29,16.8953896295926,female
"[20,80]",7,1474993,32.8773249769446,29,16.9641256455238,female
"[20,80]",8,1395991,32.7680945651154,29,17.4156908566593,female
"[20,80]",9,1261162,32.8403776041575,29,17.7074441869851,female
"[20,80]",10,1360037,32.6457670637676,29,17.2771599786128,female
"[20,80]",11,1417140,32.4012511114761,29,16.8617444588454,female
"[20,80]",12,1403169,32.6525010885279,29,17.3690724674398,female
"[20,80]",1,2558794,36.4716861145882,32,20.5564484177015,both
"[20,80]",2,2406795,36.476917601984,32,20.4747110958615,both
"[20,80]",3,2529367,36.7699170979213,32,20.8290815367261,both
"[20,80]",4,2371373,37.239955460079,32,21.2820692423148,both
"[20,80]",5,2608980,36.9151473755968,32,20.3795785730228,both
"[20,80]",6,2638295,36.5379239998754,32,19.7821256011953,both
"[20,80]",7,2641827,36.4417842650216,32,19.7814727276848,both
"[20,80]",8,2502663,36.3907405032077,32,20.3157999249273,both
"[20,80]",9,2266248,36.47462616633,32,20.6300042368477,both
"[20,80]",10,2437209,36.1630498655588,31,20.1775024930324,both
"[20,80]",11,2554943,35.9058308931931,31,19.8570885137471,both
"[20,80]",12,2567987,36.2005350882928,31,20.2634114354532,both
