age_group,month,n,mean,median,std,type
"[20,80]",1,432687,31.8880941649851,31,6.6730479064862,male
"[20,80]",2,405633,31.977571104695,31,6.67769526172338,male
"[20,80]",3,425129,32.1603764974391,32,6.86551683266442,male
"[20,80]",4,386017,32.3404093598567,32,6.90748490591688,male
"[20,80]",5,422049,32.4453032702275,32,6.94302832190095,male
"[20,80]",6,431329,32.4012767515752,32,6.93445976955101,male
"[20,80]",7,431489,32.3121660111642,32,6.95620249917459,male
"[20,80]",8,404217,32.1852455485602,32,6.95233676192299,male
"[20,80]",9,364676,31.8765857910482,31,7.06316804712415,male
"[20,80]",10,384432,31.7610336808313,31,6.73359304027112,male
"[20,80]",11,413074,31.7012164888779,31,6.66872910042228,male
"[20,80]",12,426526,31.7623113246677,31,6.65354976805046,male
"[20,80]",1,520932,27.6273811169022,27,6.67118283207389,female
"[20,80]",2,501842,27.6677938473595,27,6.68460148338876,female
"[20,80]",3,521212,27.7153939280564,27,6.7173752496098,female
"[20,80]",4,489176,28.0106221480364,27,6.89810610599158,female
"[20,80]",5,553534,28.140208550959,27,6.93305291129928,female
"[20,80]",6,565374,28.0673251686367,27,6.94349913890667,female
"[20,80]",7,561588,27.9134075157771,27,6.92710707750628,female
"[20,80]",8,517826,27.6465735594847,27,6.77055854016648,female
"[20,80]",9,459575,27.5355378339454,27,6.75873814864776,female
"[20,80]",10,495313,27.4373091358887,27,6.71389919377103,female
"[20,80]",11,518271,27.3075136365917,27,6.53553825529626,female
"[20,80]",12,513181,27.3626280003407,27,6.52098001815571,female
"[20,80]",1,956293,29.5019478339367,29,6.92481783646115,both
"[20,80]",2,909758,29.543466943759,29,6.93928376150798,both
"[20,80]",3,952099,29.7236716980166,29,7.10743900400863,both
"[20,80]",4,877187,29.8713790785353,29,7.15366613190262,both
"[20,80]",5,977905,29.9616501602741,29,7.18718864184382,both
"[20,80]",6,998692,29.9038790736712,29,7.18756075155417,both
"[20,80]",7,995024,29.7761936395094,29,7.19189768072303,both
"[20,80]",8,928429,29.6444176128984,29,7.18524246396889,both
"[20,80]",9,824224,29.5407362561139,29,7.17085469942222,both
"[20,80]",10,882442,29.2786866445389,29,6.97892340223493,both
"[20,80]",11,937769,29.2746801182642,29,6.92033770345131,both
"[20,80]",12,946564,29.3608281108227,29,6.91010572474732,both
