age_group,month,n,mean,median,std,type
"[20,80]",1,710,4.89192488814744,4.19999980926514,2.90494151626952,male
"[20,80]",2,622,5.09169933918588,4.14287853240967,3.26240780473267,male
"[20,80]",3,647,5.51249706450349,4.19999980926514,4.47258906723113,male
"[20,80]",4,545,4.58591315833801,4.09999990463257,2.50069399216009,male
"[20,80]",5,659,4.76582169333792,4.14575719833374,2.64325556328941,male
"[20,80]",6,654,4.74732165471494,4,2.91609851663046,male
"[20,80]",7,661,4.59013064239462,4,2.63094396188167,male
"[20,80]",8,620,4.94996207260317,4.19999980926514,2.90880456971559,male
"[20,80]",9,587,4.76410268803065,4,2.93240729437086,male
"[20,80]",10,619,4.32082080802548,3.79999995231628,2.43511358949908,male
"[20,80]",11,687,4.54531689085815,3.93392992019653,2.63476093804084,male
"[20,80]",12,714,4.64683843376924,4.09999990463257,2.46220797048236,male
"[20,80]",1,20454,3.29776512997479,2.70000004768372,2.144262677306,female
"[20,80]",2,18843,3.32907863842646,2.69322896003723,2.18344542169361,female
"[20,80]",3,19653,3.30907948491276,2.69000005722046,2.16949495583466,female
"[20,80]",4,17577,3.3530239657228,2.72348999977112,2.17228710339375,female
"[20,80]",5,18769,3.32921426558483,2.70000004768372,2.16425279779334,female
"[20,80]",6,19429,3.24310234797535,2.59999990463257,2.12382952974665,female
"[20,80]",7,19993,3.2314683373244,2.59999990463257,2.13228776958514,female
"[20,80]",8,19185,3.18362816442324,2.59999990463257,2.06363177893949,female
"[20,80]",9,16972,3.15157330302017,2.54596197605133,2.04492543335847,female
"[20,80]",10,18949,3.11263953154116,2.5,2.0895127366847,female
"[20,80]",11,20943,3.07498608756041,2.4300000667572,2.04680608190603,female
"[20,80]",12,21976,3.20170469753496,2.59999990463257,2.09349655499524,female
"[20,80]",1,21193,3.34638184966561,2.72348999977112,2.18136567737877,both
"[20,80]",2,19487,3.37795203675508,2.70000004768372,2.21993712755909,both
"[20,80]",3,20159,3.37864765245897,2.70000004768372,2.21066484650751,both
"[20,80]",4,18145,3.3868157107924,2.75,2.19031193882781,both
"[20,80]",5,19454,3.37654439251519,2.72348999977112,2.19770605849392,both
"[20,80]",6,20072,3.29121031282836,2.66000008583069,2.158581877621,both
"[20,80]",7,20656,3.27945610500532,2.65000009536743,2.16514216759937,both
"[20,80]",8,19803,3.23431151812169,2.59999990463257,2.09563488079713,both
"[20,80]",9,17576,3.19824194169867,2.59999990463257,2.08041393604072,both
"[20,80]",10,19588,3.14629631451327,2.5,2.10520402987448,both
"[20,80]",11,21659,3.1171368564467,2.5,2.0756734478549,both
"[20,80]",12,22674,3.24434040468017,2.60999989509583,2.11288348368905,both
