age_group,month,n,mean,median,std,type
"[20,50)",1,167,8.50799603662091,6.21999979019165,8.30386166882996,male
"[20,50)",2,148,7.80213619567253,5.92668986320496,5.24784285661413,male
"[20,50)",3,163,7.79606206139173,5.50500011444092,6.59005027003019,male
"[20,50)",4,141,8.3722768463987,6.38579988479614,8.81486423495848,male
"[20,50)",5,137,8.71252949394449,5.44000005722046,11.4252767245993,male
"[20,50)",6,142,10.2328915419713,6.2228000164032,13.8345587921501,male
"[20,50)",7,163,7.65011729272597,5.50500011444092,6.6668951370585,male
"[20,50)",8,145,9.80359817208915,6.48000001907349,11.2228521593045,male
"[20,50)",9,117,8.5013502978871,5.78999996185303,9.66886308935648,male
"[20,50)",10,126,10.6434051810749,6.22500014305115,16.8703303522144,male
"[20,50)",11,142,6.87851252438317,5.4300000667572,5.61966698883769,male
"[20,50)",12,164,8.75103145328964,5.83668994903565,9.22289553356873,male
"[50,80]",1,290,5.45687517832065,4.40199995040894,3.63991046448958,male
"[50,80]",2,280,5.37225343372141,4.30000019073486,3.51452852383648,male
"[50,80]",3,294,5.56022523130689,4.69999980926514,3.16125820573949,male
"[50,80]",4,278,5.37652114741236,4.53000020980835,3.06481406275969,male
"[50,80]",5,287,5.88314468603101,4.57000017166138,4.83496253371074,male
"[50,80]",6,263,5.33092715259741,4.65999984741211,3.08256035946187,male
"[50,80]",7,273,6.68979875552349,4.5,6.71977456723589,male
"[50,80]",8,282,5.55333064253449,4.57000017166138,3.33040059339252,male
"[50,80]",9,242,5.84839562542182,4.95725011825562,3.70488969197523,male
"[50,80]",10,279,5.24299053564721,4.36999988555908,3.36277774468671,male
"[50,80]",11,295,5.41246196617514,4.57000017166138,3.43537948039257,male
"[50,80]",12,308,5.45667065699379,4.45402002334595,3.4883826797935,male
"[20,50)",1,360,5.86803866624832,4.40000009536743,4.30392131850629,female
"[20,50)",2,321,6.02575992238113,4.21999979019165,5.15107152650313,female
"[20,50)",3,342,5.30422221115458,4.20999979972839,3.63178492909238,female
"[20,50)",4,302,5.70420193869547,4.59999990463257,3.64944897626535,female
"[20,50)",5,324,5.59032518664996,4.41000008583069,3.89103208365462,female
"[20,50)",6,361,5.58374449784076,4.28000020980835,4.05282401710678,female
"[20,50)",7,350,5.68752085958208,4.40399980545044,4.03172744953113,female
"[20,50)",8,363,5.38949928697476,4.30000019073486,3.59092706653407,female
"[20,50)",9,280,5.40193757670266,4.33999991416931,3.54224942730086,female
"[20,50)",10,289,5.6257249063274,4.1838002204895,4.12643670616381,female
"[20,50)",11,341,5.61851982916555,4.21999979019165,4.73218145230098,female
"[20,50)",12,342,5.6627960316619,4.51000022888184,4.02202411512306,female
"[50,80]",1,415,4.86390240020063,3.91000008583069,3.15967220880544,female
"[50,80]",2,394,4.95655669234126,3.70000004768372,3.31107838430117,female
"[50,80]",3,409,5.21273350511612,3.95000004768372,3.94673660169988,female
"[50,80]",4,410,5.0719716138956,3.96359992027283,3.63719744335219,female
"[50,80]",5,414,5.40117874755952,3.96679997444153,3.81911446629511,female
"[50,80]",6,428,4.96939827348584,4.00999999046326,3.44145317706396,female
"[50,80]",7,456,5.26607455496202,4.01999998092651,3.75831845807292,female
"[50,80]",8,423,5.13565523630057,4.15000009536743,3.33337818815967,female
"[50,80]",9,325,5.19808178901672,4.09999990463257,3.71193237372043,female
"[50,80]",10,399,4.46897703424134,3.8199999332428,2.57994038708946,female
"[50,80]",11,439,5.25326780197561,4.03999996185303,3.87251065014515,female
"[50,80]",12,465,4.68886348098837,3.79999995231628,3.00078835733366,female
"[20,50)",1,529,6.52308759256662,4.90000009536743,4.95027877577135,both
"[20,50)",2,469,6.58791985542281,4.80000019073486,5.24024240765522,both
"[20,50)",3,506,5.98399824705049,4.63209986686707,4.34833233689685,both
"[20,50)",4,442,6.33757095342308,5.0512900352478,4.24525856540776,both
"[20,50)",5,465,6.22870902681864,4.61999988555908,5.32594895834582,both
"[20,50)",6,503,6.41317249671602,4.67999982833862,5.38013821066938,both
"[20,50)",7,514,6.25830509644074,4.69999980926514,4.84947051783914,both
"[20,50)",8,507,6.37651743056506,5,4.93379115197789,both
"[20,50)",9,397,6.07345195140887,4.77833986282349,4.57025118030812,both
"[20,50)",10,415,6.62971941132143,4.71227979660034,5.72099851315384,both
"[20,50)",11,480,6.01765425031384,4.57508015632629,5.03894156992194,both
"[20,50)",12,507,6.41642445760836,4.94999980926514,5.01377128694073,both
"[50,80]",1,702,5.09453461261896,4.13000011444092,3.31699077471984,both
"[50,80]",2,672,5.13794925152546,3.94579005241394,3.38900790792663,both
"[50,80]",3,705,5.37216598919943,4.19999980926514,3.67483110554463,both
"[50,80]",4,688,5.18798348862071,4.19190001487732,3.38621133201904,both
"[50,80]",5,702,5.57827937942624,4.3050000667572,4.0563824783821,both
"[50,80]",6,687,5.09903013688855,4.21999979019165,3.24616733485414,both
"[50,80]",7,732,5.6542008994707,4.20999979972839,4.27192831189876,both
"[50,80]",8,704,5.31009972484952,4.30000019073486,3.33319320208387,both
"[50,80]",9,571,5.47638655314304,4.40000009536743,3.74215312245695,both
"[50,80]",10,682,4.7779709633844,3.96359992027283,2.92931737340926,both
"[50,80]",11,733,5.34761370399314,4.32999992370605,3.73478517613128,both
"[50,80]",12,777,5.04398741332414,4.1100001335144,3.33129905146664,both
