age_group,month,n,mean,median,std,type
"[20,80]",1,454,6.34298523984817,5.02999997138977,4.56645662048067,male
"[20,80]",2,429,6.2046083914928,4.84000015258789,4.22242663073206,male
"[20,80]",3,457,6.28511014339439,5.03999996185303,4.25054293045272,male
"[20,80]",4,420,6.11666265697706,4.92499995231628,3.94193265146523,male
"[20,80]",5,423,6.61970889483783,4.80036020278931,6.33936104251048,male
"[20,80]",6,404,6.3823050537912,5.02999997138977,4.98174390323569,male
"[20,80]",7,436,7.03118297567061,4.832200050354,6.58930690969713,male
"[20,80]",8,426,6.60202482692513,5.17499995231628,4.72691494123049,male
"[20,80]",9,362,6.60733239196282,5.1713399887085,5.5655616848365,male
"[20,80]",10,405,6.22253584655715,4.73430013656616,4.71380617006171,male
"[20,80]",11,437,5.79778091667446,4.73000001907349,3.86160980519926,male
"[20,80]",12,477,6.2905753033716,4.84000015258789,4.68116860717809,male
"[20,80]",1,775,5.32371715668709,4.15000009536743,3.72492624493885,female
"[20,80]",2,714,5.3972646114873,3.9300000667572,4.04851593753687,female
"[20,80]",3,753,5.29372297308518,4.00763988494873,3.87501541467903,female
"[20,80]",4,713,5.33383490577821,4.1838002204895,3.64479568280402,female
"[20,80]",5,739,5.47185840480866,4.17000007629395,3.81653643945335,female
"[20,80]",6,786,5.23521481427831,4.10500001907349,3.67681114225578,female
"[20,80]",7,809,5.45332867503903,4.1838002204895,3.89548421513158,female
"[20,80]",8,788,5.28888376246249,4.19999980926514,3.52242059125468,female
"[20,80]",9,607,5.30976788019623,4.1838002204895,3.67492120041991,female
"[20,80]",10,691,4.90563718558393,3.96359992027283,3.1296533257065,female
"[20,80]",11,776,5.38910492839887,4.18190002441406,4.05696093257522,female
"[20,80]",12,807,5.08777757382304,4,3.43873867810781,female
"[20,80]",1,1230,5.6842035886718,4.40399980545044,4.01500215673194,both
"[20,80]",2,1143,5.69672727219806,4.30999994277954,4.11560907292755,both
"[20,80]",3,1211,5.61978425613422,4.40399980545044,3.94566497677835,both
"[20,80]",4,1135,5.62812564173459,4.5,3.77466481368049,both
"[20,80]",5,1166,5.81323226800709,4.40199995040894,4.42226485713968,both
"[20,80]",6,1190,5.58196276316122,4.40399980545044,3.95319051015583,both
"[20,80]",7,1245,5.89299443725601,4.40399980545044,4.44512372997341,both
"[20,80]",8,1213,5.72168519815333,4.53000020980835,3.93377797133418,both
"[20,80]",9,969,5.72286277240521,4.53000020980835,4.0570082191929,both
"[20,80]",10,1097,5.38077539808661,4.19999980926514,3.72860635410022,both
"[20,80]",11,1216,5.54476618766785,4.42000007629395,4.02355050126526,both
"[20,80]",12,1281,5.51392000006289,4.40399980545044,3.83900266711389,both
