age_group,month,n,mean,median,std,type
"[20,50)",1,78,0.503213645842595,0.464460790157318,0.252725766445747,male
"[20,50)",2,91,0.55166495173842,0.586206912994385,0.282557492024078,male
"[20,50)",3,84,0.443744311574847,0.400000005960465,0.257249298266549,male
"[20,50)",4,61,0.556067235279279,0.566666662693024,0.24026296386105,male
"[20,50)",5,60,0.398164198299249,0.379487186670303,0.277123828694694,male
"[20,50)",6,56,0.544006166913148,0.547727286815643,0.286420117173163,male
"[20,50)",7,74,0.462827062989409,0.429487183690071,0.266853462992202,male
"[20,50)",8,62,0.495876000833608,0.5211161673069,0.283890769129176,male
"[20,50)",9,52,0.525242290101372,0.563301295042038,0.261019398155171,male
"[20,50)",10,64,0.49958287953632,0.519230782985687,0.288857031517954,male
"[20,50)",11,72,0.414066036076595,0.391891896724701,0.248149077490092,male
"[20,50)",12,87,0.539226350428044,0.545454561710358,0.254863409641745,male
"[50,80]",1,58,0.583487156007824,0.602011471986771,0.281725120887423,male
"[50,80]",2,44,0.501623141833327,0.46428570151329,0.305124030993352,male
"[50,80]",3,49,0.560113822699201,0.545454561710358,0.299159181450114,male
"[50,80]",4,48,0.440580322407186,0.427917614579201,0.275427847347597,male
"[50,80]",5,48,0.518492899214228,0.590909063816071,0.266157444298107,male
"[50,80]",6,55,0.585931447961114,0.652173936367035,0.290417057841773,male
"[50,80]",7,34,0.613011525615173,0.763888895511627,0.303933469357457,male
"[50,80]",8,43,0.579513302376104,0.535714268684387,0.253714923931967,male
"[50,80]",9,35,0.559748445238386,0.52173912525177,0.303338822003198,male
"[50,80]",10,44,0.421649725176394,0.420168071985245,0.282103817125395,male
"[50,80]",11,46,0.463497082581339,0.436141297221184,0.24237480628094,male
"[50,80]",12,57,0.469808454184156,0.473684221506119,0.291636238317065,male
"[20,50)",1,144,0.487447450868785,0.477678567171097,0.236585680550483,female
"[20,50)",2,143,0.471876742930471,0.441860467195511,0.256315583960335,female
"[20,50)",3,153,0.497696799633939,0.5,0.280177410723969,female
"[20,50)",4,126,0.524390713799568,0.528342247009277,0.264550427373609,female
"[20,50)",5,115,0.513844710296911,0.530120491981506,0.258692701850713,female
"[20,50)",6,157,0.514266469225193,0.553191483020783,0.268613311531,female
"[20,50)",7,151,0.508016868192234,0.505882382392883,0.261673556616254,female
"[20,50)",8,156,0.505947860196615,0.496987953782082,0.277327559590645,female
"[20,50)",9,96,0.4877620912157,0.512854307889938,0.24298954322431,female
"[20,50)",10,107,0.515413893160419,0.5,0.248540633982658,female
"[20,50)",11,143,0.495311045797763,0.494117647409439,0.263758590829931,female
"[20,50)",12,146,0.530944551660182,0.566540390253067,0.271397684058956,female
"[50,80]",1,83,0.481591349938907,0.4375,0.219828223889502,female
"[50,80]",2,72,0.57024923298094,0.55133929848671,0.253109974135159,female
"[50,80]",3,73,0.499355649499044,0.5,0.245766913780193,female
"[50,80]",4,68,0.486739790587522,0.467436969280243,0.304909979607853,female
"[50,80]",5,62,0.581323003095965,0.604567319154739,0.26099980945884,female
"[50,80]",6,79,0.507813640976254,0.5,0.254464671295032,female
"[50,80]",7,82,0.560966664788927,0.61553031206131,0.253164663727688,female
"[50,80]",8,72,0.471002178163164,0.430555552244186,0.315326749102409,female
"[50,80]",9,53,0.53475761469805,0.529411792755127,0.267208507947004,female
"[50,80]",10,54,0.474995796741159,0.466931223869324,0.255793778320489,female
"[50,80]",11,55,0.445990392023867,0.470588237047195,0.236421338512123,female
"[50,80]",12,85,0.49282489024541,0.5,0.280673103891699,female
"[20,50)",1,222,0.493026961111002,0.474458873271942,0.241787883537354,both
"[20,50)",2,230,0.493967842407849,0.471008405089378,0.262599722516792,both
"[20,50)",3,238,0.476579821519867,0.435573115944862,0.273798561697178,both
"[20,50)",4,189,0.534347851814889,0.552631556987763,0.259390994409041,both
"[20,50)",5,173,0.485824821204636,0.461538463830948,0.265498856557942,both
"[20,50)",6,210,0.515169821466718,0.547727286815643,0.26871830615981,both
"[20,50)",7,227,0.493059442087286,0.5,0.265738513803297,both
"[20,50)",8,217,0.505305718579051,0.512820541858673,0.277279800273174,both
"[20,50)",9,148,0.500719737613926,0.525575459003449,0.2488410606593,both
"[20,50)",10,173,0.509546253334925,0.5,0.265947195358704,both
"[20,50)",11,217,0.468390729312661,0.466666668653488,0.263325161498295,both
"[20,50)",12,235,0.533738231579674,0.553191483020783,0.266526164680786,both
"[50,80]",1,138,0.511418997512563,0.493589743971825,0.240562968241513,both
"[50,80]",2,118,0.54376590671807,0.515625,0.278928395455799,both
"[50,80]",3,130,0.531163082787624,0.545454561710358,0.285383423828582,both
"[50,80]",4,113,0.480093068517415,0.46428570151329,0.28557309388656,both
"[50,80]",5,110,0.555356277796355,0.592329531908035,0.261226499484432,both
"[50,80]",6,130,0.531720923575071,0.530330896377564,0.260251676788232,both
"[50,80]",7,115,0.581080296894778,0.625,0.26479487399298,both
"[50,80]",8,111,0.495070607242015,0.5,0.284589286189486,both
"[50,80]",9,90,0.554564623451895,0.529411792755127,0.28464450659795,both
"[50,80]",10,103,0.43905793177416,0.435897439718246,0.279457863306121,both
"[50,80]",11,101,0.453963736238161,0.444444447755814,0.238108369080949,both
"[50,80]",12,139,0.487824416739478,0.5,0.277591067731377,both
