age_group,month,n,mean,median,std,type
"[20,30)",1,27,6.43999106354184,5.03999996185303,3.65829105335926,male
"[20,30)",2,31,10.4678186524299,7.98999977111816,6.7018787041203,male
"[20,30)",3,23,9.20934872005297,7.59000015258789,6.0370140724377,male
"[20,30)",4,18,15.506759206454,7.21500015258789,32.2957878611425,male
"[20,30)",5,20,8.61311495304108,6.42309999465942,7.98866040115262,male
"[20,30)",6,19,9.54478516704158,6.30000019073486,10.0266826254875,male
"[20,30)",7,18,7.81010218461355,5.34500002861023,5.68323813916333,male
"[20,30)",8,30,7.8753825823466,6.92499995231628,4.9531230376913,male
"[20,30)",9,23,16.2534306671308,8.80000019073486,20.6729677533025,male
"[20,30)",10,20,14.5785390734673,10.7999997138977,16.2987491907774,male
"[20,30)",11,28,5.49083715251514,4.64000010490418,3.01567132965405,male
"[20,30)",12,29,10.2316917139908,6.95832014083862,9.96213463551616,male
"[30,40)",1,29,6.02134482613925,5,3.23105283696487,male
"[30,40)",2,30,5.33806196848552,4.60500001907349,2.46996640216188,male
"[30,40)",3,32,6.45001563429833,5.11500000953674,4.53010502657939,male
"[30,40)",4,24,8.32107658187548,6.14688992500305,4.66755291610791,male
"[30,40)",5,18,5.60892003112369,4.7221999168396,2.6147900774122,male
"[30,40)",6,19,7.15395169509085,6.28000020980835,4.31554507007962,male
"[30,40)",7,26,5.97174387711745,5.30750012397766,2.93707219391026,male
"[30,40)",8,16,7.50340250134468,6.5209801197052,5.120207570802,male
"[30,40)",9,9,7.84323787689209,7.07000017166138,2.94204976240037,male
"[30,40)",10,19,7.60321887543327,7.17000007629395,5.7172260152852,male
"[30,40)",11,26,6.53236996669036,5.17499995231628,5.09731888972172,male
"[30,40)",12,26,12.0262491886432,6.69203996658325,14.36035941116,male
"[40,50)",1,20,7.06824703216553,6.82620000839233,2.55109241677051,male
"[40,50)",2,24,6.17921835680803,5.90664005279541,2.97316920308495,male
"[40,50)",3,27,4.24988143090849,3.90000009536743,2.16077079097211,male
"[40,50)",4,17,5.43674111366272,4.80000019073486,2.60800697992285,male
"[40,50)",5,16,4.13179253041744,3.80999994277954,1.7839394059712,male
"[40,50)",6,15,13.2068134784699,4.1838002204895,20.4120791279504,male
"[40,50)",7,28,5.49044926677431,4.84999990463257,2.50349920335521,male
"[40,50)",8,15,6.27692925135295,5.65999984741211,3.78090822170125,male
"[40,50)",9,18,4.89257997936673,4.62916994094849,2.30302218235601,male
"[40,50)",10,22,4.84084182435816,4.43703007698059,2.35680723088668,male
"[40,50)",11,19,5.11241055789747,4.84000015258789,1.93599065549883,male
"[40,50)",12,30,5.75090200901032,4.78623986244202,3.03172676771366,male
"[50,60)",1,19,4.68142106658534,4.13000011444092,2.17277563510585,male
"[50,60)",2,17,6.02904227901908,3.54999995231628,4.77619065485631,male
"[50,60)",3,19,4.88483785328112,3.83148002624512,2.06908066247364,male
"[50,60)",4,18,3.87462223900689,4.25,1.75580875016412,male
"[50,60)",5,19,5.56957266205236,5,3.38038346113762,male
"[50,60)",6,20,5.48294999599457,4.71499991416931,2.49800609671776,male
"[50,60)",7,13,9.8236353122271,5.26000022888184,7.97043541863668,male
"[50,60)",8,17,5.85989419151755,5,2.87942583289209,male
"[50,60)",9,19,5.01651579455325,3.30299997329712,4.28147317571329,male
"[50,60)",10,18,3.59895777702332,3.22000002861023,1.68528393846723,male
"[50,60)",11,19,12.1364129217047,3.09999990463257,25.3636087079203,male
"[50,60)",12,19,4.90685368839063,3.85999989509583,2.97602764698277,male
"[60,70)",1,22,7.42488181591034,4.84999990463257,6.92761317365309,male
"[60,70)",2,21,4.46233052299136,3.74340009689331,2.55259690417786,male
"[60,70)",3,19,4.88433900632356,3.58926010131836,2.90747965688172,male
"[60,70)",4,16,3.94823627173901,3.62670004367828,1.88006333767287,male
"[60,70)",5,19,4.18972314031501,4.59999990463257,1.78101766509058,male
"[60,70)",6,22,5.156172784892,4.59999990463257,3.31713722942711,male
"[60,70)",7,12,6.65986665089925,4.09999990463257,5.02835685208018,male
"[60,70)",8,18,5.11611108647453,3.75,4.84005486172407,male
"[60,70)",9,11,6.75014914165844,5.30000019073486,3.95347440560822,male
"[60,70)",10,15,7.42194808324178,3.9300000667572,13.6671098036062,male
"[60,70)",11,19,4.46986950071234,3.83999991416931,2.08562156386177,male
"[60,70)",12,24,4.08474499483903,4.13190007209778,1.64035086953524,male
