age_group,month,n,mean,median,std,type
"[20,80]",1,133,6.16640675695319,5.03999996185303,3.7905381580928,male
"[20,80]",2,129,6.56632354277973,5.32999992370606,4.24395084303918,male
"[20,80]",3,132,5.68079666386951,4.68999981880188,3.56604216730611,male
"[20,80]",4,108,5.91976368648035,4.84220004081726,3.72146263799912,male
"[20,80]",5,106,5.25481283777165,4.59999990463257,3.27673784925819,male
"[20,80]",6,104,6.71005117205473,4.97000002861023,5.63334732822549,male
"[20,80]",7,109,6.59418163387054,5.07999992370606,4.55790286114227,male
"[20,80]",8,106,6.62000996886559,5.53999996185303,4.37510213890735,male
"[20,80]",9,86,7.68430141792741,5.35000014305115,7.66844015997274,male
"[20,80]",10,107,6.58556559152692,4.36999988555908,6.02772192746572,male
"[20,80]",11,121,5.29942662065679,4.5,3.34343683095962,male
"[20,80]",12,141,6.97138098875682,4.82000017166138,6.8075943241556,male
"[20,80]",1,227,4.37002070412237,3.74340009689331,2.12516988811564,female
"[20,80]",2,217,4.97960479413309,3.79999995231628,3.28119201509431,female
"[20,80]",3,228,5.07092753157281,3.7849999666214,3.64525277067704,female
"[20,80]",4,198,5.17874849685515,3.98179996013641,3.51163271617637,female
"[20,80]",5,179,5.23904323577881,4.19999980926514,3.27984993539904,female
"[20,80]",6,236,4.91418950234429,4.08999991416931,3.02983792205892,female
"[20,80]",7,234,5.05536178238372,4.21999979019165,3.01484466622542,female
"[20,80]",8,224,4.72677830287388,3.86500000953674,2.82257487075027,female
"[20,80]",9,148,4.64503554717915,4.01381993293762,2.46023490763409,female
"[20,80]",10,163,4.85991336304717,3.8199999332428,3.00576467345205,female
"[20,80]",11,199,4.81122382382053,3.96359992027283,3.57058213473855,female
"[20,80]",12,232,5.32313958940835,4.15000009536743,3.49600683708033,female
"[20,80]",1,360,4.94439377221796,4.29695010185242,2.59840721475278,both
"[20,80]",2,346,5.57305137683891,4.30000019073486,3.73761467269516,both
"[20,80]",3,360,5.34622776938809,4.07785987854004,3.69639149083491,both
"[20,80]",4,307,5.40366996538367,4.30999994277954,3.51056138347547,both
"[20,80]",5,286,5.23291111867745,4.29500007629395,3.26448822272485,both
"[20,80]",6,342,5.38307188338006,4.31500005722046,3.6040937140378,both
"[20,80]",7,343,5.51087812918616,4.40399980545044,3.50949882608042,both
"[20,80]",8,330,5.25574920502576,4.36500000953674,3.17400361578202,both
"[20,80]",9,235,5.56334341688359,4.4920802116394,3.85487132066687,both
"[20,80]",10,271,5.37389666083994,3.96359992027283,3.81179050269162,both
"[20,80]",11,319,4.92433906834701,4.1838002204895,3.25151903713298,both
"[20,80]",12,373,5.75311288245562,4.48000001907349,3.92476062191912,both
