age_group,month,n,mean,median,std,type
"[20,80]",1,584,325.927645252176,296,148.888408638101,male
"[20,80]",2,577,309.892805975479,285.309997558594,134.937142107834,male
"[20,80]",3,563,324.100916264536,284,151.850519556463,male
"[20,80]",4,497,313.254177101181,292,149.33857881973,male
"[20,80]",5,467,342.11111969713,289,178.179181160112,male
"[20,80]",6,502,323.682510679937,293,155.768758381018,male
"[20,80]",7,481,323.436979630881,280,164.087494926887,male
"[20,80]",8,452,326.720664454772,288.5,162.920075210732,male
"[20,80]",9,431,331.185382657151,295,169.426549143252,male
"[20,80]",10,453,337.477534077289,299,173.635616881308,male
"[20,80]",11,501,316.03464870491,273,156.535685827474,male
"[20,80]",12,587,323.801349048517,296.390014648438,150.285260782736,male
"[20,80]",1,674,390.50297031346,343.740005493164,206.601210209155,female
"[20,80]",2,648,379.01773744748,332.699996948242,205.71929729903,female
"[20,80]",3,703,364.168873294489,313.010009765625,198.002924216152,female
"[20,80]",4,574,394.569891261722,361.050003051758,203.63161765794,female
"[20,80]",5,640,372.113111007214,327.929992675781,196.386514004218,female
"[20,80]",6,678,374.348368045503,313.010009765625,204.795393825307,female
"[20,80]",7,601,373.638498125378,327,200.420449462409,female
"[20,80]",8,595,373.629589907863,332,196.61428802871,female
"[20,80]",9,560,380.946183790479,319.274993896484,211.814371035946,female
"[20,80]",10,577,354.655701357942,296.390014648438,198.843528964275,female
"[20,80]",11,650,397.600357947716,340.354995727539,221.553640231437,female
"[20,80]",12,681,339.505910797791,302,173.792739121142,female
"[20,80]",1,1261,358.73253282491,324.089996337891,179.88090779948,both
"[20,80]",2,1227,343.245049710573,310,170.677434471144,both
"[20,80]",3,1266,344.800253363394,305.5,175.201178092809,both
"[20,80]",4,1070,356.04762024211,313.005004882813,181.455694039832,both
"[20,80]",5,1106,358.825781120314,309,188.347707725341,both
"[20,80]",6,1181,352.402484212257,304,185.341491739702,both
"[20,80]",7,1083,350.715470522725,305,185.644690185856,both
"[20,80]",8,1047,353.351142628259,310.239990234375,183.843836326767,both
"[20,80]",9,991,357.313736377643,310.239990234375,191.707562067313,both
"[20,80]",10,1031,347.231719371304,298,187.639688297948,both
"[20,80]",11,1154,359.956847238789,305,193.496672975827,both
"[20,80]",12,1270,332.879068641963,302,164.052359154653,both
