age_group,month,n,mean,median,std,type
"[20,30)",1,148,0.466385052992484,0.433070868253708,0.274834459726466,male
"[20,30)",2,140,0.514827358283635,0.535260379314423,0.253058385693861,male
"[20,30)",3,126,0.529903342149087,0.541880130767822,0.257295456687279,male
"[20,30)",4,113,0.523752939648333,0.550847470760346,0.217094532000118,male
"[20,30)",5,131,0.492777756635697,0.482142865657806,0.296098661930704,male
"[20,30)",6,134,0.461151857332174,0.469187676906586,0.278642275553926,male
"[20,30)",7,136,0.453630096087342,0.465193703770638,0.275543088845444,male
"[20,30)",8,130,0.522989336974346,0.526104718446732,0.293572336996038,male
"[20,30)",9,123,0.410964621707979,0.330508470535278,0.299214478182755,male
"[20,30)",10,131,0.448178138399056,0.447761207818985,0.262128382282577,male
"[20,30)",11,126,0.502065771392414,0.495575204491615,0.258834300552176,male
"[20,30)",12,152,0.483026025608476,0.483630955219269,0.280920683574934,male
"[30,40)",1,128,0.514455134281889,0.511302202939987,0.283148178658085,male
"[30,40)",2,96,0.539799998824795,0.583116859197617,0.276743930931143,male
"[30,40)",3,110,0.46124577766115,0.441650956869125,0.248860715048757,male
"[30,40)",4,83,0.530871520290174,0.546875,0.278844283583214,male
"[30,40)",5,121,0.492200389211951,0.494845360517502,0.279172622505958,male
"[30,40)",6,111,0.488305364508887,0.504504501819611,0.283143413418695,male
"[30,40)",7,109,0.502092965835825,0.490196079015732,0.267008311749256,male
"[30,40)",8,113,0.51321095498526,0.522522509098053,0.264189731593506,male
"[30,40)",9,85,0.541391635839553,0.569767415523529,0.284373957598263,male
"[30,40)",10,101,0.467856622070517,0.474226802587509,0.291282836393193,male
"[30,40)",11,123,0.437057986764646,0.431372553110123,0.272093665644646,male
"[30,40)",12,114,0.495821647166291,0.475568994879723,0.294449271804483,male
"[40,50)",1,79,0.473993678211789,0.448979586362839,0.263666703312442,male
"[40,50)",2,76,0.543403540983012,0.549319714307785,0.243098853676521,male
"[40,50)",3,79,0.459815037967284,0.388888895511627,0.266152564319823,male
"[40,50)",4,58,0.543706905931748,0.559322059154511,0.220887514530869,male
"[40,50)",5,74,0.564240330679191,0.602175354957581,0.278125461586278,male
"[40,50)",6,77,0.369509821056159,0.384615391492844,0.260626247128569,male
"[40,50)",7,55,0.448652380163019,0.408163279294968,0.245277354775196,male
"[40,50)",8,73,0.422781974995789,0.365384608507156,0.239395060337051,male
"[40,50)",9,50,0.500159238874912,0.487429291009903,0.248012941508991,male
"[40,50)",10,62,0.482673355768765,0.471088439226151,0.268063572815809,male
"[40,50)",11,70,0.51447648704052,0.53658539056778,0.259060416945196,male
"[40,50)",12,80,0.501837526774034,0.442406699061394,0.281731507226847,male
"[50,60)",1,74,0.463204916516269,0.44017094373703,0.242292522290633,male
"[50,60)",2,70,0.450093640812806,0.445054948329926,0.274737141859573,male
"[50,60)",3,74,0.488290638637704,0.536731630563736,0.287738458679301,male
"[50,60)",4,55,0.479443546790968,0.5,0.267501594917135,male
"[50,60)",5,73,0.411850233039219,0.400000005960465,0.266495821141167,male
"[50,60)",6,71,0.467861718327647,0.5,0.326565413159453,male
"[50,60)",7,61,0.458804343933942,0.46428570151329,0.259025431854088,male
"[50,60)",8,62,0.482533060014248,0.450091570615768,0.225777483843098,male
"[50,60)",9,65,0.391101245123606,0.388888895511627,0.259410979108929,male
"[50,60)",10,55,0.492441024428064,0.487179487943649,0.258701993602213,male
"[50,60)",11,50,0.511629098653793,0.511842116713524,0.241592857864075,male
"[50,60)",12,64,0.485852093261201,0.517241358757019,0.259282394276514,male
"[60,70)",1,101,0.496835140677372,0.476190477609634,0.323606846329249,male
"[60,70)",2,75,0.487302653938532,0.454545468091965,0.321054047146217,male
"[60,70)",3,64,0.446241170226131,0.357142865657806,0.351942490446927,male
"[60,70)",4,58,0.549216084567637,0.559027791023254,0.328538929796356,male
"[60,70)",5,95,0.441439722596031,0.444444447755814,0.294477080623663,male
"[60,70)",6,77,0.446054445168415,0.388888895511627,0.319666071383398,male
"[60,70)",7,68,0.555718538132222,0.559027791023254,0.31035121148695,male
"[60,70)",8,70,0.483649766658034,0.444444447755814,0.326361198220658,male
"[60,70)",9,57,0.357137053028533,0.333333343267441,0.292539948834025,male
"[60,70)",10,75,0.461133892784516,0.428571432828903,0.335945192870699,male
"[60,70)",11,69,0.419771878129762,0.352941185235977,0.314122423063835,male
"[60,70)",12,71,0.470516913006423,0.428571432828903,0.340126772598281,male
"[70,80]",1,47,0.564285714258539,0.5,0.364270149989024,male
"[70,80]",2,41,0.477932638147982,0.5,0.367899144587736,male
"[70,80]",3,44,0.400541125542738,0.333333343267441,0.361509611364031,male
"[70,80]",4,31,0.351305685937405,0.28571429848671,0.337751804267948,male
"[70,80]",5,41,0.4647502908256,0.428571432828903,0.398678093304888,male
"[70,80]",6,35,0.600204080768994,0.666666686534882,0.314319328837991,male
"[70,80]",7,52,0.4916208819128,0.5,0.371190726426995,male
"[70,80]",8,36,0.463558201160696,0.5,0.425222675323676,male
"[70,80]",9,32,0.287574405781925,0.0857142880558968,0.328100651897951,male
"[70,80]",10,40,0.322440477460623,0.207142859697342,0.331035550909463,male
"[70,80]",11,44,0.466612555086613,0.5,0.354253161809622,male
"[70,80]",12,35,0.472244899400643,0.5,0.394436152671855,male
"[20,30)",1,3514,0.504237738499968,0.508891820907593,0.263900987989013,female
"[20,30)",2,3209,0.512971850938053,0.518860042095184,0.263913516766247,female
"[20,30)",3,3337,0.517838166644286,0.530073344707489,0.260862257092438,female
"[20,30)",4,3037,0.51571253354112,0.523051619529724,0.265524877367266,female
"[20,30)",5,3221,0.509975387109053,0.514668881893158,0.265349575705692,female
"[20,30)",6,3300,0.491852286197245,0.490402191877365,0.269876721654003,female
"[20,30)",7,3335,0.496971647063832,0.502834737300873,0.269263177513264,female
"[20,30)",8,3218,0.498203455283543,0.496531844139099,0.26533300706398,female
"[20,30)",9,2968,0.490251676433009,0.48601233959198,0.267832745442981,female
"[20,30)",10,3257,0.49033049812342,0.480238974094391,0.261623467037311,female
"[20,30)",11,3487,0.498643436429876,0.498742669820786,0.262355093595445,female
"[20,30)",12,3869,0.50910345730308,0.514668881893158,0.265505787343809,female
"[30,40)",1,2822,0.517841980204483,0.520269244909287,0.266030700287693,female
"[30,40)",2,2576,0.517339881604989,0.522162228822708,0.263221256170422,female
"[30,40)",3,2584,0.511658021727513,0.509756058454514,0.264432385272563,female
"[30,40)",4,2397,0.525232058299747,0.526862025260925,0.264494517670775,female
"[30,40)",5,2547,0.506802083619457,0.506199836730957,0.270298817231912,female
"[30,40)",6,2699,0.506545948759743,0.50390625,0.268030809613143,female
"[30,40)",7,2846,0.505717128012604,0.504166543483734,0.269469529911399,female
"[30,40)",8,2797,0.511635363645369,0.508593738079071,0.272469325643471,female
"[30,40)",9,2365,0.502608272137148,0.504059553146362,0.26896378181981,female
"[30,40)",10,2660,0.488720592048327,0.48695795238018,0.26951636664777,female
"[30,40)",11,2957,0.499261425156115,0.49937579035759,0.260169526038345,female
"[30,40)",12,3052,0.500073353137435,0.489406019449234,0.26594682925054,female
"[40,50)",1,1155,0.505196370071534,0.507537662982941,0.261517099766227,female
"[40,50)",2,1021,0.504127920666358,0.495219886302948,0.254493352873555,female
"[40,50)",3,1034,0.493366290568383,0.496304109692574,0.259915233831475,female
"[40,50)",4,924,0.490765626671285,0.477452248334885,0.274549410001796,female
"[40,50)",5,1003,0.492050384094239,0.483668327331543,0.264279615362757,female
"[40,50)",6,1070,0.480149473920116,0.482919469475746,0.275492264314359,female
"[40,50)",7,1108,0.486375624835088,0.482647567987442,0.267062688256595,female
"[40,50)",8,1071,0.501005303883363,0.52198851108551,0.26650486491903,female
"[40,50)",9,974,0.492423995879901,0.491716891527176,0.2605566861171,female
"[40,50)",10,1030,0.486535773824141,0.487702429294586,0.27288136439711,female
"[40,50)",11,1193,0.502219499465881,0.512455523014069,0.260639913068859,female
"[40,50)",12,1207,0.508438043663619,0.512455523014069,0.266840910257535,female
"[50,60)",1,261,0.51113307681577,0.515151500701904,0.274307999291868,female
"[50,60)",2,241,0.487788142041299,0.509615361690521,0.294581409675517,female
"[50,60)",3,245,0.530453671864709,0.532467544078827,0.291053407509133,female
"[50,60)",4,226,0.497008665407126,0.5,0.259775779884458,female
"[50,60)",5,224,0.490956983811754,0.487457364797592,0.278167119001702,female
"[50,60)",6,276,0.487509727424038,0.493506491184235,0.277777312539182,female
"[50,60)",7,257,0.473414567411526,0.451923072338104,0.272522482606028,female
"[50,60)",8,284,0.465227432516207,0.472041845321655,0.272422226487304,female
"[50,60)",9,224,0.498813477211765,0.519230782985687,0.262836725720428,female
"[50,60)",10,257,0.474095722232811,0.472222208976746,0.255223060298542,female
"[50,60)",11,290,0.493367663873681,0.466666668653488,0.264020312180254,female
"[50,60)",12,277,0.482898912987662,0.490066230297089,0.286887218258232,female
"[60,70)",1,166,0.599952370040568,0.593478262424469,0.26811299199999,female
"[60,70)",2,129,0.471031149141779,0.472222208976746,0.283974458575436,female
"[60,70)",3,130,0.502556521359545,0.482822403311729,0.294930087206533,female
"[60,70)",4,110,0.563691575418819,0.575757563114166,0.308962607096265,female
"[60,70)",5,122,0.414812250551386,0.439999997615814,0.290907598007771,female
"[60,70)",6,115,0.484718374292488,0.5,0.253703292573571,female
"[60,70)",7,135,0.480740312321319,0.479999989271164,0.277195211705389,female
"[60,70)",8,145,0.454280580939918,0.5,0.283642938959216,female
"[60,70)",9,128,0.4549934395327,0.476842105388641,0.298417531317128,female
"[60,70)",10,150,0.423555076221625,0.430526316165924,0.310160953050281,female
"[60,70)",11,161,0.489624402699819,0.5,0.266016852787835,female
"[60,70)",12,185,0.492086668050772,0.519999980926514,0.289668677619937,female
"[70,80]",1,80,0.396160719171166,0.422619044780731,0.297210484002488,female
"[70,80]",2,63,0.546900988452964,0.5,0.296818977437076,female
"[70,80]",3,68,0.430345478467643,0.430555552244186,0.273424202412459,female
"[70,80]",4,58,0.451621517474795,0.422222226858139,0.312197345324279,female
"[70,80]",5,58,0.549733176056681,0.600000023841858,0.322643211177967,female
"[70,80]",6,74,0.497313390611797,0.5,0.311315958125675,female
"[70,80]",7,73,0.450445753050177,0.444444447755814,0.292309241086065,female
"[70,80]",8,72,0.464627431188193,0.466666668653488,0.284889889039936,female
"[70,80]",9,73,0.533958475475442,0.571428596973419,0.318074513487785,female
"[70,80]",10,76,0.48341166179039,0.444444447755814,0.33087291982076,female
"[70,80]",11,90,0.442041452601552,0.394444450736046,0.336441926515423,female
"[70,80]",12,85,0.45321195782984,0.444444447755814,0.310086707666155,female
"[20,30)",1,3663,0.502838120852993,0.506274521350861,0.264470138813372,both
"[20,30)",2,3349,0.513058942207323,0.519553065299988,0.263405799892055,both
"[20,30)",3,3465,0.518274555868143,0.530588209629059,0.260847809377126,both
"[20,30)",4,3150,0.515953581003206,0.524261146783829,0.263844129062462,both
"[20,30)",5,3350,0.509351011713717,0.512991458177567,0.266357669313567,both
"[20,30)",6,3438,0.490408625210992,0.488597512245178,0.270486464638784,both
