age_group,month,n,mean,median,std,type
"[20,80]",1,574,5.59459686445442,5.09999990463257,2.48050920399731,male
"[20,80]",2,488,6.06131631429078,5.54999995231628,2.67113915713233,male
"[20,80]",3,487,5.76701119254502,5.25,2.63756392453041,male
"[20,80]",4,397,5.90617159091556,5.69999980926514,2.37360320179988,male
"[20,80]",5,519,5.7809476684743,5.09999990463257,2.7070102298315,male
"[20,80]",6,480,5.59077516868711,5.19999980926514,2.54154199019616,male
"[20,80]",7,474,5.69107079958614,5.19999980926514,2.55004982314595,male
"[20,80]",8,478,5.84971940716939,5.30000019073486,2.66480976662475,male
"[20,80]",9,405,5.45626608000861,4.80000019073486,2.68617607846238,male
"[20,80]",10,456,5.48365703277421,4.96499991416931,2.44776942245776,male
"[20,80]",11,476,5.65066462279368,5.39499998092651,2.43865859793966,male
"[20,80]",12,506,5.79512862113154,5.36500000953674,2.70272103400366,male
"[20,80]",1,7991,7.26394699912035,6.63000011444092,3.34749671896156,female
"[20,80]",2,7239,7.32152316734629,6.65000009536743,3.41640951205464,female
"[20,80]",3,7405,7.35471540839989,6.69999980926514,3.4137715328305,female
"[20,80]",4,6750,7.42490172845346,6.76999998092651,3.48141592377125,female
"[20,80]",5,7170,7.29064781679103,6.65000009536743,3.44092494230851,female
"[20,80]",6,7546,7.10300072876743,6.40999984741211,3.38426429294995,female
"[20,80]",7,7766,7.11827585613055,6.5,3.3858867429618,female
"[20,80]",8,7582,7.16970878190147,6.5,3.37919012075553,female
"[20,80]",9,6729,7.12043906317581,6.44999980926514,3.36606632411858,female
"[20,80]",10,7420,7.02538535601367,6.5,3.30648951418533,female
"[20,80]",11,8175,7.05677756350339,6.46999979019165,3.24067458238339,female
"[20,80]",12,8664,7.24704225054518,6.59999990463257,3.38833625186171,female
"[20,80]",1,8571,7.14562759540168,6.5,3.30875501947813,both
"[20,80]",2,7723,7.23694351456348,6.59999990463257,3.37384245981289,both
"[20,80]",3,7881,7.24543739856613,6.59999990463257,3.37029042532706,both
"[20,80]",4,7141,7.34066332356467,6.69999980926514,3.42890832086013,both
"[20,80]",5,7719,7.15865289931749,6.5,3.40898404572177,both
"[20,80]",6,8013,7.01640432505487,6.34000015258789,3.34447863882987,both
"[20,80]",7,8235,7.04081819713224,6.40000009536743,3.35302563528495,both
"[20,80]",8,8055,7.08280660645848,6.40000009536743,3.34082058066927,both
"[20,80]",9,7133,7.04024213402899,6.3600001335144,3.35320269772301,both
"[20,80]",10,7873,6.93738345952678,6.40000009536743,3.27312695009886,both
"[20,80]",11,8685,6.96050063159593,6.3600001335144,3.217526694819,both
"[20,80]",12,9171,7.16973166839596,6.5,3.36535456932607,both
