age_group,month,n,mean,median,std,type
"[20,50)",1,245,0.503074017744892,0.484536081552506,0.260109583178743,male
"[20,50)",2,217,0.52674126613044,0.551181077957153,0.253351529412844,male
"[20,50)",3,202,0.508622971095956,0.495471969246864,0.250669773021408,male
"[20,50)",4,165,0.518354777765997,0.540816307067871,0.221543579500236,male
"[20,50)",5,211,0.522263491676317,0.52542370557785,0.271544945285726,male
"[20,50)",6,216,0.466620944733559,0.448985710740089,0.266797663168705,male
"[20,50)",7,199,0.489464316704315,0.460784316062927,0.252156579929116,male
"[20,50)",8,223,0.506369450568084,0.515625,0.261566622771827,male
"[20,50)",9,171,0.495770777134519,0.488372087478638,0.288386697688655,male
"[20,50)",10,198,0.469384982561072,0.467285081744194,0.258108210239582,male
"[20,50)",11,222,0.501503444134115,0.497572809457779,0.254485309760322,male
"[20,50)",12,240,0.525572748295963,0.525869756937027,0.277306693858387,male
"[50,80]",1,55,0.508282469754869,0.5,0.251741326354957,male
"[50,80]",2,42,0.562506886819998,0.560386478900909,0.235671900029597,male
"[50,80]",3,52,0.480558668621458,0.484375,0.270845801994577,male
"[50,80]",4,34,0.466479218291009,0.5,0.311452831574171,male
"[50,80]",5,50,0.44305363766849,0.447222217917442,0.254593289845077,male
"[50,80]",6,50,0.592672066688538,0.603571444749832,0.287395136109611,male
"[50,80]",7,38,0.526004376478101,0.5,0.280286820051754,male
"[50,80]",8,34,0.525465968558017,0.479474544525147,0.230756798197135,male
"[50,80]",9,39,0.472976538615349,0.410256415605545,0.27522502664857,male
"[50,80]",10,40,0.537534556724131,0.641941398382187,0.267370278963167,male
"[50,80]",11,41,0.521022852237632,0.473684221506119,0.254089802475181,male
"[50,80]",12,50,0.419034755155444,0.454233407974243,0.295530083235349,male
"[20,50)",1,4100,0.508059768147948,0.513522654771805,0.259177415008202,female
"[20,50)",2,3707,0.517319084571472,0.523289263248444,0.25784493803184,female
"[20,50)",3,3854,0.508971446958821,0.513883352279663,0.253494706080159,female
"[20,50)",4,3444,0.514065838129012,0.516706585884094,0.260589633051776,female
"[20,50)",5,3732,0.503381699487359,0.504044950008392,0.259813545189453,female
"[20,50)",6,3869,0.490201474487797,0.488511025905609,0.262558943182272,female
"[20,50)",7,3979,0.501938131863739,0.503841936588287,0.261904897509822,female
"[20,50)",8,3902,0.50678578262403,0.508226692676544,0.260005863212857,female
"[20,50)",9,3460,0.491403089712422,0.490402191877365,0.26061855347649,female
"[20,50)",10,3812,0.487768165539493,0.479496270418167,0.257826875092222,female
"[20,50)",11,4199,0.503075381033398,0.510242104530335,0.256623362749617,female
"[20,50)",12,4529,0.50871042118832,0.507124900817871,0.259044898612211,female
"[50,80]",1,153,0.558064780788484,0.577464759349823,0.252830746376509,female
"[50,80]",2,143,0.500383993285102,0.519999980926514,0.269549159059015,female
"[50,80]",3,135,0.530725585007005,0.523809552192688,0.278471251832867,female
"[50,80]",4,110,0.523560697924007,0.518409371376038,0.229284269687163,female
"[50,80]",5,131,0.480262423232767,0.450331121683121,0.270107491806878,female
"[50,80]",6,145,0.469252893739733,0.47826087474823,0.256763568310976,female
"[50,80]",7,127,0.470073475084436,0.462962955236435,0.256830012550332,female
"[50,80]",8,176,0.504848856161433,0.516835004091263,0.26874328012113,female
"[50,80]",9,132,0.483974301848899,0.503246754407883,0.250879622444469,female
"[50,80]",10,157,0.468831922740314,0.444444447755814,0.259390065918848,female
"[50,80]",11,169,0.52555235069708,0.5,0.2703430524733,female
"[50,80]",12,161,0.535266631323358,0.545454561710358,0.279689143514318,female
"[20,50)",1,4344,0.507889305055313,0.510992556810379,0.25910429275118,both
"[20,50)",2,3923,0.518188804647288,0.52571040391922,0.257489441118481,both
"[20,50)",3,4058,0.508967194067266,0.512639194726944,0.253423048927506,both
"[20,50)",4,3613,0.513989563553973,0.517780959606171,0.259182394239682,both
"[20,50)",5,3944,0.504499597419204,0.506010830402374,0.260505025330424,both
"[20,50)",6,4088,0.489068435570644,0.48764044046402,0.262968380229022,both
"[20,50)",7,4176,0.501353876379772,0.502260565757752,0.261292485901669,both
"[20,50)",8,4125,0.506761072782856,0.508801341056824,0.26002848751473,both
"[20,50)",9,3632,0.491730893538477,0.490349873900414,0.262013192262933,both
"[20,50)",10,4013,0.486964346750468,0.477189302444458,0.258000437211829,both
"[20,50)",11,4424,0.502686747445794,0.509042590856552,0.256666998495245,both
"[20,50)",12,4773,0.509361113799572,0.507537662982941,0.260158187556001,both
"[50,80]",1,208,0.540754554470858,0.565942019224167,0.253008120860346,both
"[50,80]",2,185,0.514399087791507,0.523178815841675,0.262772988194404,both
"[50,80]",3,186,0.514205923384076,0.52173912525177,0.27507618957354,both
"[50,80]",4,142,0.517406383503071,0.518409371376038,0.244919082716172,both
"[50,80]",5,180,0.477799766003672,0.454602792859078,0.262987954730103,both
"[50,80]",6,194,0.491656475191571,0.492984399199486,0.263595310118135,both
"[50,80]",7,165,0.482839666284395,0.490066230297089,0.262150400504535,both
"[50,80]",8,209,0.505968472015772,0.513513505458832,0.261213342993705,both
"[50,80]",9,172,0.484131322350613,0.493936017155647,0.257293788293076,both
"[50,80]",10,199,0.482975602262284,0.476821184158325,0.264102634066709,both
"[50,80]",11,209,0.518352121043433,0.49295774102211,0.265071828783583,both
"[50,80]",12,207,0.517560568858604,0.523809552192688,0.280743904667026,both
